Label,prompt
Hilarious!,"___ ? there is medication for that, you know."
Cards Against/For South Africa,___ is a slippery slope that leads to ___.
Hilarious!,___ is a slippery slope that leads to ___.
Hilarious!,___ It's a trap!
Hilarious!,___ really helped my dad through his midlife crises.
Hilarious!,___ will finally put an end to racism.
Hilarious!,____ - thats how I want to die.
Dirty Nasty Filthy,____ (ing) That's how I want to climax!
Dirty Nasty Filthy,____ + ____ = ____.
Dirty Nasty Filthy,____ always makes me cry.
Dirty Nasty Filthy,____ always makes me throw up.
Dirty Nasty Filthy,____ is my guilty sexual pleasure.
Dirty Nasty Filthy,____ is on the agenda after we finish this fuckin' game.
Dirty Nasty Filthy,____ me on my ____ with ____.
Dirty Nasty Filthy,____ me with ____.
Dirty Nasty Filthy,____ will always put me in the mood.
Dirty Nasty Filthy,____ will intensify my orgasm.
Dirty Nasty Filthy,____ will make you sweaty and stinky.
Clams Attempt Harmonica, Volume 1,_____ 2: Electric Boogaloo
Cows Against Hamburgers - Patty Pack #1,_____ happens because I touch myself at night.
Cows Grilling Hamburgers - Patty Pack #1,_____ happens because I touch myself at night.
Crazy & Horrible Rabbit - Vol. 1,"_____ is many things to many people, as you will see and learn."
Clams Attempt Harmonica, Volume 1,"_____ IS NOT A WEDDING THEME, CHAD!"
Clones Attack Hilarity #2,_____ is the one thing I can't live without.
Clones Attack Hilarity #2,_____ is way better in virtual reality.
Crazy & Horrible Rabbit - Vol. 1,_____ Spice was one of the lesser-known Spice Girls.
Kids Against Maturity,______ ______ go away. Come back another day.
Babies vs. Parents,______ + ______ = ______.
CAH Base Set,______ + ______ = ______.
The Worst Card Game: Colorado Edition,______ + ______ = Hipsters
Knitters Against Swatches Second Edition,______ + ______ = Hot new knitting trend.
Babies vs. Parents,______ a day keeps the ______ away.
Cards and Punishment Vol. One,______ a day keeps the doctor away.
Personally Incorrect,______ always help(s) "Insert Name" relax.
Personally Incorrect - Expansion [Red Box],______ always helps "Insert Name" prepare for a big exam.
Personally Incorrect,______ always make(s) "Insert Name" cry for hours.
Personally Incorrect - Expansion 2 [Yellow Box],______ always reminds "Insert Name" of fun times with his/her grandma.
Personally Incorrect - Expansion [Red Box],______ always starts out fun until "Insert Name" gets involved.
Rotten Apples: The Tasteless Adult Party Game,______ and ______ = heaven on Earth
The Game Without Decency,______ and ______ are a love story for the ages!
Disgruntled Decks: Navy Edition,______ and ______ inevitably lead to the phrase "Happiness is secured."
KinderPerfect (Commercial Set),______ and ______ make for the best family vacations.
Disgruntled Decks: Marine Corps/Jarhead Edition,______ and ______ make the USMC the most homophobic AND homoerotic service branch.
The Game Without Decency,______ and _______ make an unbeatable romantic combination.
Rotten Apples: The Tasteless Adult Party Game,______ and ______: may they never meet.
Rotten Apples: The Tasteless Adult Party Game,______ and loneliness are a dangerous combination.
Conspiracy Theory,______ are out to get me.
CAH: Green Box Expansion,______ be all like ______.
Conspiracy Theory,______ bought 100 million rounds of ammunition last year because of ______.
Cards and Punishment Vol. One,______ brings all the boys to the yard.
Words Against Morality: Volume 3,______ brings all the boys to the yard.
Words Against Morality: Volume 3,______ broke six of my ribs.
Not Parent Approved Expansion Pack #1,______ builds trust between friends.
Cards for the Masses,______ burns 360 calories per hour.
Rotten Apples: The Tasteless Adult Party Game,______ can be too much of a good thing.
Words Against Morality: Volume 4,______ can help any relationship
Cards for the Masses,______ can help any relationship.
Cards for the Masses,______ can save you 15% or more on car insurance.
Disgruntled Decks: Coast Guard/Coastie Edition,______ clearly places this cluster fuck of a mission in the red.
The Game Without Decency,______ created a new sexual position that involves liberal use of _______
Dick,"______ don’t want none unless you got buns, hon."
The Catholic Card Game: Generations Expansion Pack,______ fixed the Church after the mess that was the 1970's.
Crows Adopt Vulgarity, Vol. 4,______ For Dummies is actually the best-selling book in the series.
Clones Attack Hilarity #1,______ fun for the whole family!
Evil Apples,______ gave me a really bad reputation in middle school.
Cocks Abreast Hostility: Cock Pack One: Just The Tip,______ gave me AIDS.
Evil Apples,______ gave me my very first orgasm.
Words Against Morality: Volume 1,______ gets me all hot and bothered.
The Catholic Card Game: Generations Expansion Pack,______ gets me the most likes on Instagram.
Kids Against Maturity,______ gives Dad bad gas.
Knitters Against Swatches Second Edition,______ got kicked out of the local Stitch and Bitch group for ______.
Disgruntled Decks: Coast Guard/Coastie Edition,______ got me banned from the Liberty Lounge for life.
Evil Apples,______ had me bedridden for months.
Crows Adopt Vulgarity, Vol. 1,______ has become part of my daily routine.
Words Against Morality: Volume 2,______ has been scientifically proven to cause cancer.
Kiwis Versus Morality,______ has lasted longer than a Married at First Sight Relationship
KinderPerfect: More Expansion Pack,______ has me questioning my life choices.
Cocks Abreast Hostility: Cock Pack One: Just The Tip,______ has taken more lives than Hitler and smoking combined.
Conspiracy Theory - Kickstarter Bonus Cards Pack,______ has taken over _____ in the service of Great Cthulu.
The Catholic Card Game: Base Deck,______ helps Parish priests relax.
Words Against Morality: Volume 3,______ in your car triples your chance of being pulled over.
Kids Against Maturity,______ invented time travel.
Words Against Morality: Volume 1,______ is a bad idea. The More You Know …
Not Parent Approved Expansion Pack #1,______ is a dying art form.
KinderPerfect: More Expansion Pack,______ is a f**king nihgtmare!
The Game Without Decency,______ is a great way to look and feel younger.
KinderPerfect: A Timeout For Parents (Kickstarter Set),"______ is a healthy meal, right?"
