Label,response
Dirty Nasty Filthy,69
Cads Against Adulting,420
Disgruntled Decks: Coast Guard/Coastie Edition,1790
WTF Did You Say?!?,…then the penis is inserted into the vagina.
JadedAid: A Card Game to Save Humanitarians,"Hello Mister!"
KinderPerfect: A Timeout For Parents (Kickstarter Set),"I want to do it by myseeeeeeelf!"
Dick,"'Jerk him, Tahiti!  Jerk him off'"
Dick,"Partners!  I must have Partners!"
KinderPerfect: A Timeout For Parents (Kickstarter Set),"Stop playing with your penis!"
Humanity Hates Trump: Expansion Pack 1,"Trump Nude" internet searches.
CAH Base Set,"Tweeting."
The Catholic Card Game: Five Deck Expansion Pack,"Worshipping" the saints.
Words Against Morality: Volume 3,“Accidentally” sticking your finger in your ass while wiping.
Carbs of the Huge Manatee - Kink Expansion 1,“Christian Domestic Discipline 101” from Amazon.com.*
Carbs of the Huge Manatee - Kink Expansion 1,"“Exiting, pursued by a bear.”"
Carbs of the Huge Manatee - Online Dating Expansion 1,“I'm off my meds so I may be a bit weird.”
Cads About Matrimony,“Intimacy issues.”
Cads About Matrimony Poly Pack,“Intimacy issues.”
Carbs of the Huge Manatee: General Expansion 3,"“Knock Knock, Motherfucker.”"
Carbs of the Huge Manatee: General Expansion 2,"“Oh dear God, coffee!”"
Carbs of the Huge Manatee: Dance Expansion 1,“Platonic” cuddle buddies.
Carbs of the Huge Manatee: General Expansion 1,“Somebody That I Used To Know” covered by Sting.
Words Against Morality: Volume 4,"“Too much bush,” whatever that is."
Carbs of the Huge Manatee: General Expansion 2,"“Useless, yerk-toting, Frisbee-chucking cheeba-monkeys”"
Carbs of the Huge Manatee - Kink Expansion 1,“Vegan-leather” bondage gear.
Carbs of the Huge Manatee: General Expansion 3,“Working” from home.
Carbs of the Huge Manatee: General Expansion 3,(1/2 * your age) + 7
Humanity Hates the Holidays "Love" Edition,(An) eggplant emoji.
CAH Base Set,(I am doing Kegels right now.)
Rotten Apples: The Tasteless Adult Party Game,(Sleeping Beauty's curse) A magical prick
Carbs of the Huge Manatee: Dance Expansion 1,(wub)(wub)(wub)
Sci-Fi Pack,[A picture of Sean Connery in the movie Zardoz]
Evil Apples,[banana condom]
Cocks Abreast Hostility: Cock Pack One: Just The Tip,[Chewbacca Noise].
Cols Against Kentucky 2,[image of eastern gray squirrel]
Evil Apples,[Jesus playing beer pong]
Cards With No Sexuality,[Player to your left]'s reproductive organ.
Evil Apples,[tentacles toilet]
Evil Apples,[The state-of-the-art Orgasmatron 8000]
Knitters Against Swatches Second Edition,[Washing instructions graphic]
Cocks Abreast Hostility: Cock Pack One: Just The Tip,/Piss Christ/.
Cards for the Masses,#Awesome
Humanity Hates The Holidays,#blackfridaymatters
Humanity Hates Trump: Base Set,#BlackLivesMatter movement.
WTF Did You Say?!?,#BlackLivesMatter rally.
2016 Election Game ,#BlackLivesMatter.
Cads About Maternity - A game for bad mommies,#diaperfail
Hilarious!,#fearvokallchicks.
Kids Against Maturity,#Hashtag
Clams Attempt Harmonica, Volume 1,#MeToo
Conspiracy Theory,"#occupy or #octopi, whichever"
Cakes Athirst Hilarity Volume 4,#YOLO.
Hilarious!,|Getting so angry that you pop a boner.
Hilarious!,|Oral sex that tastes like urine.
WTF Did You Say?!?,∩ (O_O) ∩
JadedAid: A Card Game to Save Humanitarians,$1.25 per day
Cads Against Adulting,$10 bills defaced with anarchist propaganda.
Desert Bus For Hope Pack,"$10,000 worth of silica gel."
The Game Without Decency,$13 worth of Taco Bell
2016 Election Game ,$15 minimum wage.
Cads About Matrimony Poly Pack,"$16,000 in cash, a kilo of hashish, and eight belly dancers."
Charlie Foxtrot,$2 beer pitcher night at the base bowling alley.
Kiwis Against Morality,$20 Tinnies
Kiwis Versus Morality,$20 tinnies
Bad Hombres Against Fake News Pack 1,"$20,000 trip from Honduras to Texas hiding in the back of the troka."
Skewered And Roasted,$200/hour
WTF Did You Say?!?,$300 worth of vanilla yogurt.
Cakes Athirst Hilarity Volume 4,$68 in pennies.
Evil Apples,1 weird trick that will make everyone around you ejaculate
Crows Adopt Vulgarity, Vol. 1,1.2 pounds of shit hitting a fan.
Kiwis Against Morality,10 bucks
Kiwis Versus Morality,10 bucks
Blurbs Against Buffalo,10 feet of snow in 2 days.
CAH: Green Box Expansion,10 football players with erections barrelling towards you at full speed.
CAH: Blue Box Expansion,10 Incredible Facts About the Anus.
CAH: Fourth Expansion,10 Incredible Facts About the Anus.
Cads Against Adulting,10 minute sof decent sex.
The Game Without Decency,10 pounds of crap in a 5-pound bag
CAH: Green Box Expansion,"10,000 shrieking teenage girls."
CAH Base Set,"10,000 Syrian refugees."
Dick,"10,800 barrels of beer"
Trumped UpCards: The World's Biggest Deck*,100 beachfront acres of shimmering white privilege.
JadedAid: A Card Game to Save Humanitarians,100 foreskins in a bucket
Trumped UpCards: The World's Biggest Deck*,100 percent Chinese ties.
The Game Without Decency,100 pounds of bull semen
Trumped UpCards: The World's Biggest Deck*,100 tons of Mafia concrete.
Disgruntled Decks: Air Force Edition,100 wheelchair-bound children rolling around in the back of a C-5.
Voter's Choice: The Third Expansion,"100,000 dollars, alcohol, and 4 weeks of vacation."
WTF Did You Say?!?,100% accurate gaydar.
Humanity Hates the Holidays "Love" Edition,100% All-Beef Thermometer.
PAX Prime 2014 Custom Printed Cards,100% certified human breast milk.
Hilarious!,100% hearthfelt compassion.
