Label,response
2013 Holiday Pack,A magical tablet containing a world of unlimited pornography.
2013 Holiday Pack,A simultaneous nightmare and wet dream starring Sigourney Weaver.
2013 Holiday Pack,Being blind and deaf and having no limbs.
2013 Holiday Pack,Breeding elves for their priceless semen.
2013 Holiday Pack,Congress’s flaccid penises withering away beneath their suit pants.
2013 Holiday Pack,Finding out Santa isn’t real.
2013 Holiday Pack,Giving money and personal information to strangers on the Internet.
2013 Holiday Pack,Having a strong opinion about Obamacare.
2013 Holiday Pack,Jizzing into Santa’s beard.
2013 Holiday Pack,Making up for 10 years of shitty parenting with a PlayStation.
2013 Holiday Pack,Moses gargling Jesus’s balls while Shiva and the Buddha penetrate his divine hand holes.
2013 Holiday Pack,People with cake in their mouths talking about how good cake is.
2013 Holiday Pack,Piece of shit Christmas cards with no money in them.
2013 Holiday Pack,Rudolph’s bright red balls.
2013 Holiday Pack,Slicing a ham in icy silence.
2013 Holiday Pack,Swapping bodies with mom for a day.
2013 Holiday Pack,The Hawaiian goddess Kapo and her flying detachable vagina.
2013 Holiday Pack,The royal afterbirth.
