Label,response
90s Nostalgia Pack,A bus that will explode if it goes under 50 miles per hour.
90s Nostalgia Pack,A threesome with 1996 Denise Richards and 1999 Denise Richards.
90s Nostalgia Pack,Angels interfering in an otherwise fair baseball game.
90s Nostalgia Pack,Cool 90s up-in-the-front hair.
90s Nostalgia Pack,Deregulating the mortgage market.
90s Nostalgia Pack,Freeing Willy.
90s Nostalgia Pack,Getting caught up in the CROSSFIRE™.
90s Nostalgia Pack,Jerking off to a 10-second RealMedia clip.
90s Nostalgia Pack,Kurt Cobain's death.
90s Nostalgia Pack,Liking big butts and not being able to lie about it.
90s Nostalgia Pack,Log™.
90s Nostalgia Pack,Painting with all the colors of the wind.
90s Nostalgia Pack,Pamela Anderson's boobs running in slow motion.
90s Nostalgia Pack,Patti Mayonnaise.
90s Nostalgia Pack,Several Michael Keatons
90s Nostalgia Pack,Stabbing the shit out of a Capri Sun.
90s Nostalgia Pack,Sucking the president's dick.
90s Nostalgia Pack,Sunny D! Alright!
90s Nostalgia Pack,The Great Cornholio.
90s Nostalgia Pack,The Y2K bug.
90s Nostalgia Pack,Wearing Nicolas Cage's face.
90s Nostalgia Pack,Yelling "girl power!" and doing a high kick.
