Label,prompt
Absurd Box Expansion,Ain't it nifty? Barb and Bob hit 50! So get off your ass and raise a glass to 50 years of ______.
Absurd Box Expansion,Duuuuuuude. You have got to go to space. ______ is awesome in space.
Absurd Box Expansion,Give me ten good men and 48 hours. I'll get you ______.
Absurd Box Expansion,Here's a little something I learned in business school: The customer is always ______.
Absurd Box Expansion,I have solved politics. My solution is ______.
Absurd Box Expansion,I so drunk I ______.
Absurd Box Expansion,I swear to God I'm gonna murder my husband if he doesn't shut the fuck up about ______.
Absurd Box Expansion,In bookstores now: "From ______ to ______: A memoir."
Absurd Box Expansion,It's finally happening! I'm finally doing it! Yes! It's time for ______!
Absurd Box Expansion,It's the 21st century. A woman shouldn't have to apologize for ______.
Absurd Box Expansion,Millions of copies sold! Donald Trump's "The Art of _______."
Absurd Box Expansion,New at TGI Fridays! It's what you've been waiting for: The ______ Burger.
Absurd Box Expansion,Oh no! Here it comes! Ohhhhh god! It's ______.
Absurd Box Expansion,Personal foul: ______. 15-yard penalty. Automatic first down.
Absurd Box Expansion,Say it loud! I'm ______ and I'm proud!
Absurd Box Expansion,That's bullshit! They can't fire me for _______!
Absurd Box Expansion,The sequel is here! Get Ready for ______2: ______.
Absurd Box Expansion,What has my life become? I'm jerking off to a video called "co-ed absolutely destroyed by ______."
Absurd Box Expansion,What sounds great after four margaritas?
Absurd Box Expansion,What's secretly a Russian plot to destabilize the West?
Absurd Box Expansion,Why did the chicken cross the road?
Absurd Box Expansion,Why my mustache smell so bad?
Absurd Box Expansion,Yeah that's so hot. I'm so close. Talk about ______ again! OH I'M CUMMING!
Absurd Box Expansion,You city folk would never understand the quiet dignity of _______.
