Label,response
Absurd Box Expansion,A 12-foot scepter of bone.
Absurd Box Expansion,A basketball that screams every time it gets bounced.
Absurd Box Expansion,A bear.
Absurd Box Expansion,A big hole.
Absurd Box Expansion,A big hot fire that's burning everybody.
Absurd Box Expansion,A bird that dies.
Absurd Box Expansion,A bold red lip.
Absurd Box Expansion,A cat with… hands.
Absurd Box Expansion,A Christmas feast of goose and jellies.
Absurd Box Expansion,A concerning amount of white people.
Absurd Box Expansion,A couple of cold ones.
Absurd Box Expansion,A crab rangoon.
Absurd Box Expansion,A family of raccoons.
Absurd Box Expansion,A four-hour depression nap.
Absurd Box Expansion,A full-on panic attack.
Absurd Box Expansion,A garbage clown who makes no one laugh and should die.
Absurd Box Expansion,A hamburger on a string that keeps getting pulled away.
Absurd Box Expansion,A hateful 30-year marriage.
Absurd Box Expansion,A little boy with big dreams and potatoes for hands.
Absurd Box Expansion,A little girl with a knife.
Absurd Box Expansion,A little sewer girl strangling a pigeon.
Absurd Box Expansion,A little taste of penis.
Absurd Box Expansion,A magician fucking up over and over again.
Absurd Box Expansion,A penis that gets too hard and explodes blood.
Absurd Box Expansion,A piping-hot casserole filled with beans and hair.
Absurd Box Expansion,A poop emergency.
Absurd Box Expansion,A powerful philosopher named Brainhead.
Absurd Box Expansion,A Pringle.
Absurd Box Expansion,A Puerto Rican minotaur from the Bronx.
Absurd Box Expansion,A racist boomerang that only comes back if you're white.
Absurd Box Expansion,A real cum-dumpster of a saxophonist.
Absurd Box Expansion,A real job with insurance and your taxes taken out and everything.
Absurd Box Expansion,A sticky tree hole full of pancake sauce.
Absurd Box Expansion,A stinky hoo-ha.
Absurd Box Expansion,A toothless woman gumming on a peach.
Absurd Box Expansion,A urinary tract infection.
Absurd Box Expansion,A vagina that beatboxes when it's horny.
Absurd Box Expansion,A whole different way of talking called Spanish.
Absurd Box Expansion,Accusing a powerful man of sexual assault.
Absurd Box Expansion,Acquiring a gun very easily.
Absurd Box Expansion,Acting white.
Absurd Box Expansion,All manners of honors.
Absurd Box Expansion,All my dead sisters.
Absurd Box Expansion,An 800-foot-long pool noodle.
Absurd Box Expansion,An ambitious woman who wears pants.
Absurd Box Expansion,An elite squad known as the Special Victims Unit.
Absurd Box Expansion,Anything Asian.
Absurd Box Expansion,As ass like a bag of pool balls.
Absurd Box Expansion,Assembling IKEA furniture.
Absurd Box Expansion,Beef.
Absurd Box Expansion,Being hunted by giant eagles.
Absurd Box Expansion,Being inside me.
Absurd Box Expansion,Being seen reading Infinite Jest.
Absurd Box Expansion,Being shitty to everyone and late for everything.
Absurd Box Expansion,Big beefy baseball boys.
Absurd Box Expansion,Big Italian women making the spicy sauce.
Absurd Box Expansion,Bipolar Disorder.
Absurd Box Expansion,Blowing into the penis so that the balls inflate.
Absurd Box Expansion,Blue smoke coming out of my anus.
Absurd Box Expansion,Canada's worst mangoes.
Absurd Box Expansion,Carbs.
Absurd Box Expansion,Carlos Santana's horrible wailing guitar.
Absurd Box Expansion,Chinese people.
Absurd Box Expansion,Chowder.
Absurd Box Expansion,Clippy from Microsoft Office.
Absurd Box Expansion,Colluding with Russia.
Absurd Box Expansion,Corn.
Absurd Box Expansion,Country music legend Toby Keith.
Absurd Box Expansion,Cultural appropriation.
Absurd Box Expansion,Curly fries so good you quit ISIS.
Absurd Box Expansion,Dating a Republican.
Absurd Box Expansion,Death.
Absurd Box Expansion,Déjà vu.
Absurd Box Expansion,Déjà vu.
Absurd Box Expansion,Denying climate change.
Absurd Box Expansion,Doing ho shit.
Absurd Box Expansion,Doing stuff bad.
Absurd Box Expansion,Drake.
Absurd Box Expansion,Driving to a Walmart parking lot and staring into the distance for eight hours.
Absurd Box Expansion,Eating pussy bad.
Absurd Box Expansion,Ejaculating a quart of hollandaise sauce.
Absurd Box Expansion,Elon Musk.
Absurd Box Expansion,Enticing a hummingbird to drink nectar out of my urethra.
Absurd Box Expansion,Fascism.
Absurd Box Expansion,Fat.
Absurd Box Expansion,Fingering each other's buttholes.
Absurd Box Expansion,Foul vegan shits.
Absurd Box Expansion,Free two-day shipping with Amazon Prime.
Absurd Box Expansion,Fresh Air with Terry Gross.
Absurd Box Expansion,Funneling money through a series of shell companies.
Absurd Box Expansion,Getting #MeToo'd.
Absurd Box Expansion,Getting banished to the Shadow Realm.
Absurd Box Expansion,Getting depressed and super fat.
Absurd Box Expansion,Getting fisted by a man with no fingers.
Absurd Box Expansion,Getting half-hard and trying to smoosh it in.
Absurd Box Expansion,Getting herpes from Bruce Willis.
Absurd Box Expansion,Getting Mommy another beer.
Absurd Box Expansion,Going "oink oink" like a nasty little pig boy.
Absurd Box Expansion,Hard-hitting investigative journalism.
Absurd Box Expansion,Having a wonderful time at the zoo.
Absurd Box Expansion,Having thirty sons named Chad.
Absurd Box Expansion,Having tuna sandwiches with my favorite honkies.
Absurd Box Expansion,Healthcare.gov.
Absurd Box Expansion,Hiding from border patrol.
Absurd Box Expansion,Hiking up a hillside covered in bear semen yelling "I'm the queen of the forest!"
Absurd Box Expansion,How many bagels I can fit on my penis.
Absurd Box Expansion,How quiet the forest is.
Absurd Box Expansion,Huffing and puffing and blowing my stepdad.
Absurd Box Expansion,Hunting white men for sport.
Absurd Box Expansion,Hush money.
Absurd Box Expansion,Interrupting women.
Absurd Box Expansion,Jörmungandr the World Serpent.
Absurd Box Expansion,Just a Luna bar for lunch.
Absurd Box Expansion,Kanye West but if he were an old Japanese farmer.
Absurd Box Expansion,Korean barbecue.
Absurd Box Expansion,Leading a country to war on false pretenses.
Absurd Box Expansion,Leading children around with a magical flute.
Absurd Box Expansion,Letting that pussy breathe.
Absurd Box Expansion,Letting this loser eat me out.
Absurd Box Expansion,Licking the toilet as Mistress commands.
Absurd Box Expansion,Life.
Absurd Box Expansion,Lotion.
Absurd Box Expansion,Loving America.
Absurd Box Expansion,Magic: The Gathering.
Absurd Box Expansion,Making direct eye contact with a horse's asshole.
Absurd Box Expansion,Mark Zuckerberg.
Absurd Box Expansion,Maybe getting a little involved in selling heroin sometimes.
Absurd Box Expansion,Melania Trump.
Absurd Box Expansion,Murdering our parents.
Absurd Box Expansion,My buddy Jeff.
Absurd Box Expansion,My daughter fucking my boyfriend.
Absurd Box Expansion,My math teacher's bulge.
Absurd Box Expansion,My real dad.
Absurd Box Expansion,My secret butt.
Absurd Box Expansion,My son's dipshit friends.
Absurd Box Expansion,My son's husband's huge cock.
Absurd Box Expansion,My wife. (in Borat voice)
Absurd Box Expansion,Naked Dad.
Absurd Box Expansion,Netflix.
Absurd Box Expansion,New DNA evidence exonerating OJ Simpson.
Absurd Box Expansion,Nipples the size of CDs.
Absurd Box Expansion,None of your damn business.
Absurd Box Expansion,Not being a part of my son's life.
Absurd Box Expansion,Oral.
Absurd Box Expansion,Outdated gender norms.
Absurd Box Expansion,Owing a lot of money to some very bad people.
Absurd Box Expansion,Panda Express.
Absurd Box Expansion,Panic and confusion.
Absurd Box Expansion,Pissin' me paants.
Absurd Box Expansion,Politics.
Absurd Box Expansion,Poppin' that pussy.
Absurd Box Expansion,Preparing my asshole for sex.
Absurd Box Expansion,Pretending golf is fun.
Absurd Box Expansion,Prison.
Absurd Box Expansion,Pulling the butt cheeks apart so the fart comes out quieter.
Absurd Box Expansion,Pushing my boob up to lick the nipple.
Absurd Box Expansion,Putting dirty dishes in the sink and hoping someone else deals with them.
Absurd Box Expansion,Reparations for slavery.
Absurd Box Expansion,Representing the entire black community.
Absurd Box Expansion,Respecting woman.
Absurd Box Expansion,Rubbing my clit with a handgun.
Absurd Box Expansion,Sandwich.
Absurd Box Expansion,Schindler's List.
Absurd Box Expansion,Setting boundaries with co-workers.
Absurd Box Expansion,Sewing two hamsters together to make a Double Hamster Supreme.
Absurd Box Expansion,Shit.
Absurd Box Expansion,Shitting perfectly into a hot dog bun.
Absurd Box Expansion,Slaves.
Absurd Box Expansion,Slowly releasing a huge fart over the course of two minutes.
Absurd Box Expansion,Some cracker-ass motherfucker.
Absurd Box Expansion,Some light choking.
Absurd Box Expansion,Square dancing with other racists.
Absurd Box Expansion,Stapling a butterfly to a cow.
Absurd Box Expansion,Staying hydrated.
Absurd Box Expansion,Sticking my hard rat dick in my girlfiend's wet rat pussy.
Absurd Box Expansion,Substituting sweet potato fries for $2.
Absurd Box Expansion,Sucking the caviar straight out of a fish's pussy.
Absurd Box Expansion,Suddenly feeling really sad for 40 years.
Absurd Box Expansion,Swordplay.
Absurd Box Expansion,Taking a dump.
Absurd Box Expansion,Tar.
Absurd Box Expansion,The Asshole Destroyer 3000.
Absurd Box Expansion,The Audi Sign-and-Drive Sales Event.
Absurd Box Expansion,The awesome power of the Lord.
Absurd Box Expansion,The beautiful backpacks of JanSport.
Absurd Box Expansion,The boy who sucks the farts our of my sweatpants.
Absurd Box Expansion,The coming race war.
Absurd Box Expansion,The current political climate.
Absurd Box Expansion,The cutest fucking shoes I've ever seen.
Absurd Box Expansion,The end of all life on Earth.
Absurd Box Expansion,The express written consent of the National Basketball Association.
Absurd Box Expansion,The fact that time is moving backwards right now and nobody's noticing.
Absurd Box Expansion,The harsh reality that all horses are people in horse costumes.
Absurd Box Expansion,The kind of porn with poop.
Absurd Box Expansion,The King of Jews.
Absurd Box Expansion,The little-known fact that Polish people don't dream.
Absurd Box Expansion,The man in the basement.
Absurd Box Expansion,The man who fucks me and my wife.
Absurd Box Expansion,The Moon.
Absurd Box Expansion,The NRA.
Absurd Box Expansion,The pelican that will one day eat Scarlett Johansson's baby.
Absurd Box Expansion,The persecution of Buddhists by the American-backed government of South Vietnam.
Absurd Box Expansion,The pleasure of watching my boys wolf down my pot roast and scamper into the woods.
Absurd Box Expansion,The rock after which Dwayne Johnson was named.
Absurd Box Expansion,The South rising again.
Absurd Box Expansion,The wonderful giant spoon known as "ladle."
Absurd Box Expansion,The worm that ate my penis and is now my penis.
Absurd Box Expansion,These breasts of mine.
Absurd Box Expansion,This boring-ass white bitch from work.
Absurd Box Expansion,This kid I found.
Absurd Box Expansion,Thoughts and prayers.
Absurd Box Expansion,Three men and three hot dogs.
Absurd Box Expansion,Throwing a man by his big penis.
Absurd Box Expansion,Thrusting and grunting.
Absurd Box Expansion,Travolta.
Absurd Box Expansion,Trees with human skin.
Absurd Box Expansion,Turning poor people against each other so they don't pay attention to economic inequality.
Absurd Box Expansion,Uncles.
Absurd Box Expansion,Uncut daddy dick.
Absurd Box Expansion,Violating the Geneva Convention.
Absurd Box Expansion,Voldemort.
Absurd Box Expansion,Voter suppression.
Absurd Box Expansion,What looked like a chemical weapons facility but turned out to be a children's hospital.
Absurd Box Expansion,Women in positions of power.
Absurd Box Expansion,Yo stanky ass.
Absurd Box Expansion,Yogurt that moans in pleasure as you eat it.
Absurd Box Expansion,Your little booty in them underpants.
Absurd Box Expansion,Your mouth.
Absurd Box Expansion,Yummy yummy yummy yummy rat pussy.
