Label,prompt
Babies vs. Parents,After the birth I'm gonna have to ______.
Babies vs. Parents,Being pregnant makes me want to ______.
Babies vs. Parents,Can we stop by the store? I need to grab ______.
Babies vs. Parents,Congratulations! It's a ______!
Babies vs. Parents,Damn it! I forgot the ______.
Babies vs. Parents,Did you hear that? I think it was ______.
Babies vs. Parents,Go go gadget ______.
Babies vs. Parents,Having a kid makes me want to _______.
Babies vs. Parents,How my husband would describe me: ______.
Babies vs. Parents,I am calmed by the thought of ______.
Babies vs. Parents,I am just the absolute best at ______.
Babies vs. Parents,I can't believe my husband asked for ______.
Babies vs. Parents,I can't believe that came out of my vagina
Babies vs. Parents,I can't believe that someone will be able to pull ______ out of ______.
Babies vs. Parents,I can't believe this came out of my (babies') butt!
Babies vs. Parents,I can't forget to bring ______ to the hospital.
Babies vs. Parents,I can't wait to ______.
Babies vs. Parents,I can't wait to ______.
Babies vs. Parents,I had a nightmare last night. The baby was ______.
Babies vs. Parents,I hate ______.
Babies vs. Parents,I hope that my baby would describe me as ______.
Babies vs. Parents,I hope that my push gift will be ______.
Babies vs. Parents,I love ______.
Babies vs. Parents,I love it when my husband has ______.
Babies vs. Parents,I love my husband but he has a serious addiction to ______.
Babies vs. Parents,I love the smell of ______ in the morning.
Babies vs. Parents,I love waking up to ______ in bed.
Babies vs. Parents,I really hope my baby is ______.
Babies vs. Parents,I really think my baby will look like ______.
Babies vs. Parents,I think I overheard my friends calling me ______.
Babies vs. Parents,I want ______.
Babies vs. Parents,I will call my baby ______.
Babies vs. Parents,I wish I were ______.
Babies vs. Parents,I wish my husband would give me ______.
Babies vs. Parents,I'm so glad that before my birth I ______.
Babies vs. Parents,I've lost my ______.
Babies vs. Parents,If I have to see ______ again I'm gonna go crazy.
Babies vs. Parents,It's pretty obvious my kid's first word will be ______.
Babies vs. Parents,Mom trick: To calm a colicky baby just ______.
Babies vs. Parents,My ______ is getting bigger and bigger by the day.
Babies vs. Parents,My baby feels exactly like ______.
Babies vs. Parents,My baby has ______.
Babies vs. Parents,My baby will grow up to master ______.
Babies vs. Parents,My baby's diaper is so full of ______.
Babies vs. Parents,My belly is really craving ______.
Babies vs. Parents,My doctor told me that I really needed ______.
Babies vs. Parents,My favorite baby sound is ______.
Babies vs. Parents,My husband definitely thinks I'm ______.
Babies vs. Parents,My husband is secretly ______.
Babies vs. Parents,My lover's hidden talent is ______.
Babies vs. Parents,My mother-in-law looks a lot like ______.
Babies vs. Parents,My secret power?
Babies vs. Parents,Oh my dear lord! That smells like ______.
Babies vs. Parents,People thought I was bat-shit crazy when I said I was gonna ______.
Babies vs. Parents,Pregnant moms are really into ______ these days.
Babies vs. Parents,Rumor has it that my doctor really loves ______. Especially when it comes with ______.
Babies vs. Parents,Step 1: ______. Step 2: ______. The End.
Babies vs. Parents,Stop! I really need to ______!
Babies vs. Parents,Studies show that babies are most cloesly related to ______.
Babies vs. Parents,Surprise! You just ______.
Babies vs. Parents,That smells just like ______.
Babies vs. Parents,The best advice I've ever received?
Babies vs. Parents,The hot guy I always think about has ______.
Babies vs. Parents,The most important person in the room on the day I give birth is _______.
Babies vs. Parents,There is nothing I wouldn't do for 30 minutes alone with ______.
Babies vs. Parents,Well crap. I guess ______ is now going to have to deliver the baby.
Babies vs. Parents,What do babies smell like?
Babies vs. Parents,What is a parent's best friend?
Babies vs. Parents,What is the worst gift I've received?
Babies vs. Parents,When my husband found out I was pregnant he ______.
Babies vs. Parents,Why am giving birth again?
Babies vs. Parents,Why is everybody giving me ______.
Babies vs. Parents,Why is mommy crying?
Babies vs. Parents,You won't believe I have ______.
