Label,response
Babies vs. Parents,A baby carrier.
Babies vs. Parents,A baby.
Babies vs. Parents,A big glass of wine.
Babies vs. Parents,A breast pump.
Babies vs. Parents,A bucket of hand sanitizer.
Babies vs. Parents,A car seat.
Babies vs. Parents,A cigar.
Babies vs. Parents,A condom.
Babies vs. Parents,A day at the spa.
Babies vs. Parents,A day in bed.
Babies vs. Parents,A defective stroller.
Babies vs. Parents,A diaper bag.
Babies vs. Parents,A diaper changing strait jacket.
Babies vs. Parents,A doula.
Babies vs. Parents,A fat baby.
Babies vs. Parents,A freezer full of pizza.
Babies vs. Parents,A giant cup of coffee.
Babies vs. Parents,A glow.
Babies vs. Parents,A Greek God.
Babies vs. Parents,A hot doctor.
Babies vs. Parents,A menstraul cup.
Babies vs. Parents,A midwife.
Babies vs. Parents,A mucous plug.
Babies vs. Parents,A nursing bra.
Babies vs. Parents,A paternity test.
Babies vs. Parents,A penis.
Babies vs. Parents,A personal massager.
Babies vs. Parents,A pocket diaper.
Babies vs. Parents,A punch in one's own face.
Babies vs. Parents,A rabid baby-eating raccoon.
Babies vs. Parents,A rectal thermometer.
Babies vs. Parents,A red light.
Babies vs. Parents,A shark riding an eagle.
Babies vs. Parents,A small bottle of bourbon.
Babies vs. Parents,A Snocksucker.
Babies vs. Parents,A surrogate.
Babies vs. Parents,A tiny butt.
Babies vs. Parents,A turkey baster.
Babies vs. Parents,A used condom.
Babies vs. Parents,A vaginal exam.
Babies vs. Parents,A water birth.
Babies vs. Parents,A wrecking ball.
Babies vs. Parents,An all-in-one.
Babies vs. Parents,An amber necklace.
Babies vs. Parents,An entourage.
Babies vs. Parents,An IUD.
Babies vs. Parents,An OBGYN.
Babies vs. Parents,An ugly baby.
Babies vs. Parents,Anal leakage.
Babies vs. Parents,Ate a diaper.
Babies vs. Parents,Bacon!
Babies vs. Parents,Balloons.
Babies vs. Parents,Balls.
Babies vs. Parents,Being a baby wizard!
Babies vs. Parents,Birth control.
Babies vs. Parents,Boobs.
Babies vs. Parents,Breaking out with bacne.
Babies vs. Parents,Breastfeeding.
Babies vs. Parents,Butt balm.
Babies vs. Parents,Carbs.
Babies vs. Parents,Change a diaper.
Babies vs. Parents,Choking the next person that asks what my due date is.
Babies vs. Parents,Co-sleeping.
Babies vs. Parents,Coconut oil.
Babies vs. Parents,Comments on the internet.
Babies vs. Parents,Constipation.
Babies vs. Parents,Crack.
Babies vs. Parents,Crowning.
Babies vs. Parents,Crying.
Babies vs. Parents,Diaper liners.
Babies vs. Parents,Diaper sprayer.
Babies vs. Parents,Diapering.
Babies vs. Parents,Dirty Diaper Laundry.
Babies vs. Parents,Dropping the baby.
Babies vs. Parents,Eating it.
Babies vs. Parents,Eating my placenta.
Babies vs. Parents,Edible diapers.
Babies vs. Parents,Essential oils.
Babies vs. Parents,Estrogen.
Babies vs. Parents,Everything.
Babies vs. Parents,Explosive diarrhea.
Babies vs. Parents,Flowers.
Babies vs. Parents,Fluffy animals.
Babies vs. Parents,Forceps.
Babies vs. Parents,Foreplay.
Babies vs. Parents,Getting a vasectomy.
Babies vs. Parents,Getting peed on.
Babies vs. Parents,Getting throat punched.
Babies vs. Parents,Giving birth in a mountain stream.
Babies vs. Parents,Hemorrhoids.
Babies vs. Parents,Hiding a stash of dark chocolate.
Babies vs. Parents,Humpday.
Babies vs. Parents,Ice cream.
Babies vs. Parents,Immaculate conception.
Babies vs. Parents,Infectious disease.
Babies vs. Parents,Jaundice.
Babies vs. Parents,Jerry Springer.
Babies vs. Parents,Jump from the Empire State Building.
Babies vs. Parents,Justin Bieber.
Babies vs. Parents,Labor.
Babies vs. Parents,Lactation.
Babies vs. Parents,Laughing until you pee.
Babies vs. Parents,Leftovers.
Babies vs. Parents,Liver and onions.
Babies vs. Parents,Lots of therapy.
Babies vs. Parents,Making babies.
Babies vs. Parents,Menstraul pads.
Babies vs. Parents,Menstruation.
Babies vs. Parents,Mom jeans.
Babies vs. Parents,Morning sickness.
Babies vs. Parents,Morning sickness.
Babies vs. Parents,Moves like Jagger.
Babies vs. Parents,My best friend.
Babies vs. Parents,My brother.
Babies vs. Parents,My dad.
Babies vs. Parents,My husband.
Babies vs. Parents,My lover.
Babies vs. Parents,My mom.
Babies vs. Parents,My mother-in-law.
Babies vs. Parents,My partner.
Babies vs. Parents,My sister.
Babies vs. Parents,My vagina.
Babies vs. Parents,Nipple butter.
Babies vs. Parents,Nipple stimulation.
Babies vs. Parents,Oprah.
Babies vs. Parents,Painkillers.
Babies vs. Parents,Poop on a stick.
Babies vs. Parents,Poop spray.
Babies vs. Parents,Poop.
Babies vs. Parents,Pooping out of frustration.
Babies vs. Parents,Pregnancy brain.
Babies vs. Parents,Projectile vomit.
Babies vs. Parents,Pubic hair.
Babies vs. Parents,Put breastmilk on it.
Babies vs. Parents,Rabies.
Babies vs. Parents,Rancid breastmilk.
Babies vs. Parents,Rubber pants.
Babies vs. Parents,Sardines.
Babies vs. Parents,Seedy poop.
Babies vs. Parents,Sex with my husband.
Babies vs. Parents,Sex.
Babies vs. Parents,Sleep.
Babies vs. Parents,Sleeping on the couch.
Babies vs. Parents,Slime of questionable origin.
Babies vs. Parents,Slimy poop.
Babies vs. Parents,Small blood clots.
Babies vs. Parents,Smuggling mesh underwear.
Babies vs. Parents,Snoring.
Babies vs. Parents,Soiled diapers.
Babies vs. Parents,Squiritng breast milk across the room.
Babies vs. Parents,Squirting breastmilk.
Babies vs. Parents,Stealing samples from the hospital.
Babies vs. Parents,Stretch marks.
Babies vs. Parents,Swaddle
Babies vs. Parents,Tampons.
Babies vs. Parents,Tape.
Babies vs. Parents,Teething.
Babies vs. Parents,Thank you notes.
Babies vs. Parents,That sticky spot on my jeans.
Babies vs. Parents,The 5 S's.
Babies vs. Parents,The Duggars.
Babies vs. Parents,The heart of a child.
Babies vs. Parents,The longest pee.
Babies vs. Parents,The milk man's baby.
Babies vs. Parents,The most expensive one.
Babies vs. Parents,The Placenta.
Babies vs. Parents,The real father.
Babies vs. Parents,The stork.
Babies vs. Parents,Throw Up.
Babies vs. Parents,Throwing my pie for you.
Babies vs. Parents,Thumb sucking.
Babies vs. Parents,Thunder from down under.
Babies vs. Parents,Tiny terrorists.
Babies vs. Parents,Triplets.
Babies vs. Parents,Twins.
Babies vs. Parents,Vaginal rejuvenation surgery.
Babies vs. Parents,Varicose veins.
Babies vs. Parents,Week old tuna.
Babies vs. Parents,Weird sex dreams.
Babies vs. Parents,Wipes.
Babies vs. Parents,World's okayest Mom.
Babies vs. Parents,Yeast.
