Label,prompt
Bad Campaign, The Presidential Party Game!,A vote for me is a vote for _________.
Bad Campaign, The Presidential Party Game!,An executive order will be issued calling dibs on _________.
Bad Campaign, The Presidential Party Game!,As President the hardest task is dealing with _________.
Bad Campaign, The Presidential Party Game!,At my command NASA will have to shoot _________ into space.
Bad Campaign, The Presidential Party Game!,At night when I close my eyes _________ occupies my thoughts.
Bad Campaign, The Presidential Party Game!,Believe in _________.
Bad Campaign, The Presidential Party Game!,Darn right I'm running for President and I'm taking _________ with me.
Bad Campaign, The Presidential Party Game!,Dick Cheney was hiding _________ under his shirt.
Bad Campaign, The Presidential Party Game!,Donald Trump is working to quit his _________ habit.
Bad Campaign, The Presidential Party Game!,Donald Trump keeps his hair lustrous by rubbing _________ deep into his scalp.
Bad Campaign, The Presidential Party Game!,During the next debate I'm going to keep focus on _________.
Bad Campaign, The Presidential Party Game!,Experts have warned us that the _________ pandemic is inevitable.
Bad Campaign, The Presidential Party Game!,George Bush regrets not focusing on _________ more.
Bad Campaign, The Presidential Party Game!,George Bush's new painting will be a revealing look at _________.
Bad Campaign, The Presidential Party Game!,Hillary Clinton wants to focus her campaign on __________.
Bad Campaign, The Presidential Party Game!,Hillary's email divulged cryptic discussions on _________.
Bad Campaign, The Presidential Party Game!,I am proud and excited to announce _________ as my running mate!
Bad Campaign, The Presidential Party Game!,I did not have sexual relations with _________.
Bad Campaign, The Presidential Party Game!,I found _________ under Al Gore's mattress.
Bad Campaign, The Presidential Party Game!,I grew up on a desolate _________ farm.
Bad Campaign, The Presidential Party Game!,I inhaled. My dreamquest included a vision of _________. It shaped who I am.
Bad Campaign, The Presidential Party Game!,I know _________ poses a direct threat to the United States.
Bad Campaign, The Presidential Party Game!,I plan on sending _________ to the British Prime Minister as a gift.
Bad Campaign, The Presidential Party Game!,I pledge to raise taxes to create more _________.
Bad Campaign, The Presidential Party Game!,I promise _________ for every hard working mother in our country.
Bad Campaign, The Presidential Party Game!,I stand before you as someone who is against _________ in all circumstances.
Bad Campaign, The Presidential Party Game!,I want a country of shared opportunities and _________.
Bad Campaign, The Presidential Party Game!,I want you to elect a person who is cool on the outside but burns for _________ on the inside.
Bad Campaign, The Presidential Party Game!,I will create a new national holiday celebrating _________.
Bad Campaign, The Presidential Party Game!,I will replace baseball as America's pastime with a sport that involves _________.
Bad Campaign, The Presidential Party Game!,I will shout _________ down the halls of Congress.
Bad Campaign, The Presidential Party Game!,I will tackle America's obesity problem by promoting an hour of daily exercise with _________.
Bad Campaign, The Presidential Party Game!,I'd be happy to sit with Joe Six Pack at the local bar and discuss _________.
Bad Campaign, The Presidential Party Game!,I'll work with Congress to get the _________ our children need.
Bad Campaign, The Presidential Party Game!,I'm an expert in _________. I invented it.
Bad Campaign, The Presidential Party Game!,I'm announcing the war on _________!
Bad Campaign, The Presidential Party Game!,I'm not worried about _________ it will take care of itself.
Bad Campaign, The Presidential Party Game!,I'm putting _________ first.
Bad Campaign, The Presidential Party Game!,If Iran builds nuclear weapons I will unleash _________.
Bad Campaign, The Presidential Party Game!,If we don't protect _________ American families will suffer.
Bad Campaign, The Presidential Party Game!,Let me assert my belief that the only thing we have to fear is _________!
Bad Campaign, The Presidential Party Game!,Long sultry nights at Camp David will be spent playing with _________.
Bad Campaign, The Presidential Party Game!,My campaign bus is fully stocked with _________.
Bad Campaign, The Presidential Party Game!,My first Presidential scandal will involve gratuitous amounts of _________.
Bad Campaign, The Presidential Party Game!,My grandpappy used to sit on the porch and sing an old tune about __________.
Bad Campaign, The Presidential Party Game!,My greatest strength is _________.
Bad Campaign, The Presidential Party Game!,My opponent has an unhealthy obsession with _________.
Bad Campaign, The Presidential Party Game!,My post about _________ got the most likes.
Bad Campaign, The Presidential Party Game!,My time in office will focus on the _________ crisis.
Bad Campaign, The Presidential Party Game!,My two prong strategy for winning this election: _________ and _________.
Bad Campaign, The Presidential Party Game!,Obama believes _________ is his greatest achievement in office.
Bad Campaign, The Presidential Party Game!,Sarah Palin's diary incessantly mentions _________.
Bad Campaign, The Presidential Party Game!,The _________ industry will propel us toward a brighter future.
Bad Campaign, The Presidential Party Game!,The best way to secure a majority of votes is to have_________ on every street corner.
Bad Campaign, The Presidential Party Game!,There is a secret room in the White House devoted to _________.
Bad Campaign, The Presidential Party Game!,Washington D.C. needs to be cleaned up. Everywhere you look you see _________.
Bad Campaign, The Presidential Party Game!,We are witnessing the relentless spread of _________.
Bad Campaign, The Presidential Party Game!,We just can't afford _________ anymore.
Bad Campaign, The Presidential Party Game!,We must teach our children to resolve their conflicts with _________.
Bad Campaign, The Presidential Party Game!,We will redirect the NSA to spy on _________.
Bad Campaign, The Presidential Party Game!,When Bill Clinton blows on his saxophone he probably thinks about _________.
Bad Campaign, The Presidential Party Game!,When I meet voters I like to look them square in the eye and say "I need _________."
