Label,response
Bad Campaign, The Presidential Party Game!,A cloud of joylessness that spreads across the Earth.
Bad Campaign, The Presidential Party Game!,A giant hole.
Bad Campaign, The Presidential Party Game!,A pegasus to Uranus.
Bad Campaign, The Presidential Party Game!,A Port-O-Potty on a sweltering August day.
Bad Campaign, The Presidential Party Game!,A punch in the fat.
Bad Campaign, The Presidential Party Game!,A stick in the eye.
Bad Campaign, The Presidential Party Game!,Abandoned ideals.
Bad Campaign, The Presidential Party Game!,ABC gum.
Bad Campaign, The Presidential Party Game!,Adult diapers.
Bad Campaign, The Presidential Party Game!,Advice from carnies.
Bad Campaign, The Presidential Party Game!,Aggressive meditation.
Bad Campaign, The Presidential Party Game!,Al Gore riding a humpback whale.
Bad Campaign, The Presidential Party Game!,Al Sharpton.
Bad Campaign, The Presidential Party Game!,Alf.
Bad Campaign, The Presidential Party Game!,Another crappy Steve Jobs biography.
Bad Campaign, The Presidential Party Game!,Anxiety meds.
Bad Campaign, The Presidential Party Game!,Apocalyptic Robot Wars.
Bad Campaign, The Presidential Party Game!,Armpit fart noises.
Bad Campaign, The Presidential Party Game!,Arson.
Bad Campaign, The Presidential Party Game!,Atomic wedgies.
Bad Campaign, The Presidential Party Game!,Awesome stuff.
Bad Campaign, The Presidential Party Game!,Awkward middle school dances.
Bad Campaign, The Presidential Party Game!,Baby back ribs.
Bad Campaign, The Presidential Party Game!,Bae.
Bad Campaign, The Presidential Party Game!,Banana hammocks.
Bad Campaign, The Presidential Party Game!,Barack's blond wig.
Bad Campaign, The Presidential Party Game!,Bats.
Bad Campaign, The Presidential Party Game!,Bedazzled boxer shorts.
Bad Campaign, The Presidential Party Game!,Beef Chow Mein.
Bad Campaign, The Presidential Party Game!,Beer Pong.
Bad Campaign, The Presidential Party Game!,Being a shill for extremist groups.
Bad Campaign, The Presidential Party Game!,Being chased by goblins.
Bad Campaign, The Presidential Party Game!,Being nice to chipmunks.
Bad Campaign, The Presidential Party Game!,Being thick with nectar.
Bad Campaign, The Presidential Party Game!,Belly flops.
Bad Campaign, The Presidential Party Game!,Belting out power ballads in the shower.
Bad Campaign, The Presidential Party Game!,Betrayal.
Bad Campaign, The Presidential Party Game!,Bicep rubdowns.
Bad Campaign, The Presidential Party Game!,Biden's IROC Camaro.
Bad Campaign, The Presidential Party Game!,Biden's rockin mullet.
Bad Campaign, The Presidential Party Game!,Big turd factories.
Bad Campaign, The Presidential Party Game!,Bile filled burps.
Bad Campaign, The Presidential Party Game!,Binge watching Golden Girls.
Bad Campaign, The Presidential Party Game!,Bingo at the senior center.
Bad Campaign, The Presidential Party Game!,Bitter hatred.
Bad Campaign, The Presidential Party Game!,Bloodthirsty dictators.
Bad Campaign, The Presidential Party Game!,Blowing chunks.
Bad Campaign, The Presidential Party Game!,Bobbing for guinea pigs.
Bad Campaign, The Presidential Party Game!,Boring weekends in Amish Country.
Bad Campaign, The Presidential Party Game!,Bouncing on a pogo stick.
Bad Campaign, The Presidential Party Game!,Bowing to my corporate masters.
Bad Campaign, The Presidential Party Game!,Boxed wine.
Bad Campaign, The Presidential Party Game!,Brazilian wax jobs.
Bad Campaign, The Presidential Party Game!,Breastfeeding.
Bad Campaign, The Presidential Party Game!,Breathing heavily on the phone and then quickly hanging up.
Bad Campaign, The Presidential Party Game!,Brown Toledo tap water.
Bad Campaign, The Presidential Party Game!,Bruce's Yams.
Bad Campaign, The Presidential Party Game!,Bruised bananas.
Bad Campaign, The Presidential Party Game!,Brushing a life size doll's hair all day.
Bad Campaign, The Presidential Party Game!,Brushing my teeth once a week.
Bad Campaign, The Presidential Party Game!,Buckets of fried chicken.
Bad Campaign, The Presidential Party Game!,Buldge revealing unitards.
Bad Campaign, The Presidential Party Game!,Butt flu.
Bad Campaign, The Presidential Party Game!,Butt pimples.
Bad Campaign, The Presidential Party Game!,Canker sores.
Bad Campaign, The Presidential Party Game!,Captain Planet.
Bad Campaign, The Presidential Party Game!,Caroling with Yoda.
Bad Campaign, The Presidential Party Game!,Cats with gas.
Bad Campaign, The Presidential Party Game!,Chasing sheep across the hills.
Bad Campaign, The Presidential Party Game!,Cheap booze.
Bad Campaign, The Presidential Party Game!,Cheapskates.
Bad Campaign, The Presidential Party Game!,Chewing on handfulls of Mexican pharmacy drugs.
Bad Campaign, The Presidential Party Game!,Chili cheese fries.
Bad Campaign, The Presidential Party Game!,Chillin with my homies.
Bad Campaign, The Presidential Party Game!,Chinese food.
Bad Campaign, The Presidential Party Game!,Chris Christie's neck flab.
Bad Campaign, The Presidential Party Game!,Cock fights.
Bad Campaign, The Presidential Party Game!,Coffins.
Bad Campaign, The Presidential Party Game!,Communism.
Bad Campaign, The Presidential Party Game!,Conversations with an indifferent moose.
Bad Campaign, The Presidential Party Game!,Cougars.
Bad Campaign, The Presidential Party Game!,Cow tipping.
Bad Campaign, The Presidential Party Game!,Crack houses.
Bad Campaign, The Presidential Party Game!,Crotch kicks.
Bad Campaign, The Presidential Party Game!,Crushing debt.
Bad Campaign, The Presidential Party Game!,Dance fights.
Bad Campaign, The Presidential Party Game!,Dancing the Macarena.
Bad Campaign, The Presidential Party Game!,Dangling hotdogs over a shark tank.
Bad Campaign, The Presidential Party Game!,Dating people with low self-esteem.
Bad Campaign, The Presidential Party Game!,Dead end jobs.
Bad Campaign, The Presidential Party Game!,Deep hamstring stretches with Donald Trump.
Bad Campaign, The Presidential Party Game!,Deez Nuts.
Bad Campaign, The Presidential Party Game!,Deflated balls.
Bad Campaign, The Presidential Party Game!,Destroying the economy.
Bad Campaign, The Presidential Party Game!,Diamond studded grillz.
Bad Campaign, The Presidential Party Game!,Dick Cheney's glistening forehead.
Bad Campaign, The Presidential Party Game!,Digging out belly lint.
Bad Campaign, The Presidential Party Game!,Dimwitted Diplomats.
Bad Campaign, The Presidential Party Game!,Disco Inferno.
Bad Campaign, The Presidential Party Game!,Disney's cryogenically frozen head.
Bad Campaign, The Presidential Party Game!,Dolphins eating potato chips.
Bad Campaign, The Presidential Party Game!,Dork face.
Bad Campaign, The Presidential Party Game!,Double rainbows.
Bad Campaign, The Presidential Party Game!,Dropping my phone in the toilet.
Bad Campaign, The Presidential Party Game!,Drunk Secret Service Agents.
Bad Campaign, The Presidential Party Game!,Drunken selfies.
Bad Campaign, The Presidential Party Game!,Dry heaves.
Bad Campaign, The Presidential Party Game!,Dumpster fires.
Bad Campaign, The Presidential Party Game!,Eating a gallon of ice cream alone in the dark.
Bad Campaign, The Presidential Party Game!,Eating dirt.
Bad Campaign, The Presidential Party Game!,Embezzling.
Bad Campaign, The Presidential Party Game!,Endless invitations to play candy crush.
Bad Campaign, The Presidential Party Game!,Endless pleasure.
Bad Campaign, The Presidential Party Game!,Erotic haiku.
Bad Campaign, The Presidential Party Game!,Exceedingly low standards.
Bad Campaign, The Presidential Party Game!,Explosive diarrhea.
Bad Campaign, The Presidential Party Game!,Extra meat in burrito bowls.
Bad Campaign, The Presidential Party Game!,Extreme comb-overs.
Bad Campaign, The Presidential Party Game!,Facebook stalking.
Bad Campaign, The Presidential Party Game!,Failing inner city schools.
Bad Campaign, The Presidential Party Game!,Falling sleep on the toilet.
Bad Campaign, The Presidential Party Game!,Fat lobsters.
Bad Campaign, The Presidential Party Game!,Fat old Juan.
Bad Campaign, The Presidential Party Game!,Filthy liars.
Bad Campaign, The Presidential Party Game!,Finding a date on Craigslist.
Bad Campaign, The Presidential Party Game!,Fishnet stockings.
Bad Campaign, The Presidential Party Game!,Flabby bulge.
Bad Campaign, The Presidential Party Game!,Flapjacks.
Bad Campaign, The Presidential Party Game!,Flesh eating bacteria.
Bad Campaign, The Presidential Party Game!,Floppy jowls.
Bad Campaign, The Presidential Party Game!,Flying squirrels.
Bad Campaign, The Presidential Party Game!,Footie pajamas.
Bad Campaign, The Presidential Party Game!,Forbidden love.
Bad Campaign, The Presidential Party Game!,French kissing.
Bad Campaign, The Presidential Party Game!,Fresh coconuts.
Bad Campaign, The Presidential Party Game!,Fresh Prince reruns.
Bad Campaign, The Presidential Party Game!,Fried bologna.
Bad Campaign, The Presidential Party Game!,Fudge.
Bad Campaign, The Presidential Party Game!,Gas station sushi.
Bad Campaign, The Presidential Party Game!,Gator Wrasslin.
Bad Campaign, The Presidential Party Game!,Gently touching the boa constrictor.
Bad Campaign, The Presidential Party Game!,George Bush's jorts.
Bad Campaign, The Presidential Party Game!,Gerbils with leprosy.
Bad Campaign, The Presidential Party Game!,Gin.
Bad Campaign, The Presidential Party Game!,Gingivitis.
Bad Campaign, The Presidential Party Game!,Giraffe tongue.
Bad Campaign, The Presidential Party Game!,Giving the finger to lame hipsters with beards.
Bad Campaign, The Presidential Party Game!,Giving up.
Bad Campaign, The Presidential Party Game!,Glittery vampires.
Bad Campaign, The Presidential Party Game!,Gluing quarters to the sidewalk.
Bad Campaign, The Presidential Party Game!,Going commando.
