Label,prompt
Bards Dispense Profanity,A bird in the hand is worth _______.
Bards Dispense Profanity,A euphemism for the sex act that you would least like to discuss with your parents:
Bards Dispense Profanity,A horse! a horse! ______ for a horse!
Bards Dispense Profanity,A million dollars isn't cool. You know what's cool? ______.
Bards Dispense Profanity,A vote for Donald Trump is a vote to Make America ______ Again.
Bards Dispense Profanity,Absence makes the heart grow ______.
Bards Dispense Profanity,Actions speak louder than ______.
Bards Dispense Profanity,Ask not what your country can do for you; ask what you can do for _______.
Bards Dispense Profanity,Behind every successful man is _______.
Bards Dispense Profanity,Cowards die many times before their deaths; the valiant never taste ______.
Bards Dispense Profanity,Creepiest ride ever: my Uber driver was ______.
Bards Dispense Profanity,Fear is the path to the dark side. Fear leads to anger; anger leads to hate; hate leads to ______.
Bards Dispense Profanity,God helps those who help ______.
Bards Dispense Profanity,History is written by ______.
Bards Dispense Profanity,How will I keep myself busy after I retire?
Bards Dispense Profanity,I believe it was Winston Churchill who said: "Never in the field of human conflict was so much owed by so many to ______."
Bards Dispense Profanity,I could never marry someone who supports banning _______.
Bards Dispense Profanity,I got my dog from a shelter. She was rescued from ______.
Bards Dispense Profanity,I have a dream that one day this nation wil rise up and live out the true meaning of _______.
Bards Dispense Profanity,I love the smell of ______ in the morning.
Bards Dispense Profanity,I'm getting a degree in English. It's basically four years of ______.
Bards Dispense Profanity,I'm thinking about getting a lower-back tattoo of ______.
Bards Dispense Profanity,I've got ______ in low places.
Bards Dispense Profanity,It's always darkest before _______.
Bards Dispense Profanity,KEEP CALM AND CARRY ______
Bards Dispense Profanity,Key to a healthy marriage: _______.
Bards Dispense Profanity,My road rage really gets out of control when the other driver is ______.
Bards Dispense Profanity,Oh yeah? Well I graduated from the University of ______!
Bards Dispense Profanity,Our next speaker is a distinguished professor of ______ at the University of Chicago.
Bards Dispense Profanity,Pediatricians now recommend that all children receive each morning.
Bards Dispense Profanity,Plot twist: they were ______ the whole time!
Bards Dispense Profanity,PRINCE HARRY CAUGHT IN ______ SCANDAL
Bards Dispense Profanity,Scholars have discovered a previously unknown Sherlock Holmes story called "The Adventure of ______."
Bards Dispense Profanity,Some conspiracists belive that Shakespeare's plays were actually written by ______.
Bards Dispense Profanity,The course of ______ never did run smooth.
Bards Dispense Profanity,The eyes are windows to _______.
Bards Dispense Profanity,The latest Westboro Baptist Church sign:  GOD HATES ______.
Bards Dispense Profanity,The pen is mightier than _______.
Bards Dispense Profanity,The sign of true adult maturity:
Bards Dispense Profanity,There's a theory that Shakespeare was actually ______.
Bards Dispense Profanity,These days the kids are calling it "______."
Bards Dispense Profanity,This year's trendiest card game:  "_______ Against _______."
Bards Dispense Profanity,Throw ______ in the air like you just don't care!
Bards Dispense Profanity,Title of a bestselling memoir later revealed to be fabricated:
Bards Dispense Profanity,Title of a film that's trying to win an Oscar:
Bards Dispense Profanity,We'll be holding you in an isolation chamber until we can rule out ______ Syndrome.
Bards Dispense Profanity,What defines my brand of feminism?
Bards Dispense Profanity,What is this world coming to? I’ll tell you what it's coming to:
Bards Dispense Profanity,What new trend has parents of teenagers worried?
Bards Dispense Profanity,What topic is glaringly absent from the Sex Ed curriculum?
Bards Dispense Profanity,What will finally bring our civilization to an end?
Bards Dispense Profanity,What's in a name? ______ by any other name would smell as sweet.
Bards Dispense Profanity,What's my ideal first date?
Bards Dispense Profanity,What's the sexiest thing ever?
Bards Dispense Profanity,You: Play Rediohead.  Siri: Sorry. I don’t know what "______" means.
Bards Dispense Profanity,You're seeing a therapist for the first time. The therapist asks why you've come.  Your answer:
Bards Dispense Profanity,Your call is very important to us. Please stay on the line and we'll be ______.
