Label,response
Blurbs Against Buffalo,A bottle of Frank's® RedHot® Sauce emptied into the urethra.
Blurbs Against Buffalo,A dirty diaper filled with Lloyd taco meat.
Blurbs Against Buffalo,A mustache ride from the ghost of Teddy Roosevelt.
Blurbs Against Buffalo,A new TV dating show called "Win a Date with Kim Pegula".
Blurbs Against Buffalo,A Northtowns vs. Southtowns Civil War.
Blurbs Against Buffalo,A physical altercation over a Buffalo Chicken Finger Sub.
Blurbs Against Buffalo,A Roswell treatment gone very wrong.
Blurbs Against Buffalo,A seriious addiction to Andersons ice cream.
Blurbs Against Buffalo,A sub-par Beef on Weck.
Blurbs Against Buffalo,A wall of snow that can be seen from miles away.
Blurbs Against Buffalo,An ice bike rental at Canalside.
Blurbs Against Buffalo,An overpopulation of rabid middle-aged Canadian women wreaking havoc on the Galleria Mall.
Blurbs Against Buffalo,Ani DiFranco's hairy armpits.
Blurbs Against Buffalo,Backstage of the theatre at UB.
Blurbs Against Buffalo,Biting into a Ted's Hotdog and finding veins.
Blurbs Against Buffalo,Blowing a line of coke off of Rick James' tombstone.
Blurbs Against Buffalo,Boy I Love Losing Super Bowls.
Blurbs Against Buffalo,Bungee jumping from the Skyway.
Blurbs Against Buffalo,Checking in to a comfortable room at the Buffalo Psych Center.
Blurbs Against Buffalo,Cheektavegas.
Blurbs Against Buffalo,Cleaning the floor of the bathroom at The Pink with your tongue.
Blurbs Against Buffalo,Drinking Brett Hull's blood out of Lord Stanley's Cup.
Blurbs Against Buffalo,Every new restaurant's obsession with Poutine.
Blurbs Against Buffalo,Ghost pepper chicken wing shits.
Blurbs Against Buffalo,Going over Niagara Falls in a barrel.
Blurbs Against Buffalo,Loganberry flavored Jell-o wrestling.
Blurbs Against Buffalo,Making out with the homeless guy who's pissing on the subway tracks.
Blurbs Against Buffalo,Mayor Byron Brown's snarky attitude.
Blurbs Against Buffalo,Mickey Rats' classy vibe.
Blurbs Against Buffalo,Motorboating Billy Fucillo's man-boobs. It's gonn be HUGE!
Blurbs Against Buffalo,Pegulaville!
Blurbs Against Buffalo,Rick Jeanneret slowly licking the side of your face.
Blurbs Against Buffalo,Sex in public at the Bufalo Zoo.
Blurbs Against Buffalo,Streaking down Elmwood.
Blurbs Against Buffalo,Taro Tsujimoto.
Blurbs Against Buffalo,The absurd amount of dog shit that appears on the sidewalk immediately after all the snow melts.
Blurbs Against Buffalo,The Buffalo Billion.
Blurbs Against Buffalo,The feeling of panic that you get about 10 minutes after eating Mighty Taco and there is no bathroom in sight.
Blurbs Against Buffalo,The Goo Goo Dolls.
Blurbs Against Buffalo,The Labatt Pond Hockey Tournament.
Blurbs Against Buffalo,The Labatty Splatties.
Blurbs Against Buffalo,The Lackawanna 6.
Blurbs Against Buffalo,The old Club 31.
Blurbs Against Buffalo,The petrified testicles of Frank Lloyd Wright.
Blurbs Against Buffalo,The unwashed portion of the Allentown hipster community.
Blurbs Against Buffalo,Tim Hortons coffee and a bag of dicks.
Blurbs Against Buffalo,Toothless people on Seneca St.
Blurbs Against Buffalo,Topless spring skiing at Holiday Valley.
Blurbs Against Buffalo,West Side gentrification.
