Label,prompt
Cads About Maternity - A game for bad mommies,How can you keep your sex life satisfying during your pregnancy?
Cads About Maternity - A game for bad mommies,One important benefit of breastfeeding is ______.
Cads About Maternity - A game for bad mommies,One of the benefits of using a midwife is _______.
Cads About Maternity - A game for bad mommies,Parenthood gets real when you experience ______.
Cads About Maternity - A game for bad mommies,The epidural actually works better if you chase it with _______.
Cads About Maternity - A game for bad mommies,The most magical moment of motherhood is ______.
Cads About Maternity - A game for bad mommies,Welcome your child into the world with ______.
Cads About Maternity - A game for bad mommies,What are you most looking forward to after baby's here?
Cads About Maternity - A game for bad mommies,What cured your postpartum depression?
Cads About Maternity - A game for bad mommies,What did your doula bring to the birthing suite to calm you down?
Cads About Maternity - A game for bad mommies,What did your labor feel like?
Cads About Maternity - A game for bad mommies,What's a surefire way to induce labor?
Cads About Maternity - A game for bad mommies,What's left on your to-do list before the kid arrives?
Cads About Maternity - A game for bad mommies,What's the best gift a new parent can get?
Cads About Maternity - A game for bad mommies,What's the best way to be a supportive partner to the new mom?
Cads About Maternity - A game for bad mommies,What's the best way to ensure good pregnancy nutrition?
Cads About Maternity - A game for bad mommies,What's the key to successful hypnobirthing?
Cads About Maternity - A game for bad mommies,What's the most annoying habit of expecting mothers?
Cads About Maternity - A game for bad mommies,What's the most terrifying part of becoming a parent?
Cads About Maternity - A game for bad mommies,What's your favorite baby name so far?
Cads About Maternity - A game for bad mommies,What's your secret remedy for sore nipples?
Cads About Maternity - A game for bad mommies,When was your dignity at its lowest?
