Label,response
Cads About Matrimony,A “business trip.”
Cads About Matrimony,A 50% divorce rate.
Cads About Matrimony,A bizarre love octagon.
Cads About Matrimony,A botched genital piercing.
Cads About Matrimony,A butthole full of mustard.
Cads About Matrimony,A colorful assortment of butt plugs.
Cads About Matrimony,A demonstration of who really wears the pants in this family.
Cads About Matrimony,A diamond the size of Uranus.
Cads About Matrimony,A digital chastity belt.
Cads About Matrimony,A disturbingly life-like blow-up doll.
Cads About Matrimony,A DJ with a Wham! obsession.
Cads About Matrimony,A drunk karaoke version of “Take My Breath Away.”
Cads About Matrimony,A drunk relative muttering racial slurs.
Cads About Matrimony,A forged prescription for STD meds.
Cads About Matrimony,A gag ball and a riding crop.
Cads About Matrimony,A godless harlot.
Cads About Matrimony,A good old-fashioned case of whiskey dick.
Cads About Matrimony,A groomsman confessing he always secretly loved you.
Cads About Matrimony,A groomsman in a kilt …and nothing else.
Cads About Matrimony,A half-finished Brazilian wax job.
Cads About Matrimony,A happy ending.
Cads About Matrimony,A hasty vasectomy.
Cads About Matrimony,A healthy work-life balance.
Cads About Matrimony,A heart made of sentient nanobots.
Cads About Matrimony,A heart-shaped Jacuzzi filled with champagne and Viagra™.
Cads About Matrimony,A hickey from a stripper.
Cads About Matrimony,A hot neighbor with no conscience and nothing to lose.
Cads About Matrimony,A lifetime of crippling regret.
Cads About Matrimony,A lifetime of judgmental glances from your in-laws.
Cads About Matrimony,A lifetime subscription to Big Black Butts magazine.
Cads About Matrimony,A little same-sex experimentation.
Cads About Matrimony,A little too much glitter.
Cads About Matrimony,A maid of honor with no shame.  No. Shame.
Cads About Matrimony,A mediocre dominatrix.
Cads About Matrimony,A misunderstanding involving a strap-on.
Cads About Matrimony,A mustache ride.
Cads About Matrimony,A mysterious stain on his tuxedo.
Cads About Matrimony,A nervous breakdown at IKEA.™
Cads About Matrimony,A pair of rusty handcuffs and a bottle of lube.
Cads About Matrimony,A penis that’s almost too big.
Cads About Matrimony,A penis with a smiley face.
Cads About Matrimony,A pound of weed and a Mexican stripper.
Cads About Matrimony,A quivering pile of love jelly.
Cads About Matrimony,A raging libido.
Cads About Matrimony,A secret second family in Canada.
Cads About Matrimony,A see-through wedding gown.
Cads About Matrimony,A severed finger in the wedding cake.
Cads About Matrimony,A shrieking biological alarm clock.
