Label,prompt
Cads Against Adulting,Adulting is like ______ mixed with ______.
Cads Against Adulting,Adulting is stressful. At least as a child I was ______.
Cads Against Adulting,An upcoming social event just got canceled. How are you celebrating?
Cads Against Adulting,Everything's a complete mess but I'm still ______ so I guess it's okay.
Cads Against Adulting,Great. Millennials have now ruined the ______ industry.
Cads Against Adulting,His Tinder profile seemed fine until he listed ______ as an interest.
Cads Against Adulting,I adulted for six straight hours before ______.
Cads Against Adulting,I celebrated paying off my credit card by ______.
Cads Against Adulting,I did my own laundry today! Tomorrow I plan to be ______.
Cads Against Adulting,I feel inadequate when I see others ______.
Cads Against Adulting,I had to call the health insurance company three times just to get coverage for ______.
Cads Against Adulting,I know I'm good at adulting when I'm regularly ______.
Cads Against Adulting,I know I'm in touch with my true self when I'm ______.
Cads Against Adulting,I literally have no hobbies other than ______.
Cads Against Adulting,I needed to buy a new mattress but my $50 was only good for _______.
Cads Against Adulting,I never understand why adults were always in such a bad mood until I started ______.
Cads Against Adulting,I used to believe in fairytales. Now I believe in ______.
Cads Against Adulting,I want to be the first person take a selfie while ______.
Cads Against Adulting,I want to settle down and have kids but ______ takes up all of my time.
Cads Against Adulting,I watched the news for five minutes. Now I want to be ______.
Cads Against Adulting,I wish I was good as making friends in real life as I was at ______.
Cads Against Adulting,I wonder if my landlord will accept ______ as payment.
Cads Against Adulting,I'd have more money if I didn't waste it on ______.
Cads Against Adulting,I'd rather be ______ than file my own taxes.
Cads Against Adulting,I'm going to start listing ______ as a skill on my resume.
Cads Against Adulting,I'm sick of being shamed for ______.
Cads Against Adulting,I'm trying to reduce my appetite by ______.
Cads Against Adulting,I've been keeping the rent price down in my neighbourhood by publicly ______.
Cads Against Adulting,Ideal first date: ______.
Cads Against Adulting,Life is what happens while you're ______.
Cads Against Adulting,Maturity is a process that involves patience and ______.
Cads Against Adulting,Money can't buy you happiness but it sure beats ______.
Cads Against Adulting,My belly button has probably collected 10 lbs of ______ over the course of my life.
Cads Against Adulting,My biggest fear about adulting is ______.
Cads Against Adulting,My constant ______ just got me promoted.
Cads Against Adulting,My enjoyment of ______ has turned into an addiction to ______.
Cads Against Adulting,My fondest childhood memories are ______.
Cads Against Adulting,My fridge is starting to represent ______.
Cads Against Adulting,My friend claims to have lost 10 lbs. in two weeks by simply ______.
Cads Against Adulting,My idea of winning is ______.
Cads Against Adulting,My new roommate was great until she started ______.
Cads Against Adulting,My online persona would be shattered if people knew that I'm actually ______.
Cads Against Adulting,My social life has turned to shit so now I'm just ______ for fun.
Cads Against Adulting,My way of dealing with conflist is ______.
Cads Against Adulting,No one retweets my stuff unless I post about ______.
Cads Against Adulting,No one should be allowed to be ______ in this country. Share if you agree!
Cads Against Adulting,Payday isn't for 12 days and I already spent my whole paycheck on ______.
Cads Against Adulting,Sounds like _______ but ok.
Cads Against Adulting,The best part of my childhood was ______.
Cads Against Adulting,The day I vote is the day I'll be ______.
Cads Against Adulting,The idea of getting married is bearable if I'm allowed to be ______.
Cads Against Adulting,The main reason for my social anxiety is ______.
Cads Against Adulting,The only thing that gets me through my morning commute is ______.
Cads Against Adulting,The road to adulting is paved with _______.
Cads Against Adulting,They should invent an emoji for ______.
Cads Against Adulting,Why is it so hard to find a roommate who isn't always ______?
Cads Against Adulting,You accidentally read the comments section. How do you maintain the will to live?
Cads Against Adulting,You try to go one hour without looking at your phone. How are you keeping yourself distracted?
Cads Against Adulting,Your date keeps talking about his moon sign in the fourth house. How do you stay interested?
