Label,response
Cads Against Adulting,A Confederate Flag tattoo.
Cads Against Adulting,A giant clusterfuck in the center of the galaxy.
Cads Against Adulting,A sausage betwixt the cheeks.
Cads Against Adulting,Abandoning all my hopes and dreams.
Cads Against Adulting,Absolutely nothing.
Cads Against Adulting,Abusing public figures on Twitter.
Cads Against Adulting,Accidental dick pics.
Cads Against Adulting,Accidentally posting a nude to my story.
Cads Against Adulting,Actually saying my partner's name during sex.
Cads Against Adulting,Adding "and shit" to sentences to sound less white.
Cads Against Adulting,Adulting classes.
Cads Against Adulting,Almost experiencing consequences.
Cads Against Adulting,Anchovies.
Cads Against Adulting,Another goddamn rustic-looking brewpub.
Cads Against Adulting,Antidepressants.
Cads Against Adulting,Apologizing without knowing what I'm apologizing for.
Cads Against Adulting,Arming the homeless.
Cads Against Adulting,Armpit herpes.
Cads Against Adulting,Artificial insemination.
Cads Against Adulting,Assmebling an IKEA wardrobe.
Cads Against Adulting,Attending a North Korea summit with the President and Dennis Rodman.
Cads Against Adulting,Attracting literally the worst people.
Cads Against Adulting,Attractive men with insubstantial dicks.
Cads Against Adulting,Avoiding eye contact unless it will lead to fucking.
Cads Against Adulting,Banana milk.
Cads Against Adulting,Barron Trump.
Cads Against Adulting,Being a male and needing constant reassurance that I'm not acting gay.
Cads Against Adulting,Being a motherfucking mermaid.
Cads Against Adulting,Being completely unemployable.
Cads Against Adulting,Being in a bad mood for so long that this is just who I am now.
Cads Against Adulting,Being kinkshamed on social media.
Cads Against Adulting,Being passively-aggressive on social media.
Cads Against Adulting,Being proud of taking a long nap.
Cads Against Adulting,Big dick energy.
Cads Against Adulting,Binge-shopping.
Cads Against Adulting,Biting nipples.
Cads Against Adulting,Blaming all salty text messages on autocorrect.
Cads Against Adulting,Blaming everyone else for everything.
Cads Against Adulting,Blissfully ignorant.
Cads Against Adulting,Blowing bubbles in the bath with a straw instead of forking out for real bubbles.
Cads Against Adulting,Boko Haram.
Cads Against Adulting,Bonding with my Roomba.
Cads Against Adulting,Bonding with someone over our desire to bang a member of the Royal Family.
Cads Against Adulting,Bracing for heartbreak before opening the fridge to see if my roommate ate my leftovers.
Cads Against Adulting,Bragging about easting ass but refusing to eat pineapple on pizza.
Cads Against Adulting,Bringing cocaine to a baby shower.
Cads Against Adulting,Building a nuclear bunker at my parents' house.
Cads Against Adulting,Burning in Adulthood Hell.
Cads Against Adulting,Burning my neighbor's house down to keep the rent low.
Cads Against Adulting,Busting a nut.
Cads Against Adulting,Calling the cops on my own party because I'm tired.
Cads Against Adulting,Cashiers talking to me about their stepchildren.
Cads Against Adulting,Celebrating personal achievements with video games.
Cads Against Adulting,Changing my bedsheets.
Cads Against Adulting,Charging my dog back rent.
Cads Against Adulting,Checking my bank balance.
Cads Against Adulting,Checking out of life.
Cads Against Adulting,Climbing a mountain.
Cads Against Adulting,Clocking out of work.
Cads Against Adulting,Closing my eyes and thinking about dick.
Cads Against Adulting,Commenting with aggressive memes on Mark Zuckerberg's posts.
Cads Against Adulting,Competitive eating.
Cads Against Adulting,Complimenting someone's dress sense in person while blasting their poor taste on social media.
Cads Against Adulting,Constantly consuming content.
Cads Against Adulting,Constantly making plans with my partner to psotpone breaking up.
Cads Against Adulting,Convincing my friend I watched the video he shared.
Cads Against Adulting,Convincing my roommate I'm not a slob ass piece of shit.
Cads Against Adulting,Covfefe.
Cads Against Adulting,Creating perfect camel toe.
Cads Against Adulting,Crying in the fetal position.
Cads Against Adulting,Cunnilingus.
Cads Against Adulting,Cutting coupons for ramen noodles.
Cads Against Adulting,Dank memes.
Cads Against Adulting,Day-drinking and using power tools.
Cads Against Adulting,Deep-frying leftover pizza.
Cads Against Adulting,Describing my beer belly as "thicc".
Cads Against Adulting,Destigmatizing alcoholism.
Cads Against Adulting,Disappointment.
Cads Against Adulting,Discussing coconuts' migratory patterns.
Cads Against Adulting,Dope.
Cads Against Adulting,Downplaying my hilariousness.
Cads Against Adulting,Dreaming about Obama.
Cads Against Adulting,Drinking a whole bottle of red wine for the antioxidants.
Cads Against Adulting,Drinking wine in bed while watching cartoons.
Cads Against Adulting,Driving off a bridge in the hopes of getting a few days off.
Cads Against Adulting,Driving without swearing.
Cads Against Adulting,Dwayne "The Rock" Johnson.
Cads Against Adulting,Dying from a preventable illness.
Cads Against Adulting,Eaing gluten unapologetically.
Cads Against Adulting,Earwax sculpting.
Cads Against Adulting,Eating a $2 McDonald's meal.
Cads Against Adulting,Eating a moldy fruit because it's still organic.
Cads Against Adulting,Eating a single tomato in the dark.
Cads Against Adulting,Eating a whole head of lettuce like an apple.
Cads Against Adulting,Eating anxiety sandwiches.
Cads Against Adulting,Eating magic mushrooms and laughing at my dad watching Fox News.
Cads Against Adulting,Eating my best friend's placenta.
Cads Against Adulting,Eating my partenr's fries even though I could have odered my own.
Cads Against Adulting,Eating Nutella for breakfast.
Cads Against Adulting,Eating squirrels.
Cads Against Adulting,Eating sushi in a dance pit.
Cads Against Adulting,Edible porcupines.
Cads Against Adulting,Edibles.
Cads Against Adulting,Endless fidget spinning.
Cads Against Adulting,Erection sword fighting.
Cads Against Adulting,Erotic asphyxiation.
Cads Against Adulting,Establishing communism.
Cads Against Adulting,Experiencing horrible hormonal side-effects from birth control that are still better than using condoms.
Cads Against Adulting,Expressing my existential hell through memes.
Cads Against Adulting,Extinguishing fires with vodka.
Cads Against Adulting,Facebooking while drinking.
Cads Against Adulting,Faith in humanity.
Cads Against Adulting,Falling pregnant.
Cads Against Adulting,Fantasizing about Ruth Bader Ginsberg.
Cads Against Adulting,Fantasizing more about seleep than sex.
Cads Against Adulting,Feeling a sense of futility while shaving my pubes.
Cads Against Adulting,Feeling over the hill at 22.
Cads Against Adulting,Feigning interest in others.
Cads Against Adulting,Fellatio.
Cads Against Adulting,Female ejaculation.
Cads Against Adulting,Finding a small family of racoons living in my sink.
Cads Against Adulting,Finding a sugar daddy.
Cads Against Adulting,Finding my keys.
Cads Against Adulting,Finding my old scene pics from MySpace.
Cads Against Adulting,Finding out that fabric softener isn't detergent.
Cads Against Adulting,Finding snacks in my cleavage.
Cads Against Adulting,Finding thin layers of grease on all of my devices.
Cads Against Adulting,Fishing for compliments.
Cads Against Adulting,Five shots of coffee mixed with 100g of sugar and two shots of liquor.
Cads Against Adulting,Flinging myself from a cliff overlooking the sea.
Cads Against Adulting,Food trucks.
Cads Against Adulting,Fuckboys.
Cads Against Adulting,Furiously masturbating.
Cads Against Adulting,Furiously pirating movies and music.
Cads Against Adulting,Gender-neutral pronouns.
Cads Against Adulting,Getting action at the TSA.
Cads Against Adulting,Getting all the good dick.
Cads Against Adulting,Getting in a knockout fight in Walmart.
Cads Against Adulting,Getting in a Twitter beef with the president.
Cads Against Adulting,Getting mad at people for not responding within 12 minutes.
Cads Against Adulting,Getting my dominatrix career off the ground.
Cads Against Adulting,Getting no likes on what I thought was an incredibly on-point post.
Cads Against Adulting,Getting pulled over for sexting and driving.
Cads Against Adulting,Getting roasted by a distant relative on social media.
Cads Against Adulting,Getting together with old friends and masturbating together.
Cads Against Adulting,Getting turnt up.
Cads Against Adulting,Going for a hike while watching YouTube on my phone.
Cads Against Adulting,Going to a festival and watching absolutely zero bands.
Cads Against Adulting,Going to extreme lengths to convince my boss I'm in hospital.
Cads Against Adulting,Gonorrhea.
Cads Against Adulting,Harvesting lint from bodily crevices.
Cads Against Adulting,Having a great work ethic in video games and nothing else.
Cads Against Adulting,Having a house to myself.
Cads Against Adulting,Having a panic attack in a grocery store.
Cads Against Adulting,Having a relaxing night deciding what show to watch and choosing nothing.
Cads Against Adulting,Having my credit card declined.
Cads Against Adulting,Hiding hotdogs in my pocket as a treat for later.
Cads Against Adulting,Hillary Clinton.
Cads Against Adulting,Hot jizz.
Cads Against Adulting,Hunting unicorns in Alaska.
Cads Against Adulting,Ignoring emails but instantly reponding to texts.
Cads Against Adulting,Imagining scenarios in which I'm funny.
Cads Against Adulting,Inexplicable bruises.
Cads Against Adulting,Injecting my insecure chihuahua with steroids.
Cads Against Adulting,Inspecting my own asshole with a mirror.
Cads Against Adulting,Instagram husbands.
Cads Against Adulting,Intense staring contests with cats.
Cads Against Adulting,Inventing new curse words.
Cads Against Adulting,Jeff Goldblum.
Cads Against Adulting,Jesus and tequila.
Cads Against Adulting,Joining a book club.
Cads Against Adulting,Joining ISIS for the job security.
Cads Against Adulting,Joyriding onto a traffic island.
Cads Against Adulting,Judging someone called Kyle just because his name is Kyle…
Cads Against Adulting,Justin Bieber's secret toupee.
Cads Against Adulting,Knowing every detail from Harry Potter but not knowing how to boil an egg.
Cads Against Adulting,Kony 2012.
Cads Against Adulting,Lacking in major cognitive function.
Cads Against Adulting,Learning a language just so the Duolingo owl can keep me company.
Cads Against Adulting,Leaving MDMA out for Santa.
Cads Against Adulting,Leftover food showing signs of snetience.
Cads Against Adulting,Lending my parents money to pay for meds.
Cads Against Adulting,Liking a comment my ex tagged their new partner in.
Cads Against Adulting,Limiting all sensory experiences to chocolate and YouTube.
Cads Against Adulting,Listening to my nephew's abysmal singing.
Cads Against Adulting,Lit AF.
Cads Against Adulting,Long-distance squirting.
Cads Against Adulting,Lying about literally everything on a rental application.
Cads Against Adulting,Lying in my own filth.
Cads Against Adulting,Making a list of people to kill.
Cads Against Adulting,Making a shameless knockoff card game.
Cads Against Adulting,Making fun of pumpkin spice but lowkey still enjoying it.
Cads Against Adulting,Making sex eyes at a police officer.
Cads Against Adulting,Masturbating like nobody's watching.
Cads Against Adulting,Masturbating to profile pictures.
Cads Against Adulting,Medicated all the time.
Cads Against Adulting,Meditation classes.
Cads Against Adulting,Mentally undressing my therapist.
Cads Against Adulting,Microbreweries.
Cads Against Adulting,Microwaving whole cans of soup.
Cads Against Adulting,Miniature horses.
Cads Against Adulting,Mompreneurs.
Cads Against Adulting,Mosquitoes sucking my will to live.
Cads Against Adulting,Motorboating.
Cads Against Adulting,Moving to Serbia and living off $3 a day.
Cads Against Adulting,My coping mechanisms creating more problems than the thing I'm trying to cope with.
Cads Against Adulting,Nodding and shouting "Yeah!" at my parent's advice while knowing I'll ignore it.
Cads Against Adulting,Not having to deal with people's shit.
Cads Against Adulting,Offering emotional support then cutting off all contact.
Cads Against Adulting,Oprah.
Cads Against Adulting,Ordering a $200 watch because of the free shipping.
Cads Against Adulting,Our Dear Supreme Leader.
Cads Against Adulting,Overactive glands.
Cads Against Adulting,Overanalyzing everything.
Cads Against Adulting,Overthrowing capitalism.
Cads Against Adulting,Paranormal activity.
Cads Against Adulting,Patriotically standing during the national anthem.
Cads Against Adulting,Peace and quiet.
Cads Against Adulting,Pee-pee juice.
Cads Against Adulting,Peeing in my shower.
