Label,response
CAH: 2000s Nostalgia Pack,All these boys in my yard asking for milkshakes.
CAH: 2000s Nostalgia Pack,Being a total Miranda.
CAH: 2000s Nostalgia Pack,Blowing Lucas on an inflatable chair.
CAH: 2000s Nostalgia Pack,Chunky highlights.
CAH: 2000s Nostalgia Pack,Collateralized debt obligations.
CAH: 2000s Nostalgia Pack,Competing against 20 other women for the love of Flava Flav.
CAH: 2000s Nostalgia Pack,Cybering with diselman89.
CAH: 2000s Nostalgia Pack,Defining marriage at the union of one man and one woman.
CAH: 2000s Nostalgia Pack,Doing 9/11.
CAH: 2000s Nostalgia Pack,Downloading a bunch of weird porn on Kazaa.
CAH: 2000s Nostalgia Pack,Getting crunk.
CAH: 2000s Nostalgia Pack,Getting drenched in Dave Matthew's shit and piss.
CAH: 2000s Nostalgia Pack,Getting pwned.
CAH: 2000s Nostalgia Pack,Going to prom with a 108-year-old vampire.
CAH: 2000s Nostalgia Pack,Hoobastank.
CAH: 2000s Nostalgia Pack,Letting the terrorists win.
CAH: 2000s Nostalgia Pack,My son and business partnew H.W. Plainview.
CAH: 2000s Nostalgia Pack,Starting to be cool about gay people.
CAH: 2000s Nostalgia Pack,Suspicious white powder.
CAH: 2000s Nostalgia Pack,Taking a blurry photo of my penis on my Motorola Razr.
CAH: 2000s Nostalgia Pack,The conservative blogosphere.
CAH: 2000s Nostalgia Pack,The new Sweet Onion Chicken Teriyaki sandwich from Subway!
CAH: 2000s Nostalgia Pack,Two girls sharing one cup of poop.
CAH: 2000s Nostalgia Pack,Vajazzling my vajayjay.
CAH: 2000s Nostalgia Pack,Weapons of mass destruction.
