Label,response
CAH: A.I. Pack,A woman who is so smart that she can predict the movements of 300 birds.
CAH: A.I. Pack,Finding a nipple and being like “Oooh! That’s a nipple!”
CAH: A.I. Pack,Getting Masturbated to.
CAH: A.I. Pack,Giving grandma crappy things she doesn’t like.
CAH: A.I. Pack,Ham finger.
CAH: A.I. Pack,Hands down the best eggnog I have ever had.
CAH: A.I. Pack,Insane empanadas.
CAH: A.I. Pack,Laughing hysterically while my partner pours coffee into my eyes.
CAH: A.I. Pack,More olives than you could possibly understand.
CAH: A.I. Pack,Mr. Poop.
CAH: A.I. Pack,My disgusting pot-bellied boy.
CAH: A.I. Pack,P.F. Chang’s fusion of casual and formal cuisine.
CAH: A.I. Pack,Screaming “there’s a hawk up my ass!”
CAH: A.I. Pack,Secret CIA moon prisons.
CAH: A.I. Pack,Some kind of mutated shrimp that can suck dick like a pro.
CAH: A.I. Pack,Some sort of unstoppable poo gun.
CAH: A.I. Pack,Stairs
CAH: A.I. Pack,That shitty season of Mad Men where Sterling Cooper Draper Pryce gets destroyed by Daenerys Targaryen’s dragons.
CAH: A.I. Pack,The amount of emotions a peanut would be capable of holding.
CAH: A.I. Pack,The idea of a walrus.
CAH: A.I. Pack,The lesbians of Iowa.
CAH: A.I. Pack,The real story behind the yogurt that came out of Tina’s vagina.
CAH: A.I. Pack,The unspeakable secrets of the weasels.
CAH: A.I. Pack,These amazing testicles I’m about to share with you.
CAH: A.I. Pack,These awesome gadgets that track my every move.
CAH: A.I. Pack,These new jeans that look so cool but are actually so bad.
CAH: A.I. Pack,What I Doin’.
