Label,prompt
CAH: Blue Box Expansion,And today's soup is Cream of ______.
CAH: Blue Box Expansion,Behind every powerful man is ______.
CAH: Blue Box Expansion,Dammit Gary. You can't just solve every problem with ______.
CAH: Blue Box Expansion,Do not fuck with me! I am literally ______ right now.
CAH: Blue Box Expansion,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!
CAH: Blue Box Expansion,Do you lack energy? Does it sometimes feel like the whole world is ______ ? Ask your doctor about Zoloft.®
CAH: Blue Box Expansion,Don't worry kid. It gets better. I've been living with ______ for 20 years.
CAH: Blue Box Expansion,Every step towards ______ gets me a little bit closer to ______.
CAH: Blue Box Expansion,Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.
CAH: Blue Box Expansion,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.
CAH: Blue Box Expansion,Having the worst day EVER. #______
CAH: Blue Box Expansion,How am I compensating for my tiny penis?
CAH: Blue Box Expansion,Life's pretty tough in the fast lane. That's why I never leave the house without ______.
CAH: Blue Box Expansion,Now in bookstores: "The Audacity of ______" by Barack Obama.
CAH: Blue Box Expansion,Oprah's book of the month is "______ For ______: A Story of Hope."
CAH: Blue Box Expansion,Patient presents with ______. Likely a result of ______.
CAH: Blue Box Expansion,Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.
CAH: Blue Box Expansion,She's up all night for good fun. I'm up all night for ______.
CAH: Blue Box Expansion,This year's hottest album is "______" by ______.
CAH: Blue Box Expansion,Wes Anderson's new film tells the story of a precocious child coming to terms with ______.
CAH: Blue Box Expansion,What killed my boner?
CAH: Blue Box Expansion,What's fun until it gets weird?
CAH: Blue Box Expansion,What's making things awkward in the sauna?
CAH: Blue Box Expansion,WHOOO! God damn I love ______!
CAH: Blue Box Expansion,Why am I broke?
CAH: Blue Box Expansion,Why won't you make love to me anymore? Is it ______?
CAH: Blue Box Expansion,Yo' mama's so fat she ______!
CAH: Blue Box Expansion,You are not alone. Millions of Americans struggle with ______ every day.
CAH: Blue Box Expansion,You Won't Believe These 15 Hilarious ______ Bloopers!
