Label,response
CAH: College Pack,A bachelor's degeree in communications.
CAH: College Pack,A girl who is so interesting that she has blue hair.
CAH: College Pack,A Yale man.
CAH: College Pack,An emergency all-floor meeting on inclusion.
CAH: College Pack,Calling mom because it's just really hard and I miss her and I don't know anyone here.
CAH: College Pack,Falling in love with poetry.
CAH: College Pack,Five morons signing a lease together.
CAH: College Pack,Fucking the beat boxer from the a cappella group.
CAH: College Pack,Googling how to eat pussy.
CAH: College Pack,How many Asians there are.
CAH: College Pack,My high school boyfriend.
CAH: College Pack,Performative wokeness.
CAH: College Pack,Pretending to have done the reading.
CAH: College Pack,Rocking a 1.5 GPA.
CAH: College Pack,Sucking a flaccid penis for 20 minutes.
CAH: College Pack,The sound of my roommate masturbating.
CAH: College Pack,Throw up.
CAH: College Pack,Underage drinking.
CAH: College Pack,Valuable leadership experience.
CAH: College Pack,Wandering the streets in search of a party.
CAH: College Pack,Whichever one of you took a shit in the shower.
CAH: College Pack,Young Republicans.
