Label,prompt
CAH: Fifth Expansion,And today's soup is Cream of ______.
CAH: Fifth Expansion,Do the Dew with our most extreme flavor yet! Get ready for Mountain Dew ______!
CAH: Fifth Expansion,Do you lack energy? Does it sometimes feel like the whole world is ______? Zoloft.
CAH: Fifth Expansion,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.
CAH: Fifth Expansion,Having the worst day EVER. #______
CAH: Fifth Expansion,Life's pretty tough in the fast lane. That's why I never leave the house without ______.
CAH: Fifth Expansion,Now in bookstores: "The Audacity of ______" by Barack Obama.
CAH: Fifth Expansion,Patient presents with ______ . Likely a result of ______.
CAH: Fifth Expansion,What killed my boner?
CAH: Fifth Expansion,What's making things awkward in the sauna?
CAH: Fifth Expansion,WHOOO! God damn I love ______!
CAH: Fifth Expansion,Why am I broke?
CAH: Fifth Expansion,Yo' mama's so fat she ______!
