Label,response
CAH: Fifth Expansion,A chimpanzee in sunglasses fucking your wife.
CAH: Fifth Expansion,A crazy little thing called love.
CAH: Fifth Expansion,A disappointing salad.
CAH: Fifth Expansion,A face full of horse cum.
CAH: Fifth Expansion,A giant powdery manbaby.
CAH: Fifth Expansion,A mouthful of potato salad.
CAH: Fifth Expansion,A powered exoskeleton.
CAH: Fifth Expansion,A reason not to commit suicide.
CAH: Fifth Expansion,A team of lawyers.
CAH: Fifth Expansion,A whole new kind of porn.
CAH: Fifth Expansion,AIDS monkeys.
CAH: Fifth Expansion,All these decorative pillows.
CAH: Fifth Expansion,An inability to form meaningful relationships.
CAH: Fifth Expansion,An unforgettable quinceañera.
CAH: Fifth Expansion,An uninterrupted history of imperialism and exploitation.
CAH: Fifth Expansion,Anal fissures like you wouldn't believe.
CAH: Fifth Expansion,Ancient Athenian boy-fucking.
CAH: Fifth Expansion,Backwards knees.
CAH: Fifth Expansion,Being nine years old.
CAH: Fifth Expansion,Being paralyzed from the neck down.
CAH: Fifth Expansion,Being worshipped as the one true God.
CAH: Fifth Expansion,Blackface.
CAH: Fifth Expansion,Blowjobs for everyone.
CAH: Fifth Expansion,Boring Vaginal sex.
CAH: Fifth Expansion,Butt stuff.
CAH: Fifth Expansion,Changing a person's mind with logic and facts.
CAH: Fifth Expansion,Child support payments.
CAH: Fifth Expansion,Cutting off a flamingo's legs with garden shears.
CAH: Fifth Expansion,Daddy's credit card.
CAH: Fifth Expansion,Deez nuts.
CAH: Fifth Expansion,Denzel.
CAH: Fifth Expansion,Doing the right stuff to her nipples.
CAH: Fifth Expansion,Ejaculating live bees and the bees are angry.
CAH: Fifth Expansion,Ennui.
CAH: Fifth Expansion,Figuring out how to have sex with a dolphin.
CAH: Fifth Expansion,Genghis Khan's DNA.
CAH: Fifth Expansion,Getting caught by the police and going to jail.
CAH: Fifth Expansion,Getting drive-by shot.
CAH: Fifth Expansion,Getting eaten alive by Guy Fieri.
CAH: Fifth Expansion,Giant sperm from outer space.
CAH: Fifth Expansion,Going to a high school reunion on ketamine.
CAH: Fifth Expansion,Having been dead for a while.
CAH: Fifth Expansion,Mom's new boyfriend.
CAH: Fifth Expansion,My boyfriend's stupid penis.
CAH: Fifth Expansion,My dead son's baseball glove.
CAH: Fifth Expansion,My first period.
CAH: Fifth Expansion,Not believing in giraffes.
CAH: Fifth Expansion,Oil!
CAH: Fifth Expansion,Out-of-this-world bazongas.
CAH: Fifth Expansion,P.F. Chang himself.
CAH: Fifth Expansion,Russian super-tuberculosis.
CAH: Fifth Expansion,Seeing my village burned and my family slaughtered before my eyes.
CAH: Fifth Expansion,Seeing things from Hitler's perspective.
CAH: Fifth Expansion,Slowly easing down onto a cucumber.
CAH: Fifth Expansion,Social justice warriors with flamethrowers of compassion.
CAH: Fifth Expansion,Some shit-hot guitar licks.
CAH: Fifth Expansion,Stupid.
CAH: Fifth Expansion,The Abercrombie & Fitch lifestyle.
CAH: Fifth Expansion,The basic suffering that pervades all of existence.
CAH: Fifth Expansion,The black half of Barack Obama.
CAH: Fifth Expansion,The eight gay warlocks who dictate the rules of fashion.
CAH: Fifth Expansion,The ghost of Marlon Brando.
CAH: Fifth Expansion,The inability to form meaningful relationships.
CAH: Fifth Expansion,The passage of time.
CAH: Fifth Expansion,The tiger that killed my father.
CAH: Fifth Expansion,The unbelievable world of mushrooms.
CAH: Fifth Expansion,The white half of Barack Obama.
CAH: Fifth Expansion,Too much cocaine.
CAH: Fifth Expansion,Unrelenting genital punishment.
CAH: Fifth Expansion,Vegetarian options.
CAH: Fifth Expansion,Wearing glasses and sounding smart.
CAH: Fifth Expansion,Western standards of beauty.
