Label,response
CAH: Fourth Expansion,A bunch of idiots playing a card game instead of interacting like normal humans.
CAH: Fourth Expansion,A dance move that's just sex.
CAH: Fourth Expansion,A fart.
CAH: Fourth Expansion,A for-real lizard that spits blood from its eyes.
CAH: Fourth Expansion,A gender identity that can only be conveyed through slam poetry.
CAH: Fourth Expansion,A hopeless amount of spiders.
CAH: Fourth Expansion,A horse with no legs.
CAH: Fourth Expansion,A kiss on the lips.
CAH: Fourth Expansion,A manhole.
CAH: Fourth Expansion,A Native American who solves crimes by going into the spirit world.
CAH: Fourth Expansion,A sex comet from Neptune that plunges the Earth into eternal sexiness.
CAH: Fourth Expansion,A sex goblin with a carnival penis.
CAH: Fourth Expansion,A shiny rock that proves I love you.
CAH: Fourth Expansion,A Ugandan warlord.
CAH: Fourth Expansion,Actual mutants with medical conditions and no superpowers.
CAH: Fourth Expansion,Africa.
CAH: Fourth Expansion,All the single ladies.
CAH: Fourth Expansion,Almost giving money to a homeless person.
CAH: Fourth Expansion,Ambiguous sarcasm.
CAH: Fourth Expansion,An interracial handshake.
CAH: Fourth Expansion,Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night.
CAH: Fourth Expansion,Ass to mouth.
CAH: Fourth Expansion,Blackula.
CAH: Fourth Expansion,Bouncing up and down.
CAH: Fourth Expansion,Calculating every mannerism so as not to suggest homosexuality.
CAH: Fourth Expansion,Child Protective Services.
CAH: Fourth Expansion,Crazy opium eyes.
CAH: Fourth Expansion,Dem titties.
CAH: Fourth Expansion,Depression.
CAH: Fourth Expansion,Doo-doo.
CAH: Fourth Expansion,Drinking responsibly.
CAH: Fourth Expansion,Exploding pigeons.
CAH: Fourth Expansion,Falling into the toilet.
CAH: Fourth Expansion,Finally finishing off the Indians.
CAH: Fourth Expansion,Fucking a corpse back to life.
CAH: Fourth Expansion,Grammar nazis who are also regular Nazis.
CAH: Fourth Expansion,How awesome I am.
CAH: Fourth Expansion,Injecting speed into one arm and horse tranquilizer into the other.
CAH: Fourth Expansion,Interspecies marriage.
CAH: Fourth Expansion,Jizz.
CAH: Fourth Expansion,Khakis.
CAH: Fourth Expansion,Lots and lots of abortions.
CAH: Fourth Expansion,Moderate-to-severe joint pain.
CAH: Fourth Expansion,My dad's dumb fucking face.
CAH: Fourth Expansion,My sex dungeon.
CAH: Fourth Expansion,My worthless son.
CAH: Fourth Expansion,Neil Diamond's Greatest Hits.
CAH: Fourth Expansion,Party Mexicans.
CAH: Fourth Expansion,Sharks with legs.
CAH: Fourth Expansion,Snorting coke off a clown's boner.
CAH: Fourth Expansion,Some sort of Asian.
CAH: Fourth Expansion,Sports.
CAH: Fourth Expansion,Stuffing a child's face with Fun Dip® until he starts having fun.
CAH: Fourth Expansion,Sugar madness.
CAH: Fourth Expansion,The best taquito in the galaxy.
CAH: Fourth Expansion,The complex geopolitical quagmire that is the Middle East.
CAH: Fourth Expansion,The euphoric rush of strangling a drifter.
CAH: Fourth Expansion,The peaceful and nonthreatening rise of China.
CAH: Fourth Expansion,The safe word.
CAH: Fourth Expansion,The secret formula for ultimate female satisfaction.
CAH: Fourth Expansion,The size of my penis.
CAH: Fourth Expansion,The tiniest shred of evidence that God is real.
CAH: Fourth Expansion,Three consecutive seconds of happiness.
CAH: Fourth Expansion,Unquestioning obedience.
CAH: Fourth Expansion,What Jesus would do.
CAH: Fourth Expansion,Whatever a McRib® is made of.
CAH: Fourth Expansion,Whispering all sexy.
