Label,response
CAH: Green Box Expansion,A big ol’ plate of fettuccini alfredo.
CAH: Green Box Expansion,A black friend.
CAH: Green Box Expansion,A burrito that’s just sour cream.
CAH: Green Box Expansion,A cheerfulness that belies a deep-seated self-loathing.
CAH: Green Box Expansion,A cold and indifferent universe.
CAH: Green Box Expansion,A creature made of penises that must constantly arouse itself to survive.
CAH: Green Box Expansion,A creepy child singing a nursery rhyme.
CAH: Green Box Expansion,A dolphin that learns to talk and becomes the Dean of Harvard Law School.
CAH: Green Box Expansion,A duffel bag full of lizards.
CAH: Green Box Expansion,A finger up the butt.
CAH: Green Box Expansion,A genetic predisposition for alcoholism.
CAH: Green Box Expansion,A gun that shoots cobras.
CAH: Green Box Expansion,A hug.
CAH: Green Box Expansion,A long business meeting with no obvious purpose.
CAH: Green Box Expansion,A man in a suit with perfect hair who tells you beautiful lies.
CAH: Green Box Expansion,A man with the head of a goat and the body of a goat.
CAH: Green Box Expansion,A massive collection of child pornography.
CAH: Green Box Expansion,A medium horchata.
CAH: Green Box Expansion,A negative body image that is totally justified.
CAH: Green Box Expansion,A slowly encroaching circle of wolves.
CAH: Green Box Expansion,A strong horse and enough rations for thirty days.
CAH: Green Box Expansion,A terrified fat child who won’t come out of the bushes.
CAH: Green Box Expansion,A tiny fireman who puts out tiny fires.
CAH: Green Box Expansion,A weird guy who says weird stuff and weirds me out.
CAH: Green Box Expansion,A woman’s perspective.
CAH: Green Box Expansion,A woman’s right to choose.
CAH: Green Box Expansion,Aborting the shit out of a fetus.
CAH: Green Box Expansion,Albert Einstein but if he had huge muscles and a rhinoceros cock.
CAH: Green Box Expansion,All the people I’ve killed.
CAH: Green Box Expansion,An arrangement wherein I give a person money and they have sex with me.
CAH: Green Box Expansion,An empowered woman.
CAH: Green Box Expansion,An incurable homosexual.
CAH: Green Box Expansion,An old dog dragging its anus across the floor.
CAH: Green Box Expansion,An old dog full of tumors.
CAH: Green Box Expansion,An older man.
CAH: Green Box Expansion,An X-Man whose power is that he has sex with dogs and children.
CAH: Green Box Expansion,Anal.
CAH: Green Box Expansion,Antidepressants.
CAH: Green Box Expansion,Art.
CAH: Green Box Expansion,Assassinating the president.
CAH: Green Box Expansion,Awesome pictures of planets and stuff.
CAH: Green Box Expansion,Bad emotions I don’t want.
CAH: Green Box Expansion,Becoming the President of the United States.
CAH: Green Box Expansion,Being sexually attracted to children.
CAH: Green Box Expansion,Being turned into sausages.
CAH: Green Box Expansion,Beyoncé.
CAH: Green Box Expansion,Blossoming into a beautiful young woman.
CAH: Green Box Expansion,Breastfeeding in public like a radiant earth goddess.
CAH: Green Box Expansion,Brunch.
CAH: Green Box Expansion,Catching a live salmon in your mouth.
CAH: Green Box Expansion,Child labor.
CAH: Green Box Expansion,China.
CAH: Green Box Expansion,Chipotle.
CAH: Green Box Expansion,Chris Hemsworth.
CAH: Green Box Expansion,Comprehensive immigration reform.
CAH: Green Box Expansion,Condoleezza Rice.
CAH: Green Box Expansion,Content.
CAH: Green Box Expansion,Crazy anal orgasms.
CAH: Green Box Expansion,Critical thinking.
CAH: Green Box Expansion,Crushing the patriarchy.
CAH: Green Box Expansion,Daddy going away forever.
CAH: Green Box Expansion,Defeating a gorilla in single combat.
CAH: Green Box Expansion,Denying the Holocaust.
CAH: Green Box Expansion,Dis bitch.
CAH: Green Box Expansion,Discovering that what I really want in life is to kill people and have sex with their corpses.
CAH: Green Box Expansion,Doing a somersault and barfing.
CAH: Green Box Expansion,Dominating a man by peeing on his eldest son.
CAH: Green Box Expansion,Doritos and a Fruit Roll-Up.
CAH: Green Box Expansion,Dropping dead in a Sbarro’s bathroom and not being found for 72 hours.
CAH: Green Box Expansion,Dumpster juice.
CAH: Green Box Expansion,Eating ass.
CAH: Green Box Expansion,Eating people.
CAH: Green Box Expansion,Eating too many Cinnabons and then vomiting and then eating the vomit.
CAH: Green Box Expansion,Ejaculating at the apex of a cartwheel.
CAH: Green Box Expansion,Eternal screaming madness.
CAH: Green Box Expansion,Every man’s ultimate fantasy: a perfectly cylindrical vagina.
CAH: Green Box Expansion,Everything.
CAH: Green Box Expansion,Exploring each other’s buttholes.
CAH: Green Box Expansion,Facilitating dialogue and deconstructing binaries.
CAH: Green Box Expansion,Falling into a pit of waffles.
CAH: Green Box Expansion,Farting a huge shit out of my pussy.
CAH: Green Box Expansion,Farting all over my face with your tight little asshole.
CAH: Green Box Expansion,Feeling the emotion of anger.
CAH: Green Box Expansion,Feminism.
CAH: Green Box Expansion,Film roles for actresses over 40.
CAH: Green Box Expansion,Finding a nice elevator to poop in.
CAH: Green Box Expansion,Forty-five minutes of finger blasting.
CAH: Green Box Expansion,Founding a major world religion.
CAH: Green Box Expansion,Fucking me good and taking me to Red Lobster.®
CAH: Green Box Expansion,Fucking my therapist.
CAH: Green Box Expansion,Gary.
CAH: Green Box Expansion,Gay thoughts.
CAH: Green Box Expansion,Gayle from HR.
CAH: Green Box Expansion,Gazpacho.
CAH: Green Box Expansion,Getting aborted.
CAH: Green Box Expansion,Getting blasted in the face by a t-shirt cannon.
CAH: Green Box Expansion,Getting eaten out by a dog.
CAH: Green Box Expansion,Getting high with mom.
CAH: Green Box Expansion,Getting killed and dragged up a tree by a leopard.
CAH: Green Box Expansion,Getting laid like all the time.
CAH: Green Box Expansion,Getting naked too soon.
CAH: Green Box Expansion,Getting pegged.
CAH: Green Box Expansion,Getting the Dorito crumbs out of my pubes.
CAH: Green Box Expansion,Getting this party started!
CAH: Green Box Expansion,Getting trapped in a conversation about Ayn Rand.
CAH: Green Box Expansion,Going around pulling people’s tampons out.
CAH: Green Box Expansion,Going to bed at a reasonable hour.
CAH: Green Box Expansion,Grunting for ten minutes and then peeing sand.
CAH: Green Box Expansion,Guns.
CAH: Green Box Expansion,Happy daddies with happy sandals.
CAH: Green Box Expansion,Hating Jews.
CAH: Green Box Expansion,Having a vagina.
CAH: Green Box Expansion,Having an awesome time drinking and driving.
CAH: Green Box Expansion,Having sex with a beautiful person.
CAH: Green Box Expansion,Having sex with a man and then eating his head.
CAH: Green Box Expansion,Having sex with your mom.
CAH: Green Box Expansion,Holding the proper political beliefs of my time to attract a mate.
CAH: Green Box Expansion,Homework.
CAH: Green Box Expansion,Hot lettuce.
CAH: Green Box Expansion,How good lead paint taste.
CAH: Green Box Expansion,How great my ass looks in these jeans.
CAH: Green Box Expansion,How sad it will be when Morgan Freeman dies.
CAH: Green Box Expansion,How strange it is to be anything at all.
CAH: Green Box Expansion,Huge big balls full of jizz.
CAH: Green Box Expansion,Informing you that I am a registered sex offender.
CAH: Green Box Expansion,ISIS.
