Label,response
CAH: Human Pack,A pointless job at a soulless corporation.
CAH: Human Pack,Being terrified of a single bee.
CAH: Human Pack,Being young and in love in New York City.
CAH: Human Pack,Chemotherapy.
CAH: Human Pack,Delighting in the pain of others.
CAH: Human Pack,Forming a monogamous pairbond.
CAH: Human Pack,Getting my butt trapped hilariously in a tuba.
CAH: Human Pack,Getting sad for no reason.
CAH: Human Pack,Good ol’ fashioned face-to-face conversation.
CAH: Human Pack,Harnessing the power of steam!!!
CAH: Human Pack,How good this cantaloupe feels on my penis.
CAH: Human Pack,Like 50 mosquito bites.
CAH: Human Pack,Losing a loved one to Fox News.
CAH: Human Pack,Really tall people.
CAH: Human Pack,Saying “what’s that?” And then stealing a french fry.
CAH: Human Pack,Sucking all the oil out of the planet and fucking off to Mars.
CAH: Human Pack,The bomb strapped to my chest.
CAH: Human Pack,The joy of song.
CAH: Human Pack,The salmon.
CAH: Human Pack,The unspeakable horrors of factory farming.
CAH: Human Pack,The whole Jeffrey Epstein thing.
CAH: Human Pack,This horrible thing called twitter.
CAH: Human Pack,Three hours of pimple-popping videos.
CAH: Human Pack,Unwelcome sexual attention from grown men.
CAH: Human Pack,Using words to communicate.
CAH: Human Pack,War with China.
CAH: Human Pack,Watching the life drain from the eyes of my son’s killer.
