Label,prompt
CAH: Red Box Expansion,A remarkable new study has shown that chimps have evolved their own primitive version of ______.
CAH: Red Box Expansion,A successful job interview begins with a firm handshake and ends with ______.
CAH: Red Box Expansion,And what did you bring for show and tell?
CAH: Red Box Expansion,Charades was ruined for me forever when my mom had to act out ______.
CAH: Red Box Expansion,During high school I never really fit in until I found ______ club.
CAH: Red Box Expansion,Finally! A service that delivers ______ right to your door.
CAH: Red Box Expansion,Future Historians will agree that ______ marked the beginning of America's decline.
CAH: Red Box Expansion,Having problems with ______? Try ______!
CAH: Red Box Expansion,I learned the hard way that you can't cheer up a grieving friend with ______.
CAH: Red Box Expansion,I love being a mom. But it's tough when my kids come home filthy from ______. That's why there's Tide®.
CAH: Red Box Expansion,I’m not like the rest of you. I’m too rich and busy for ______.
CAH: Red Box Expansion,Legend has it Prince wouldn't perform without ______ in his dressing room.
CAH: Red Box Expansion,Lovin’ you is easy ’cause you’re ______.
CAH: Red Box Expansion,Members of New York's social elite are paying thousands of dollars just to experience ______.
CAH: Red Box Expansion,Michael Bay's new three-hour action epic pits ______ against ______.
CAH: Red Box Expansion,My gym teacher got fired for adding ______ to the obstacle course.
CAH: Red Box Expansion,My life is ruled by a vicious cycle of ______ and ______.
CAH: Red Box Expansion,My mom freaked out when she looked at my browser history and found ______.com/______.
CAH: Red Box Expansion,My new favorite porn star is Joey "______" McGee.
CAH: Red Box Expansion,My plan for world domination begins with ______.
CAH: Red Box Expansion,Next time on Dr. Phil: How to talk to your child about ______.
CAH: Red Box Expansion,Only two things in life are certain: death and ______.
CAH: Red Box Expansion,Science will never explain ______.
CAH: Red Box Expansion,The blind date was going horribly until we discovered our shared interest in ______.
CAH: Red Box Expansion,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.
CAH: Red Box Expansion,The healing process began when I joined a support group for victims of ______.
CAH: Red Box Expansion,This is your captain speaking. Fasten your seatbelts and prepare for ______.
CAH: Red Box Expansion,This month's Cosmo: "Spice up your sex life by bringing ______ into the bedroom."
CAH: Red Box Expansion,Tonight on 20/20: What you don't know about ______ could kill you.
CAH: Red Box Expansion,Turns out that ______-Man was neither the hero we needed nor wanted.
CAH: Red Box Expansion,What brought the orgy to a grinding halt?
CAH: Red Box Expansion,What has been making life difficult at the nudist colony?
CAH: Red Box Expansion,What left this stain on my couch?
CAH: Red Box Expansion,You haven't truly lived until you've experienced ______ and ______ at the same time.
