Label,prompt
CAH : Second Expansion,A remarkable new study has shown that chimps have evolved their own primitive version of ______.
CAH : Second Expansion,Charades was ruined for me forever when my mom had to act out ______.
CAH : Second Expansion,Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.
CAH : Second Expansion,Members of New York's social elite are paying thousands of dollars just to experience ______.
CAH : Second Expansion,My mom freaked out when she looked at my browser history and found ______.com/______.
CAH : Second Expansion,My new favorite porn star is Joey "______" McGee.
CAH : Second Expansion,Next time on Dr. Phil: How to talk to your child about ______.
CAH : Second Expansion,Only two things in life are certain: death and ______.
CAH : Second Expansion,The healing process began when I joined a support group for victims of ______.
CAH : Second Expansion,This is your captain speaking. Fasten your seatbelts and prepare for ______.
CAH : Second Expansion,This month's Cosmo: "Spice up your sex life by bringing ______ into the bedroom."
CAH : Second Expansion,Tonight on 20/20: What you don't know about ______ could kill you.
CAH : Second Expansion,You haven't truly lived until you've experienced ______ and ______ at the same time.
