Label,response
CAH : Second Expansion,A 55-gallon drum of lube.
CAH : Second Expansion,A Burmese tiger pit.
CAH : Second Expansion,A dollop of sour cream.
CAH : Second Expansion,A fortuitous turnip harvest.
CAH : Second Expansion,A magic hippie love cloud.
CAH : Second Expansion,A man in yoga pants with a ponytail and feather earrings.
CAH : Second Expansion,A piñata full of scorpions.
CAH : Second Expansion,A sad fat dragon with no friends.
CAH : Second Expansion,A slightly shittier parallel universe.
CAH : Second Expansion,A soulful rendition of "Ol' Man River."
CAH : Second Expansion,A squadron of moles wearing aviator goggles.
CAH : Second Expansion,A sweet spaceship.
CAH : Second Expansion,All of this blood.
CAH : Second Expansion,An army of skeletons.
CAH : Second Expansion,An ether-soaked rag.
CAH : Second Expansion,An unhinged ferris wheel rolling toward the sea.
CAH : Second Expansion,Another shot of morphine.
CAH : Second Expansion,Basic human decency.
CAH : Second Expansion,Beefin' over turf.
CAH : Second Expansion,Being awesome at sex.
CAH : Second Expansion,Boris the Soviet Love Hammer.
CAH : Second Expansion,Bullshit.
CAH : Second Expansion,Catastrophic urethral trauma.
CAH : Second Expansion,Crabapples all over the fucking sidewalk.
CAH : Second Expansion,Crushing Mr. Peanut's brittle body.
CAH : Second Expansion,Daddy's belt.
CAH : Second Expansion,Death by Steven Seagal.
CAH : Second Expansion,Dennis the Menace.
CAH : Second Expansion,Dining with cardboard cutouts of the cast of "Friends."
CAH : Second Expansion,Double penetration.
CAH : Second Expansion,Existing.
CAH : Second Expansion,Fetal alcohol syndrome.
CAH : Second Expansion,Finding Waldo.
CAH : Second Expansion,Fuck Mountain.
CAH : Second Expansion,Getting hilariously gang-banged by the Blue Man Group.
CAH : Second Expansion,Grandpa's ashes.
CAH : Second Expansion,Hillary Clinton.
CAH : Second Expansion,Hillary Clinton's death stare.
CAH : Second Expansion,Intimacy problems.
CAH : Second Expansion,Jeff Goldblum.
CAH : Second Expansion,Living in a trashcan.
CAH : Second Expansion,Making a friend.
CAH : Second Expansion,Maximal insertion.
CAH : Second Expansion,Me.
CAH : Second Expansion,Mild autism.
CAH : Second Expansion,Mooing.
CAH : Second Expansion,My first kill.
CAH : Second Expansion,Nunchuck moves.
CAH : Second Expansion,Oncoming traffic.
CAH : Second Expansion,One Ring to rule them all.
CAH : Second Expansion,Power.
CAH : Second Expansion,Pretty Pretty Princess Dress-Up Board Game®.
CAH : Second Expansion,Pumping out a baby every nine months.
CAH : Second Expansion,Rising from the grave.
CAH : Second Expansion,Scrotal frostbite.
CAH : Second Expansion,Some really fucked-up shit.
CAH : Second Expansion,Spring break!
CAH : Second Expansion,Subduing a grizzly bear and making her your wife.
CAH : Second Expansion,Survivor's guilt.
CAH : Second Expansion,Swiftly achieving orgasm.
CAH : Second Expansion,Taking a man's eyes and balls out and putting his eyes where his balls go and then his balls in the eye holes.
CAH : Second Expansion,The black Power Ranger.
CAH : Second Expansion,The corporations.
CAH : Second Expansion,The day the birds attacked.
CAH : Second Expansion,The Google.
CAH : Second Expansion,The grey nutrient broth that sustains Mitt Romney.
CAH : Second Expansion,The hose.
CAH : Second Expansion,The human body.
CAH : Second Expansion,The mere concept of Applebee's®.
CAH : Second Expansion,The mixing of the races.
CAH : Second Expansion,The new Radiohead album.
CAH : Second Expansion,Tiny nipples.
CAH : Second Expansion,Tongue.
CAH : Second Expansion,Upgrading homeless people to mobile hotspots.
CAH : Second Expansion,Weapons-grade plutonium.
CAH : Second Expansion,Wearing an octopus for a hat.
CAH : Second Expansion,Whining like a little bitch.
CAH : Second Expansion,Whipping a disobedient slave.
