Label,response
CAH: Sixth Expansion,A bass drop so huge it tears the starry vault asunder to reveal the face of God.
CAH: Sixth Expansion,A bowl of gourds.
CAH: Sixth Expansion,A buttload of candy.
CAH: Sixth Expansion,A constant need for validation.
CAH: Sixth Expansion,A man who is so cool that he rides on a motorcycle.
CAH: Sixth Expansion,A peyote-fueled vision quest.
CAH: Sixth Expansion,A pizza guy who fucked up.
CAH: Sixth Expansion,A possible Muslim.
CAH: Sixth Expansion,A self-microwaving burrito.
CAH: Sixth Expansion,A turd.
CAH: Sixth Expansion,A whole lotta woman.
CAH: Sixth Expansion,An oppressed people with a vibrant culture.
CAH: Sixth Expansion,An overwhelming variety of cheeses.
CAH: Sixth Expansion,Bathing in moonsblood and dancing around the ancient oak.
CAH: Sixth Expansion,Being a terrible mother.
CAH: Sixth Expansion,Being John Malkovich.
CAH: Sixth Expansion,Being popular and good at sports.
CAH: Sixth Expansion,Beloved television star Bill Cosby.
CAH: Sixth Expansion,Breastfeeding a ten year old.
CAH: Sixth Expansion,Bullets.
CAH: Sixth Expansion,Cancer.
CAH: Sixth Expansion,Crippling social anxiety.
CAH: Sixth Expansion,Crying and shitting and eating spaghetti.
CAH: Sixth Expansion,Cute boys.
CAH: Sixth Expansion,Eating together like a god damn family for once.
CAH: Sixth Expansion,Ejaculating inside another man's wife.
CAH: Sixth Expansion,Every ounce of charisma left in Mick Jagger's tired body.
CAH: Sixth Expansion,Filling a man's anus with concrete.
CAH: Sixth Expansion,Forgetting grandma's first name.
CAH: Sixth Expansion,Generally having no idea what's going on.
CAH: Sixth Expansion,Getting all offended.
CAH: Sixth Expansion,Getting shot out of a cannon.
CAH: Sixth Expansion,Growing up chained to a radiator in perpetual darkness.
CAH: Sixth Expansion,Gwyneth Paltrow's opinions.
CAH: Sixth Expansion,Immortality cream.
CAH: Sixth Expansion,Important news about Taylor Swift.
CAH: Sixth Expansion,Kale.
CAH: Sixth Expansion,Like a million alligators.
CAH: Sixth Expansion,Meaningless sex.
CAH: Sixth Expansion,Morpheus.
CAH: Sixth Expansion,Never having sex again.
CAH: Sixth Expansion,No longer finding any Cards Against Humanity card funny.
CAH: Sixth Expansion,One unforgettable night of passion.
CAH: Sixth Expansion,Our new Buffalo Chicken Dippers®!
CAH: Sixth Expansion,Peeing into a girl's butt to make a baby.
CAH: Sixth Expansion,Pussy.
CAH: Sixth Expansion,Rabies.
CAH: Sixth Expansion,Reading the entire End-User License Agreement.
CAH: Sixth Expansion,Ripping a dog in half.
CAH: Sixth Expansion,Robots who just want to party.
CAH: Sixth Expansion,Setting my balls on fire and cartwheeling to Ohio.
CAH: Sixth Expansion,Shapes and colors.
CAH: Sixth Expansion,Such a big boy.
CAH: Sixth Expansion,Sucking all the milk out of a yak.
CAH: Sixth Expansion,Sudden penis loss.
CAH: Sixth Expansion,Teaching a girl how to handjob the penis.
CAH: Sixth Expansion,Texas.
CAH: Sixth Expansion,The all-new Nissan Pathfinder with 0.9% APR financing!
CAH: Sixth Expansion,The amount of gay I am.
CAH: Sixth Expansion,The color "puce".
CAH: Sixth Expansion,The dentist.
CAH: Sixth Expansion,The eighth graders.
CAH: Sixth Expansion,The haunting stare of an Iraqi child.
CAH: Sixth Expansion,The male gaze.
CAH: Sixth Expansion,The power of the Dark Side.
CAH: Sixth Expansion,The sweet song of sword against sword and the braying of mighty war beasts.
CAH: Sixth Expansion,Throwing stones at a man until he dies.
CAH: Sixth Expansion,Total fucking chaos.
CAH: Sixth Expansion,Treasures beyond your wildest dreams.
CAH: Sixth Expansion,Turning the rivers red with the blood of infidels.
CAH: Sixth Expansion,Two whales fucking the shit out of each other.
CAH: Sixth Expansion,Unsheathing my massive horse cock.
CAH: Sixth Expansion,Walking into a glass door.
