Label,prompt
CAH: Third Expansion,A successful job interview begins with a firm handshake and ends with ______.
CAH: Third Expansion,And what did you bring for show and tell?
CAH: Third Expansion,During high school I never really fit in until I found ______ club.
CAH: Third Expansion,Finally! A service that delivers ______ right to your door.
CAH: Third Expansion,Having problems with ______? Try ______!
CAH: Third Expansion,I’m not like the rest of you. I’m too rich and busy for ______.
CAH: Third Expansion,Lovin’ you is easy ’cause you’re ______.
CAH: Third Expansion,My gym teacher got fired for adding ______ to the obstacle course.
CAH: Third Expansion,My life is ruled by a vicious cycle of ______ and ______.
CAH: Third Expansion,The blind date was going horribly until we discovered our shared interest in ______.
CAH: Third Expansion,Turns out that ______-Man was neither the hero we needed nor wanted.
CAH: Third Expansion,What left this stain on my couch?
