Label,response
CAH : Third Expansion,A boo-boo.
CAH : Third Expansion,A botched circumcision.
CAH : Third Expansion,A cat video so cute that your eyes roll back and your spine slides out of your anus.
CAH : Third Expansion,A cop who is also a dog.
CAH : Third Expansion,A greased-up Matthew McConaughey.
CAH : Third Expansion,A Japanese toaster you can fuck.
CAH : Third Expansion,A lamprey swimming up the toilet and latching onto your taint.
CAH : Third Expansion,A pile of squirming bodies.
CAH : Third Expansion,A PowerPoint presentation.
CAH : Third Expansion,A spontaneous conga line.
CAH : Third Expansion,A surprising amount of hair.
CAH : Third Expansion,A vagina that leads to another dimension.
CAH : Third Expansion,All my friends dying.
CAH : Third Expansion,An all-midget production of Shakespeare’s Richard III.
CAH : Third Expansion,An ass disaster.
CAH : Third Expansion,An unstoppable wave of fire ants.
CAH : Third Expansion,Blood farts.
CAH : Third Expansion,Blowing some dudes in an alley.
CAH : Third Expansion,Buying the right pants to be cool.
CAH : Third Expansion,Chugging a lava lamp.
CAH : Third Expansion,Cock.
CAH : Third Expansion,Crying into the pages of Sylvia Plath.
CAH : Third Expansion,Demonic possession.
CAH : Third Expansion,Disco fever.
CAH : Third Expansion,Drinking ten 5-hour ENERGYs® to get fifty continuous hours of energy.
CAH : Third Expansion,Dying alone and in pain.
CAH : Third Expansion,Eating Tom Selleck’s mustache to gain his powers.
CAH : Third Expansion,Filling every orifice with butterscotch pudding.
CAH : Third Expansion,Fisting.
CAH : Third Expansion,Flying robots that kill people.
CAH : Third Expansion,Gay aliens.
CAH : Third Expansion,Getting your dick stuck in a Chinese finger trap with another dick.
CAH : Third Expansion,Girls that always be textin’.
CAH : Third Expansion,Going around punching people.
CAH : Third Expansion,Having sex on top of a pizza.
CAH : Third Expansion,Having shotguns for legs.
CAH : Third Expansion,Indescribable loneliness.
CAH : Third Expansion,Jumping out at people.
CAH : Third Expansion,Letting everyone down.
CAH : Third Expansion,Mufasa’s death scene.
CAH : Third Expansion,Not contributing to society in any meaningful way.
CAH : Third Expansion,Not having sex.
CAH : Third Expansion,Putting an entire peanut butter and jelly sandwich into the VCR.
CAH : Third Expansion,Racial profiling.
CAH : Third Expansion,Reverse cowgirl.
CAH : Third Expansion,Samuel L. Jackson.
CAH : Third Expansion,Screaming like a maniac.
CAH : Third Expansion,Self-flagellation.
CAH : Third Expansion,Shutting the fuck up.
CAH : Third Expansion,Slapping a racist old lady.
CAH : Third Expansion,Some douche with an acoustic guitar.
CAH : Third Expansion,Some kind of bird-man.
CAH : Third Expansion,Spending lots of money.
CAH : Third Expansion,That ass.
CAH : Third Expansion,The entire Internet.
CAH : Third Expansion,The Harlem Globetrotters.
CAH : Third Expansion,The Land of Chocolate.
CAH : Third Expansion,The Quesadilla Explosion Salad™ from Chili’s.®
CAH : Third Expansion,The systematic destruction of an entire people and their way of life.
CAH : Third Expansion,The thin veneer of situational causality that underlies porn.
CAH : Third Expansion,The way white people is.
CAH : Third Expansion,Three months in the hole.
CAH : Third Expansion,Velcro™.
CAH : Third Expansion,Vietnam flashbacks.
CAH : Third Expansion,Vomiting mid-blowjob.
