Label,response
CAH: UK Conversion Kit,A bit of slap and tickle.
CAH: UK Conversion Kit,A Chelsea smile.
CAH: UK Conversion Kit,A fanny fart.
CAH: UK Conversion Kit,A ginger’s freckled ballsack.
CAH: UK Conversion Kit,A mad cow.
CAH: UK Conversion Kit,A madman who lives in a police box and kidnaps women.
CAH: UK Conversion Kit,A nice cup of tea.
CAH: UK Conversion Kit,A posh wank.
CAH: UK Conversion Kit,A sober Irishman who doesn’t care for potatoes.
CAH: UK Conversion Kit,A thousand Scottish warriors lifting their kilts in unison.
CAH: UK Conversion Kit,A vindaloo poo.
CAH: UK Conversion Kit,A white van man.
CAH: UK Conversion Kit,An argument with Richard Dawkins.
CAH: UK Conversion Kit,An entrenched class system.
CAH: UK Conversion Kit,Anything that comes out of Prince Philip’s mouth.
CAH: UK Conversion Kit,Badger culling.
CAH: UK Conversion Kit,Being hunted like a fox.
CAH: UK Conversion Kit,Blowing up Parliament.
CAH: UK Conversion Kit,Buckfast Tonic Wine
CAH: UK Conversion Kit,Cheeky bum sex.
CAH: UK Conversion Kit,Chivalry.
CAH: UK Conversion Kit,Cottaging.
CAH: UK Conversion Kit,Daddies Brown Sauce.
CAH: UK Conversion Kit,David Cameron.
CAH: UK Conversion Kit,Dogging
CAH: UK Conversion Kit,Doing a shit in Pudsey Bear’s eyehole.
CAH: UK Conversion Kit,Druids.
CAH: UK Conversion Kit,Ed Balls.
CAH: UK Conversion Kit,England.
CAH: UK Conversion Kit,Excalibur.
CAH: UK Conversion Kit,Faffing about.
CAH: UK Conversion Kit,Five litres of Special Brew.
CAH: UK Conversion Kit,Gary Glitter.
CAH: UK Conversion Kit,Gentleman’s Relish.®
CAH: UK Conversion Kit,Germans on holiday.
CAH: UK Conversion Kit,Getting naked and watching CBeebies.
CAH: UK Conversion Kit,Haggis.
CAH: UK Conversion Kit,Hurling one’s body down a hill in pursuit of a wheel of cheese.
CAH: UK Conversion Kit,Jade Goody’s cancerous remains.
CAH: UK Conversion Kit,Jedward.
CAH: UK Conversion Kit,Jehovah’s Witnesses.
CAH: UK Conversion Kit,Jimmy Savile
CAH: UK Conversion Kit,Just touching David Beckham’s hair.
CAH: UK Conversion Kit,Leaked footage of Kate Middleton’s colonoscopy.
CAH: UK Conversion Kit,Madeleine McCann.
CAH: UK Conversion Kit,Millwall fans.
CAH: UK Conversion Kit,Mining accidents.
CAH: UK Conversion Kit,Pronouncing the names of northern Welsh towns.
CAH: UK Conversion Kit,Queen Elizabeth’s immaculate anus.
CAH: UK Conversion Kit,Ripping off the Beatles.
CAH: UK Conversion Kit,Rubbing Boris Johnson’s belly until he falls asleep.
CAH: UK Conversion Kit,Scalping the Milkybar Kid.
CAH: UK Conversion Kit,Scousers.
CAH: UK Conversion Kit,Shitting out a perfect Cumberland sausage.
CAH: UK Conversion Kit,Slapping a biscuit out of an orphan’s mouth.
CAH: UK Conversion Kit,Spaniards.
CAH: UK Conversion Kit,The Black Death.
CAH: UK Conversion Kit,The bloody Welsh.
CAH: UK Conversion Kit,The entire cast of Downtown Abbey.
CAH: UK Conversion Kit,The French.
CAH: UK Conversion Kit,The Hillsborough Disaster.
CAH: UK Conversion Kit,The Honey Monster.
CAH: UK Conversion Kit,The North.
CAH: UK Conversion Kit,The petty troubles of the landed gentry.
CAH: UK Conversion Kit,The Stig.
CAH: UK Conversion Kit,The sudden appearance of the Go Compare man.
CAH: UK Conversion Kit,The way James Bond treats women.
CAH: UK Conversion Kit,Tories.
CAH: UK Conversion Kit,Trench foot.
