Label,prompt
Cakes Athirst Hilarity Volume 2,A 450 million year old fossil of ______ scientists didn't know existed.
Cakes Athirst Hilarity Volume 2,I decided to become an activist and fight for ______.
Cakes Athirst Hilarity Volume 2,It makes me sad to think about?
Cakes Athirst Hilarity Volume 2,My biggest idol is ______.
Cakes Athirst Hilarity Volume 2,Right after sex I like to think about ______.
Cakes Athirst Hilarity Volume 2,The absolute worse thing on this earth is ______.
Cakes Athirst Hilarity Volume 2,The cause of most divorces is likely a result of ______.
Cakes Athirst Hilarity Volume 2,The greatest lie ever told was ______.
Cakes Athirst Hilarity Volume 2,The most gut-wrenching thing known to man is ______.
Cakes Athirst Hilarity Volume 2,The only thing worse than ______ is ______.
Cakes Athirst Hilarity Volume 2,The reason for my non-existent sex life is ______.
Cakes Athirst Hilarity Volume 2,The world would be a better place is ______ and ______ happened.
Cakes Athirst Hilarity Volume 2,What did I do that caused my parents to beat me as a child?
Cakes Athirst Hilarity Volume 2,What explains me only being able to pee sitting down?
Cakes Athirst Hilarity Volume 2,What is my greatest skill?
Cakes Athirst Hilarity Volume 2,What is the reason no one likes me?
Cakes Athirst Hilarity Volume 2,What keeps me up at night?
Cakes Athirst Hilarity Volume 2,What makes me cry myself to sleep every night?
Cakes Athirst Hilarity Volume 2,What makes me feel empowered?
Cakes Athirst Hilarity Volume 2,What will always make people want to have sex with you?
Cakes Athirst Hilarity Volume 2,What will be my first purchase once I become rich and famous?
Cakes Athirst Hilarity Volume 2,What works 80% of the time 100% of the time?
Cakes Athirst Hilarity Volume 2,Your friendly neighborhood ______.
