Label,response
Carbs of the Huge Manatee: Dance Expansion 1,A dance board with “new ideas.”
Carbs of the Huge Manatee: Dance Expansion 1,A pretentious DJ who attempts to “challenge” the dancers.
Carbs of the Huge Manatee: Dance Expansion 1,Acapella Dubstep.
Carbs of the Huge Manatee: Dance Expansion 1,An elbow to the nose.
Carbs of the Huge Manatee: Dance Expansion 1,An exploded blister.
Carbs of the Huge Manatee: Dance Expansion 1,An Indian co-worker who wears so much cologne you can taste it.
Carbs of the Huge Manatee: Dance Expansion 1,An unexpected massage.
Carbs of the Huge Manatee: Dance Expansion 1,Argentine Tango.
Carbs of the Huge Manatee: Dance Expansion 1,Arm-Leading.
Carbs of the Huge Manatee: Dance Expansion 1,Asking the DJ to play “Cold Turkey.”
Carbs of the Huge Manatee: Dance Expansion 1,Austin Blues Predators.
Carbs of the Huge Manatee: Dance Expansion 1,Awkward Eye Contact.
Carbs of the Huge Manatee: Dance Expansion 1,Ballet.
Carbs of the Huge Manatee: Dance Expansion 1,Ballroom Avenger.
Carbs of the Huge Manatee: Dance Expansion 1,Bathrooms with danceable music.
Carbs of the Huge Manatee: Dance Expansion 1,Beaver Clamp.
Carbs of the Huge Manatee: Dance Expansion 1,Because of you people.
Carbs of the Huge Manatee: Dance Expansion 1,Blues Dancing.
Carbs of the Huge Manatee: Dance Expansion 1,Bonerboy.
Carbs of the Huge Manatee: Dance Expansion 1,Children at exchanges.
Carbs of the Huge Manatee: Dance Expansion 1,Clear the Floor.
Carbs of the Huge Manatee: Dance Expansion 1,Completely drunk organizers.
Carbs of the Huge Manatee: Dance Expansion 1,Condoms in the restrooms at the Exchange.
Carbs of the Huge Manatee: Dance Expansion 1,Connection.
Carbs of the Huge Manatee: Dance Expansion 1,Core.
Carbs of the Huge Manatee: Dance Expansion 1,Dance Evangelist.
Carbs of the Huge Manatee: Dance Expansion 1,Dancers who don’t wash their hands after using the restroom.
Carbs of the Huge Manatee: Dance Expansion 1,Dancesturbation.
Carbs of the Huge Manatee: Dance Expansion 1,Dancing ballroom before ballroom was cool.
Carbs of the Huge Manatee: Dance Expansion 1,Dating within the dance scene.
Carbs of the Huge Manatee: Dance Expansion 1,Dating your dance instructor.
Carbs of the Huge Manatee: Dance Expansion 1,Denver: The Final Fusion Exchange.
Carbs of the Huge Manatee: Dance Expansion 1,Dirty Waltz.
Carbs of the Huge Manatee: Dance Expansion 1,Diva dance instructors.
Carbs of the Huge Manatee: Dance Expansion 1,Don’t. Fuck. With. Ivy.
Carbs of the Huge Manatee: Dance Expansion 1,Frankenblues.
Carbs of the Huge Manatee: Dance Expansion 1,Guys going after new follows like piranha on a cow.
Carbs of the Huge Manatee: Dance Expansion 1,Hit me like a real Westie.
Carbs of the Huge Manatee: Dance Expansion 1,Leaving room for Baby Jesus.
Carbs of the Huge Manatee: Dance Expansion 1,Let Jesus find his own dance partner.
Carbs of the Huge Manatee: Dance Expansion 1,LindyXtreme!
Carbs of the Huge Manatee: Dance Expansion 1,Nice shoes… Wanna dance?
Carbs of the Huge Manatee: Dance Expansion 1,Organizer murder-suicide pacts.
Carbs of the Huge Manatee: Dance Expansion 1,Organizers with the patience of saints.
Carbs of the Huge Manatee: Dance Expansion 1,Package Delivery.
Carbs of the Huge Manatee: Dance Expansion 1,Please. Dance me nice.
