Label,prompt
Carbs of the Huge Manatee - Kink Expansion 1,I can't believe that ______ is now being taught to kids as young as seven!
Carbs of the Huge Manatee - Kink Expansion 1,I realized that my tastes have turned much trashier since my experience with ______.
Carbs of the Huge Manatee - Kink Expansion 1,I'm totally turned on when someone wears glasses and has ______.
Carbs of the Huge Manatee - Kink Expansion 1,Newbies think they're kinky when they've had ______.  Then they go to their first party and get their minds blown when they see people ______. (And maybe not just their minds...)
Carbs of the Huge Manatee - Kink Expansion 1,Note to self: ______ is not an acceptable form of contraception.
Carbs of the Huge Manatee - Kink Expansion 1,Someone was a bad girl.  Now you're going to need to be punished with ______.
Carbs of the Huge Manatee - Kink Expansion 1,There's a new Fetlife group for fans of ______ at fetlife.com/______.
Carbs of the Huge Manatee - Kink Expansion 1,We lucked out.  The cop who pulled us over didn't check and we had ______ in the trunk!
Carbs of the Huge Manatee - Kink Expansion 1,We were just making dinner and having some wine when we got distracted by ______.
Carbs of the Huge Manatee - Kink Expansion 1,Why am I wet?
Carbs of the Huge Manatee - Kink Expansion 1,Why was a clean-up needed on aisle 6?
Carbs of the Huge Manatee - Kink Expansion 1,You have ______?!  Oh my god! Put it in my mouth!!!
