Label,prompt
Carbs of the Huge Manatee - Online Dating Expansion 1,Admit it.  You would like to spend the night ______ with at least one person at this table.
Carbs of the Huge Manatee - Online Dating Expansion 1,I deserve an Academy Award for not reacting when he started talking about ______ 10 minutes into our first (and last) date.
Carbs of the Huge Manatee - Online Dating Expansion 1,I had no idea she was interested in me until we both got really drunk and found ourselves ______.
Carbs of the Huge Manatee - Online Dating Expansion 1,I'm looking for a partner in crime.  The crime?  ______.
Carbs of the Huge Manatee - Online Dating Expansion 1,Must love Jesus and ______.
Carbs of the Huge Manatee - Online Dating Expansion 1,My date apparently could see auras.  What did she see from my past that left her terrified and in the fetal position?
Carbs of the Huge Manatee - Online Dating Expansion 1,My partner uses ______ to mark their territory.
Carbs of the Huge Manatee - Online Dating Expansion 1,The first date went so well...  So why did the second date end?
Carbs of the Huge Manatee - Online Dating Expansion 1,The two most awkward topics of conversation during our date at the church picnic?  ______ and ______.
Carbs of the Huge Manatee - Online Dating Expansion 1,What disturbed me most about the person who contacted me from Plenty of Fish?
Carbs of the Huge Manatee - Online Dating Expansion 1,What helped me get my last girlfriend?
Carbs of the Huge Manatee - Online Dating Expansion 1,Why did I dump my significant other the day before Valentine's Day?
Carbs of the Huge Manatee - Online Dating Expansion 1,You think your last date was bad?  My date thought that buying me ______ was a reasonable substitute for buying me dinner.
