Label,response
Carbs of the Huge Manatee - Online Dating Expansion 1,A coyote date where you're willing to chew your own arm off to get away.
Carbs of the Huge Manatee - Online Dating Expansion 1,A date so awful you reevaluate your orientation.
Carbs of the Huge Manatee - Online Dating Expansion 1,Aging out of the online dating pool.
Carbs of the Huge Manatee - Online Dating Expansion 1,An awe-inspiringly generic profile.
Carbs of the Huge Manatee - Online Dating Expansion 1,Because you're unique.
Carbs of the Huge Manatee - Online Dating Expansion 1,Being dumped on your birthday.
Carbs of the Huge Manatee - Online Dating Expansion 1,Being very concerned about “The Surgery” they keep referring to.
Carbs of the Huge Manatee - Online Dating Expansion 1,Calling out you date for attempting Pick Up Artist techniques on you.*
Carbs of the Huge Manatee - Online Dating Expansion 1,Checking out the hot one on the left in the photo then realizing that the profile is for the not-so-hot one on the right.
Carbs of the Huge Manatee - Online Dating Expansion 1,Considering the date successful when they put their phone down for more than 50% of the time.
Carbs of the Huge Manatee - Online Dating Expansion 1,Contacting your cryptographer friend at the NSA for help in translating the poor grammar and spelling in a profile.
Carbs of the Huge Manatee - Online Dating Expansion 1,Dating someone almost half your age... almost.
Carbs of the Huge Manatee - Online Dating Expansion 1,Deciding if the amazing sex was worth the amazing crazy.
Carbs of the Huge Manatee - Online Dating Expansion 1,Destroying on really nice article of clothing.
Carbs of the Huge Manatee - Online Dating Expansion 1,Discovering that your significant other is shocked you masturbate.
Carbs of the Huge Manatee - Online Dating Expansion 1,Discovering your 32 year old date is a virgin.          By choice.
Carbs of the Huge Manatee - Online Dating Expansion 1,Discovering your date has dotted-line tattoos saying “cut here” on their wrists.
Carbs of the Huge Manatee - Online Dating Expansion 1,Discussing your favorite types of bondage on your first date.
Carbs of the Huge Manatee - Online Dating Expansion 1,Driving two hours for a date only to find that they moved and left no forwarding address.
Carbs of the Huge Manatee - Online Dating Expansion 1,Ending a three-year relationship via email.
Carbs of the Huge Manatee - Online Dating Expansion 1,Extreme halitosis.
Carbs of the Huge Manatee - Online Dating Expansion 1,Faking an orgasm so you can kick them out.
Carbs of the Huge Manatee - Online Dating Expansion 1,Faking food poisoning to end the date.
Carbs of the Huge Manatee - Online Dating Expansion 1,Figuring out who gets the Hitachi Wand after the break-up.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding a polite way to ask if your date was born the gender they are now.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding out that they live in their parents' basement.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding out they're single in an “Ashley Madison” kind of way.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding out your date thinks that Cards Against Humanity™ isn't funny. At all.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding yourself disturbed at how turned on you are by someone who's that trashy.
Carbs of the Huge Manatee - Online Dating Expansion 1,Finding yourself trapped in a discussion about how the conspiracy is everywhere.
Carbs of the Huge Manatee - Online Dating Expansion 1,Fucking a guy with a huge penis... who has no idea what he's doing with it.
Carbs of the Huge Manatee - Online Dating Expansion 1,Fucking them senseless.
Carbs of the Huge Manatee - Online Dating Expansion 1,Geographically undesirable.*
Carbs of the Huge Manatee - Online Dating Expansion 1,Getting back from a bad date to your roommate having sex on the couch.  Again.
Carbs of the Huge Manatee - Online Dating Expansion 1,Getting the feeling that you really need to watch your drink.
Carbs of the Huge Manatee - Online Dating Expansion 1,Ghosting.*
Carbs of the Huge Manatee - Online Dating Expansion 1,Giving the person who asked for your number the number of “dial-a-prayer.”*
Carbs of the Huge Manatee - Online Dating Expansion 1,Going to Denny's and being told by your date what you can order so they can use their coupon.
Carbs of the Huge Manatee - Online Dating Expansion 1,Having explosive diarrhea in your date's bathroom.
Carbs of the Huge Manatee - Online Dating Expansion 1,Having mind-blowing sex with someone whose politics are the polar opposite of yours.
Carbs of the Huge Manatee - Online Dating Expansion 1,Having sex with someone who learned their technique from watching bad porn.
Carbs of the Huge Manatee - Online Dating Expansion 1,Ignoring glaringly obvious red-flags because they're really hot.
Carbs of the Huge Manatee - Online Dating Expansion 1,Judging someone based on the content of their character... and the shape of their butt.
Carbs of the Huge Manatee - Online Dating Expansion 1,Listening to him talk all night about his Twilight fan-fiction.
Carbs of the Huge Manatee - Online Dating Expansion 1,Looking through your “friends” on Facebook and playing “Would you or wouldn't you?” at 3:30am because you're awake and have nothing better to do.
Carbs of the Huge Manatee - Online Dating Expansion 1,Lying about your age by 10 years and thinking no one will notice.
Carbs of the Huge Manatee - Online Dating Expansion 1,Major bitchy/asshole resting face.
Carbs of the Huge Manatee - Online Dating Expansion 1,Meeting your date only to see their face fall at the sight of you.
Carbs of the Huge Manatee - Online Dating Expansion 1,Messages from people who are WAY less attractive than you.
Carbs of the Huge Manatee - Online Dating Expansion 1,Messages from people who obviously have not read your profile.
Carbs of the Huge Manatee - Online Dating Expansion 1,My eyes.
Carbs of the Huge Manatee - Online Dating Expansion 1,My favorite movies: The Secretary; Amelie; and The Shawshank Redemption.
Carbs of the Huge Manatee - Online Dating Expansion 1,Not clicking “casual sex” because you don't want to look like a slut. (even though you really want casual sex).
Carbs of the Huge Manatee - Online Dating Expansion 1,One topic of conversation.  Vegan “food.”  Nothing else.
Carbs of the Huge Manatee - Online Dating Expansion 1,Pubic hair that makes you think of Donald Trump's toupee.
Carbs of the Huge Manatee - Online Dating Expansion 1,Random hairs from your ex on everything.  Including your underwear.
Carbs of the Huge Manatee - Online Dating Expansion 1,Reading a friend's profile and realizing you two should totally hook up.
Carbs of the Huge Manatee - Online Dating Expansion 1,Receiving flowers on your first date that smell like rotting flesh.
Carbs of the Huge Manatee - Online Dating Expansion 1,Returing your ex's stockings to her – after you've tied up your new girlfriend with them.
Carbs of the Huge Manatee - Online Dating Expansion 1,Spending $400 on another god-awful bridesmaid’s dress.
Carbs of the Huge Manatee - Online Dating Expansion 1,Swiping left so hard you crack the screen.
Carbs of the Huge Manatee - Online Dating Expansion 1,The day after the first date when she tells you she's pregnant... and doesn't know who the father is.
Carbs of the Huge Manatee - Online Dating Expansion 1,The embarrassment of the hot nurse reading your medication list including Valtrex and Viagra...*
Carbs of the Huge Manatee - Online Dating Expansion 1,The sense of connection after discovering you take the psychiatric meds.
Carbs of the Huge Manatee - Online Dating Expansion 1,Trying to decide if online- or offline-dating is worse.
Carbs of the Huge Manatee - Online Dating Expansion 1,Watching your date get someone else's number while out with you.
Carbs of the Huge Manatee - Online Dating Expansion 1,Wedding reception hook-ups.
Carbs of the Huge Manatee - Online Dating Expansion 1,Wondering if maybe you're the ONLY person on any of these dating sites given your response rate.
Carbs of the Huge Manatee - Online Dating Expansion 1,Wondering why no one has actually created the dating site “Lowered Expectations.”*
Carbs of the Huge Manatee - Online Dating Expansion 1,Wondering why none of your friends will set you up with their friends.
Carbs of the Huge Manatee - Online Dating Expansion 1,Yelling into the void.*
