Label,response
Cards About Toronto,A Captain John's Seafood Dinner
Cards About Toronto,A Christmas Day bathhouse visit
Cards About Toronto,A Doug Ford shaped piñata
Cards About Toronto,A drunk girl getting banged on a pile of garbage bags
Cards About Toronto,A kickstarter campaign to pay your rent
Cards About Toronto,A loud fart that you thought would be a quiet fart
Cards About Toronto,A now-homeless Much Music VJ
Cards About Toronto,A Polar Vortex
Cards About Toronto,A thirteen minute make-out session with Kathleen Wynne
Cards About Toronto,A walk of shame
Cards About Toronto,A warm sack of foreskins
Cards About Toronto,Adult bed-wetting
Cards About Toronto,Alcohol-free art gallery openings
Cards About Toronto,An Ossington hipster who really lives in Oakville
Cards About Toronto,Anonymous after dark anilingus
Cards About Toronto,Another blackout
Cards About Toronto,Another goddamn cupcake shop
Cards About Toronto,Another year of therapy
Cards About Toronto,Asian parents
Cards About Toronto,Auto-fellatio asphyxiation
Cards About Toronto,Autocorrect
Cards About Toronto,Backhanded compliments
Cards About Toronto,Bacon substitutes
Cards About Toronto,Bed bugs
Cards About Toronto,Being forced to compliment an ugly baby
Cards About Toronto,Being the next contestant on the Cash Cab
Cards About Toronto,Being the only high person at the party
Cards About Toronto,Being the third wheel
Cards About Toronto,Believing vaccines cause Autism
Cards About Toronto,Bieber Fever
Cards About Toronto,Bike lanes on Bloor
Cards About Toronto,Blaming amalgamation
Cards About Toronto,Blaming the CBC
Cards About Toronto,Blood fisting
Cards About Toronto,Books I'll never read
Cards About Toronto,Butt pirates
Cards About Toronto,Buying discount hoop earrings in Scarborough
Cards About Toronto,Buying underwear in Chinatown
Cards About Toronto,Calling the Rogers Centre the Skydome
Cards About Toronto,CAMH
Cards About Toronto,Casual racism
Cards About Toronto,Casually mentioning having herpes
Cards About Toronto,Catholic guilt
Cards About Toronto,Celine Dion keeping her baby warm in the microwave
Cards About Toronto,Chocolate covered Plan B morning after pills
Cards About Toronto,Cineplex's Time Play app
Cards About Toronto,Coffee Time patrons
Cards About Toronto,Conversations about gluten
Cards About Toronto,Craigslist missed connections
Cards About Toronto,Cross-dressing dads coming out to their adult children
Cards About Toronto,Deadbeat dads
Cards About Toronto,Death by a tsunami of used condoms
Cards About Toronto,Defending Etobicoke's right to exist
Cards About Toronto,Degrassi High
Cards About Toronto,Dining at the CNE
Cards About Toronto,Double penetration
Cards About Toronto,Drake's latest album
Cards About Toronto,Drunk dialing
Cards About Toronto,Duckfaced selfies
Cards About Toronto,Ed the Sock
Cards About Toronto,Failing as an aesthetician
Cards About Toronto,Falling asleep on the bus and waking up in Islingtontown
Cards About Toronto,Feelings
Cards About Toronto,Female-to-male transsexual chest hair
Cards About Toronto,Flash dance magic pants
Cards About Toronto,Ford Nation
Cards About Toronto,Forty-somethings wearing Uggs
Cards About Toronto,Freezing poop to make  dildo
Cards About Toronto,Gangnam style
Cards About Toronto,Getting lost in Honest Ed's
Cards About Toronto,Getting photobombed by Gian Gomeshii
Cards About Toronto,Getting shot at Caribana
Cards About Toronto,Glory holes
Cards About Toronto,Gonorrhoea… gift wrapped
Cards About Toronto,Grandparents constantly asking why I'm single
Cards About Toronto,Grocery shopping at Dollarama
Cards About Toronto,Hand feeding Rob Ford Cheez-its
Cards About Toronto,Hanlan's Point Clothing Optional Beach
Cards About Toronto,Happy Hour at Zanzibar
Cards About Toronto,Harry Potter male pregnancy fan fiction
Cards About Toronto,Hashtags on Facebook
Cards About Toronto,Hassle-free clinic test results
Cards About Toronto,Having a 647 phone number
Cards About Toronto,High Park after dark
Cards About Toronto,Hipsters serving brunch
Cards About Toronto,Hoarder marathons on Netflix
Cards About Toronto,Hostile eye contact
Cards About Toronto,Hot guys named Todd
Cards About Toronto,Ignoring the elephant in the room
Cards About Toronto,Intercourse with a hollowed out watermelon
Cards About Toronto,Jane and Finch
Cards About Toronto,Jungle fever
Cards About Toronto,Kale chips
Cards About Toronto,Kensington hippies
