Label,prompt
Cards Against/For South Africa,A romantic candlelit dinner would be incomplete without ____.
Cards Against/For South Africa,ACSA guidlines now prohibit ___ on aeroplanes.
Cards Against/For South Africa,Alternative medicine is now embracing the curative powers of ___.
Cards Against/For South Africa,And the Academy award for ___ goes to ___.
Cards Against/For South Africa,Anthropologists have recently discovered a primitive tribe that worhips ___.
Cards Against/For South Africa,Carte Blanche investigates ___.
Cards Against/For South Africa,For my next trick I will pull ___ out of ___.
Cards Against/For South Africa,How am I maintaining my relationship status?
Cards Against/For South Africa,I drink to forget ___.
Cards Against/For South Africa,I got 99 problems but ___ ain't one.
Cards Against/For South Africa,I know! We can blakcmail the Gupta family with ___.
Cards Against/For South Africa,I learned the hard way that you can't cheer up a grieving friend with ___.
Cards Against/For South Africa,I never truly understood ___ until i encountered ___.
Cards Against/For South Africa,I wish I hadn't lost the instruction manual for ___.
Cards Against/For South Africa,It's a pity that kids these days are all getting involved with ___.
Cards Against/For South Africa,Kyknet's new reality show features eight washed up celebrities cooking with ___.
Cards Against/For South Africa,Life for the Bushmen was changed when the white man introduced them to ___.
Cards Against/For South Africa,Life was difficult for cavement before ___.
Cards Against/For South Africa,Lifetime® presents ___ the story of ___.
Cards Against/For South Africa,Maybe she's born with it. Maybe it's ___.
Cards Against/For South Africa,Next from J.K. Rowling: Harry Potter and the chamber of ___.
Cards Against/For South Africa,Rumour has it that Jacob Zuma's favourite dish is ___ stuffed with ___.
Cards Against/For South Africa,Science will never explain the origin of ___.
Cards Against/For South Africa,STOP! The game ends here
Cards Against/For South Africa,Studies show that lab rats navigate mazes 50% faster after being exposed to ___.
Cards Against/For South Africa,The class field trip was completely ruined by ___.
Cards Against/For South Africa,The government of South Africa has declared that access to ___ is a basic human right.
Cards Against/For South Africa,The Guptas have begun selling ___ to the children of Jozi.
Cards Against/For South Africa,The Scorpions interrogate suspects by repeatedly subjecting them to ___.
Cards Against/For South Africa,The South African Rugby Union has banned ___ for giving players an unfair advantage.
Cards Against/For South Africa,War! What is it good for?
Cards Against/For South Africa,What are my parents hiding from me?
Cards Against/For South Africa,What brought the orgy to a grinding halt?
Cards Against/For South Africa,What did i bring back from Zimbabwe?
Cards Against/For South Africa,What did Suzelle DIY have for dinner?
Cards Against/For South Africa,What do South African dogs smell like?
Cards Against/For South Africa,What does Steve Hofmeyr prefer?
Cards Against/For South Africa,What don't you want to find in your chinese food?
Cards Against/For South Africa,What ended my last relationship?
Cards Against/For South Africa,What gets better with age?
Cards Against/For South Africa,What gives you uncontrollable gas?
Cards Against/For South Africa,What has been making life difficult at the nudist colony?
Cards Against/For South Africa,What helps Julius Malema unwind?
Cards Against/For South Africa,What is Pravin Gorhan's guilty pleasure?
Cards Against/For South Africa,What is the latest tabloid's freak-of-the-week?
Cards Against/For South Africa,What never fails to liven up a party
Cards Against/For South Africa,What will always get you laid?
Cards Against/For South Africa,What will I bring back in time to convince people that I am a powerful wizard?
Cards Against/For South Africa,What's a girl's best friend?
Cards Against/For South Africa,What's my morning-after cure?
Cards Against/For South Africa,What's my secret power?
Cards Against/For South Africa,What's Mzansi using to inspire inner city students to succeed?
Cards Against/For South Africa,What's that smell?
Cards Against/For South Africa,What's the gift that keeps on giving?
Cards Against/For South Africa,What's the new fad diet?
Cards Against/For South Africa,What's the secret ingredient in potjiekos?
Cards Against/For South Africa,Whats that sound?
Cards Against/For South Africa,Whats the next Happy Meal® toy?
Cards Against/For South Africa,White people like ___.
Cards Against/For South Africa,Who stole the cookies from the cookie jar?
Cards Against/For South Africa,Why am i sticky?
Cards Against/For South Africa,Why can't i sleep at night?
Cards Against/For South Africa,Why do i hurt all over?
