Label,response
Cards Against/For South Africa,A bag of magic beans.
Cards Against/For South Africa,A balanced breakfast.
Cards Against/For South Africa,A bleached asshole.
Cards Against/For South Africa,A brain tumor.
Cards Against/For South Africa,A clandestine butt scratch.
Cards Against/For South Africa,A death ray.
Cards Against/For South Africa,A defective condom
Cards Against/For South Africa,A dissapointing birthday party.
Cards Against/For South Africa,A drive-by shooting.
Cards Against/For South Africa,A fetus.
Cards Against/For South Africa,A gassy antelope.
Cards Against/For South Africa,A gentle caress of the inner thigh.
Cards Against/For South Africa,A good sniff.
Cards Against/For South Africa,A hot mess.
Cards Against/For South Africa,A lifetime of Sadness.
Cards Against/For South Africa,A mating display.
Cards Against/For South Africa,A micropenis.
Cards Against/For South Africa,A mime having a stroke.
Cards Against/For South Africa,A moment of silence.
Cards Against/For South Africa,A monkey smoking a cigar.
Cards Against/For South Africa,A really cool hat.
Cards Against/For South Africa,A sad handjob.
Cards Against/For South Africa,A salty surprise.
Cards Against/For South Africa,A sangoma curse.
Cards Against/For South Africa,A sassy coloured woman.
Cards Against/For South Africa,A sausage festival.
Cards Against/For South Africa,A sea of troubles.
Cards Against/For South Africa,A snapping turtle biting the tip of your penis.
Cards Against/For South Africa,A snotklap
Cards Against/For South Africa,A squirt gun full of cat pee.
Cards Against/For South Africa,A stray pube.
Cards Against/For South Africa,A time travel paradox.
Cards Against/For South Africa,A tiny horse.
Cards Against/For South Africa,A Vuvuzela.
Cards Against/For South Africa,Accidentally peeing a little bit.
Cards Against/For South Africa,Active Listening.
Cards Against/For South Africa,Actually taking candy from a baby.
Cards Against/For South Africa,Agriculture.
Cards Against/For South Africa,AIDS.
Cards Against/For South Africa,Alcoholism.
Cards Against/For South Africa,All-you-can-eat buffalo wings for R45.00
Cards Against/For South Africa,Altar boys.
Cards Against/For South Africa,Amputees.
Cards Against/For South Africa,An asymmetric boob job.
Cards Against/For South Africa,An erection that lasts for hours.
Cards Against/For South Africa,An honest cop with nothing left to lose.
Cards Against/For South Africa,An icepick lobotomy.
Cards Against/For South Africa,An Oedipus complex.
Cards Against/For South Africa,Anal beads.
Cards Against/For South Africa,Another goddamn candid camera movie.
Cards Against/For South Africa,Archbishop Emeritus Desmond Tutu.
Cards Against/For South Africa,Arnold Vosloo.
Cards Against/For South Africa,Asiains who aren't good at math.
Cards Against/For South Africa,Auschwitz.
Cards Against/For South Africa,Authentic Indian curry.
Cards Against/For South Africa,Autocannibalism.
Cards Against/For South Africa,AXE Body Spray.
Cards Against/For South Africa,BATMAN!!!
Cards Against/For South Africa,Beggers at robots.
Cards Against/For South Africa,Being fabulous
Cards Against/For South Africa,Being marginalised.
Cards Against/For South Africa,Being on fire.
Cards Against/For South Africa,Being rich.
Cards Against/For South Africa,Bingeing and Purging.
Cards Against/For South Africa,Bitches.
Cards Against/For South Africa,Black People.
Cards Against/For South Africa,Bling.
Cards Against/For South Africa,Boere Musiek.
Cards Against/For South Africa,Boerewors Rolls
Cards Against/For South Africa,Boerewors.
Cards Against/For South Africa,Bosveld lapa porn.
Cards Against/For South Africa,Breaking out into song and dance.
Cards Against/For South Africa,Breaking the rules to keep a promise.
Cards Against/For South Africa,Breitbridge border guards.
Cards Against/For South Africa,Cards Against South Africa.
Cards Against/For South Africa,Centaurs.
Cards Against/For South Africa,Chainsaws instead of hands.
Cards Against/For South Africa,Charisma.
Cards Against/For South Africa,Charlize Theron.
Cards Against/For South Africa,Cheating in the Special Olympics.
Cards Against/For South Africa,Cheating on a Windhoek Light diet.
Cards Against/For South Africa,Child abuse.
Cards Against/For South Africa,Chivalry.
Cards Against/For South Africa,Coat hanger abortions.
Cards Against/For South Africa,Cockfights.
Cards Against/For South Africa,College.
Cards Against/For South Africa,Consultants
Cards Against/For South Africa,Copping a feel.
Cards Against/For South Africa,Cosplay cats.
Cards Against/For South Africa,Crippling debt.
Cards Against/For South Africa,Crystal meth.
Cards Against/For South Africa,Customer service representatives.
Cards Against/For South Africa,Cybernetic enhancements.
Cards Against/For South Africa,Daddy issues.
Cards Against/For South Africa,Darth Vader.
Cards Against/For South Africa,Date rape.
Cards Against/For South Africa,Dead babies.
Cards Against/For South Africa,Dead parents.
Cards Against/For South Africa,Delousing hair Shampoo for pupils.
Cards Against/For South Africa,Dick fingers.
Cards Against/For South Africa,Doin' it in the butt.
Cards Against/For South Africa,Drinking alone.
Cards Against/For South Africa,Dry heaving.
Cards Against/For South Africa,Dying.
Cards Against/For South Africa,Eating all of the cookies before the AIDS bake sale.
Cards Against/For South Africa,Eating thelast known rhinoceros
Cards Against/For South Africa,Edblo mattresses.
Cards Against/For South Africa,Edible underpants.
Cards Against/For South Africa,Elderly Japanese men.
Cards Against/For South Africa,Embryonic stem cells.
Cards Against/For South Africa,Epol® pet food.
Cards Against/For South Africa,Erectile dysfunction.
Cards Against/For South Africa,Ethnic Cleansing.
Cards Against/For South Africa,Exactly what you'd expect.
Cards Against/For South Africa,Exchanging pleasantries.
Cards Against/For South Africa,Expecting a burp and vomiting on the floor.
Cards Against/For South Africa,Explosions.
Cards Against/For South Africa,F.W. De Klerk
Cards Against/For South Africa,Famine.
Cards Against/For South Africa,Farting and walking away.
Cards Against/For South Africa,Feeding Jacob Zuma.
Cards Against/For South Africa,Fiery poops.
Cards Against/For South Africa,Finger painting.
Cards Against/For South Africa,Fingering.
Cards Against/For South Africa,Flesh-eating bacteria.
Cards Against/For South Africa,Flightless birds.
Cards Against/For South Africa,Flying sex snakes.
Cards Against/For South Africa,Foreskin.
Cards Against/For South Africa,Forgtting Bloodriver.
Cards Against/For South Africa,Former Presiden P.W. Botha
Cards Against/For South Africa,Francois Pienaar's acting career.
Cards Against/For South Africa,Free samples.
Cards Against/For South Africa,Friction.
Cards Against/For South Africa,Friendly Fire.
Cards Against/For South Africa,Friends who eat all the snacks.
Cards Against/For South Africa,Friends with benefits.
Cards Against/For South Africa,Genital Piercings.
Cards Against/For South Africa,Getting drunk on mouthwash.
Cards Against/For South Africa,Getting naked and watching Wielie-Walie
Cards Against/For South Africa,Getting really high.
Cards Against/For South Africa,Getting so angry you pop a boner.
Cards Against/For South Africa,Ghosts.
Cards Against/For South Africa,Giving 110%.
Cards Against/For South Africa,Global warming.
Cards Against/For South Africa,Gloryholes.
Cards Against/For South Africa,God.
