Label,response
Cards Against Humanity Saves America Pack,A baby panda that just can't keep its eyes open.
Cards Against Humanity Saves America Pack,A gay Republican somehow.
Cards Against Humanity Saves America Pack,A laundry basket full of baby bunnies.
Cards Against Humanity Saves America Pack,A really good dog.
Cards Against Humanity Saves America Pack,A stack of puppies in a trench coat.
Cards Against Humanity Saves America Pack,Getting deported.
Cards Against Humanity Saves America Pack,Guacamole.
Cards Against Humanity Saves America Pack,How easy it is to climb over a wall with a ladder.
Cards Against Humanity Saves America Pack,Lou Gehrig's Disease.
Cards Against Humanity Saves America Pack,Mexicans and Muslims.
Cards Against Humanity Saves America Pack,My drunk father screaming from the bleachers.
Cards Against Humanity Saves America Pack,My money stolen by Cards Against Humanity and redistributed to people poorer than me.
Cards Against Humanity Saves America Pack,Our dumb asshole president.
Cards Against Humanity Saves America Pack,Slowly shaking my head at a sad statistic.
Cards Against Humanity Saves America Pack,Speaking in iambic pentameter.
Cards Against Humanity Saves America Pack,Taking a minute to really unpack what Shakespeare is getting at in this scene.
Cards Against Humanity Saves America Pack,Teaching my son to love the Red Sox and hate minorities.
Cards Against Humanity Saves America Pack,The shocking stupidity of the American public.
Cards Against Humanity Saves America Pack,The significance of eyes in King Lear.
Cards Against Humanity Saves America Pack,The truth.
Cards Against Humanity Saves America Pack,Two baby otters holding hands.
Cards Against Humanity Saves America Pack,Two hamsters nibbling on a tiny burrito.
Cards Against Humanity Saves America Pack,White people becoming a minority.
