Label,response
Cards Against Profanity,A blimp advertising hair regrowth
Cards Against Profanity,A bowl cut
Cards Against Profanity,A Boy Scouts' camping trip gone wrong
Cards Against Profanity,A breath of fresh air
Cards Against Profanity,A brother from another mother
Cards Against Profanity,A bulging merit badge
Cards Against Profanity,A Canadian otter
Cards Against Profanity,A cat on a leash
Cards Against Profanity,A Chia Pet
Cards Against Profanity,A child prodigy
Cards Against Profanity,A child's laughter
Cards Against Profanity,A combover
Cards Against Profanity,A cough that lasts for 7 weeks
Cards Against Profanity,A dark and stormy night
Cards Against Profanity,A doctorate degree in ufology
Cards Against Profanity,A doorway to Narnia
Cards Against Profanity,A family union
Cards Against Profanity,A fire-breathing chipmunk
Cards Against Profanity,A fitness kick (This too shall pass.)
Cards Against Profanity,A friendly game of "Who Can Annoy the Other Person More?"
Cards Against Profanity,A fully balanced breakfast
Cards Against Profanity,A game of miniature golf for all the marbles
Cards Against Profanity,A girls-night-out with my mother-in-law
Cards Against Profanity,A glorious burst of sunlight through clouds
Cards Against Profanity,A hat much too small for my head
Cards Against Profanity,A heartfelt apology
Cards Against Profanity,A heartwarming greeting card
Cards Against Profanity,A hidden agenda
Cards Against Profanity,A hilarious bumper sticker
Cards Against Profanity,A hive of hornets
Cards Against Profanity,A horcrux
Cards Against Profanity,A horse named Destiny
Cards Against Profanity,A karaoke solo
Cards Against Profanity,A land of plenty
Cards Against Profanity,A lost Shakespearean play
Cards Against Profanity,A Lunchable. Pizza kind.
Cards Against Profanity,A minimal skill set
Cards Against Profanity,A misunderstood villian
Cards Against Profanity,A never-ending to-do list
Cards Against Profanity,A party ruined by food allergies
Cards Against Profanity,A peg leg
Cards Against Profanity,A pet turtle
Cards Against Profanity,A poltergeist
Cards Against Profanity,A poor British accent
Cards Against Profanity,A precious panda bear screensaver
Cards Against Profanity,A quality female role model
Cards Against Profanity,A really long shower
Cards Against Profanity,A resounding high five
Cards Against Profanity,A romantic spark
Cards Against Profanity,A room full of Polly Pockets that I have to clean
Cards Against Profanity,A sabre-toothed tiger
Cards Against Profanity,A selective memory
Cards Against Profanity,A sensational sunrise
Cards Against Profanity,A shiny penny
Cards Against Profanity,A spider so big it could eat a man
Cards Against Profanity,A startingly high-pitched voice
Cards Against Profanity,A surprise proposal
Cards Against Profanity,A technicolor dreamcoat
Cards Against Profanity,A trip to the thrift store
Cards Against Profanity,A two-for-one coupon at Sizzlers
Cards Against Profanity,A vampire romance novel
Cards Against Profanity,A vat of chocolate chip cookie dough
Cards Against Profanity,A very sensitive ego
Cards Against Profanity,A weak gag reflex
Cards Against Profanity,A weak grasp on reality
Cards Against Profanity,A wedding reception. Again.
Cards Against Profanity,A wish come true
Cards Against Profanity,A yellow submarine
Cards Against Profanity,Accompanying the choir with a harmonica
Cards Against Profanity,Actors that try to sing
Cards Against Profanity,Adulthood
Cards Against Profanity,Aggressive kiosk workers
Cards Against Profanity,Airplane stories
Cards Against Profanity,All things divine
Cards Against Profanity,All things that creepeth
Cards Against Profanity,An acquired taste
Cards Against Profanity,An aggressive game of spoons
Cards Against Profanity,An alarming sense of direction
Cards Against Profanity,An assorted box of chocolates
Cards Against Profanity,An aversion to dairy
Cards Against Profanity,An awkward hug/handshake exchange
Cards Against Profanity,An awkward musical number
Cards Against Profanity,An endless wave of puppies
Cards Against Profanity,An entire game of Monopoly
Cards Against Profanity,An HGTV addiction
Cards Against Profanity,An impressive balancing act
Cards Against Profanity,AN impulsive need to avoid stepping on cracks at all costs
Cards Against Profanity,An insect collection
Cards Against Profanity,An intense phobia of flying squirrels
Cards Against Profanity,An outift that does not disappoint me
Cards Against Profanity,An overactive imagination
Cards Against Profanity,An overwhelming cat odor
Cards Against Profanity,An unruly stench
Cards Against Profanity,AP calculus
Cards Against Profanity,Appendicitis
Cards Against Profanity,Awkward silences at dinner with the in-laws
Cards Against Profanity,Backpacking through the Australian Outback
Cards Against Profanity,Bad puns
Cards Against Profanity,Baklava-from the neighbors
Cards Against Profanity,Band practice
Cards Against Profanity,Batman's voice
Cards Against Profanity,Baymax
Cards Against Profanity,Bedazzling
Cards Against Profanity,Being alone
Cards Against Profanity,Being dead serious
Cards Against Profanity,Being hungry at the grocery store
Cards Against Profanity,Being the most attractive person in the room
Cards Against Profanity,Being unable to accept that the number pi is without end
Cards Against Profanity,Being wholly unimpressed
Cards Against Profanity,Belly button lint
Cards Against Profanity,Biffing it on the Slip 'N Slide
Cards Against Profanity,Big Brother
Cards Against Profanity,Big ideas
Cards Against Profanity,Blasphemy
Cards Against Profanity,Bono
Cards Against Profanity,Breakfast for dinner
Cards Against Profanity,Broken promises
Cards Against Profanity,Bubblegum-flavored toothpaste
Cards Against Profanity,Camp songs
Cards Against Profanity,Caroline Bingley
Cards Against Profanity,Celine Dion
Cards Against Profanity,Charlie Brown
Cards Against Profanity,Chocolate rabbits
Cards Against Profanity,Choking on Pixy Stix dust as I dump it down my throat
Cards Against Profanity,Christian rock
Cards Against Profanity,Christmas beyond compare
Cards Against Profanity,Chubby cheeks
Cards Against Profanity,Cold pizza
Cards Against Profanity,Coleslaw
Cards Against Profanity,College tuition
Cards Against Profanity,Coming home from college to find my room was given away to my younger siblings and I've been forgotten
Cards Against Profanity,Conflicting personalities
Cards Against Profanity,Congratulatory snaps
Cards Against Profanity,Costco on a Saturday
Cards Against Profanity,Cranking the stereo when Josh Groban comes on
Cards Against Profanity,Crime dramas
Cards Against Profanity,Critically acclaimed films
Cards Against Profanity,Crossing my heart and hoping to die
Cards Against Profanity,Crunch Berries
Cards Against Profanity,Customer service representatives
Cards Against Profanity,Daddy issues
Cards Against Profanity,Dancing to my favorite song like I ain't ever gonna stop
Cards Against Profanity,Deep conversations
Cards Against Profanity,Deep-fried anything
Cards Against Profanity,Diet Coke
Cards Against Profanity,Disney movies
Cards Against Profanity,Dogs in sweaters
Cards Against Profanity,Donald Trump
Cards Against Profanity,Donny Osmond
Cards Against Profanity,Door-to-door salesmen
Cards Against Profanity,Drawing a mustache on Dad as he snores
Cards Against Profanity,Dreams of being a Formula 500 racer
Cards Against Profanity,Dressing up as Dobby for the Harry Potter movie release
Cards Against Profanity,Dropping and breaking a jar of pickles into a million pieces and wondering what I did to the universe to deserve this
Cards Against Profanity,Drying asphalt
Cards Against Profanity,Duct tape patch job
Cards Against Profanity,Eating a 20-serving bag of chips in one sitting
Cards Against Profanity,Eating a spoonful of cinnamon
Cards Against Profanity,Eating the refrigerator's entire contents after breaking your diet
Cards Against Profanity,Eating until I hate myself
Cards Against Profanity,Egg whites
Cards Against Profanity,Enjoying a banana
Cards Against Profanity,Enjoying a lollipop on a warm summer's afternoon
Cards Against Profanity,Enough chocolate to drown in
Cards Against Profanity,Euphoria
Cards Against Profanity,European immigrants
Cards Against Profanity,Excellent hygiene
Cards Against Profanity,Excruciating sunburns
Cards Against Profanity,Exploding earth worms
Cards Against Profanity,Extreme opinions
Cards Against Profanity,Eye drops
Cards Against Profanity,Family Christmas cards
Cards Against Profanity,Family pictures
Cards Against Profanity,Feeling pity
Cards Against Profanity,Finding money in my pocket that I forgot was there
Cards Against Profanity,Finding that the two-year-old has redecorated my kitchen with cream of wheat and grape jelly
Cards Against Profanity,Fire
Cards Against Profanity,Fish & chips
Cards Against Profanity,Flat soda
Cards Against Profanity,Forgetting a jacket
Cards Against Profanity,Friends reruns all day long
Cards Against Profanity,Frolicking in a field of wildflowers
Cards Against Profanity,Fundraisers
Cards Against Profanity,Future Farmers of America
Cards Against Profanity,George Washington
Cards Against Profanity,Giggling in inappropriate situations
Cards Against Profanity,Girl Scout cookies
Cards Against Profanity,Girl Scout sewing merit badge
Cards Against Profanity,Giving lectures
Cards Against Profanity,Glow-in-the-dark toenail polish
Cards Against Profanity,Going green
