Label,response
Cards and Punishment Vol. One,A denture-free blowjob from Betty White.
Cards and Punishment Vol. One,A donkey punch.
Cards and Punishment Vol. One,A face only a mother could love.
Cards and Punishment Vol. One,A particiation award.
Cards and Punishment Vol. One,A participation award.
Cards and Punishment Vol. One,A retirement home orgy.
Cards and Punishment Vol. One,A reverse mermaid pathetically kicking around in a circle.
Cards and Punishment Vol. One,A rug that really ties the room together.
Cards and Punishment Vol. One,A unicorn with a unibrow riding a unicycle.
Cards and Punishment Vol. One,Accidentally drunk sexting Dad.
Cards and Punishment Vol. One,Accidently drunk sexting your parents.
Cards and Punishment Vol. One,Amateur acupuncture.
Cards and Punishment Vol. One,An "accidental" facial.
Cards and Punishment Vol. One,An 89-year-old woman with time and gravity-affected breast implants jumping rope.
Cards and Punishment Vol. One,An extravagent merkin.
Cards and Punishment Vol. One,Asking a morbidly obese woman if she's pregnant.
Cards and Punishment Vol. One,Being dumber than a 5th grader.
Cards and Punishment Vol. One,Bill Fucking Murray.
Cards and Punishment Vol. One,Bill's penis in and around Hillary's mouth.
Cards and Punishment Vol. One,Blowing into a Nintendo cartridge and passing out.
Cards and Punishment Vol. One,Butt barf.
Cards and Punishment Vol. One,Buying a dog as a practice child and failing miserably.
Cards and Punishment Vol. One,Buying a dog as a practice kid and colossally failing.
Cards and Punishment Vol. One,Consuming undercooked eggs or poultry.
Cards and Punishment Vol. One,Danger zone!
Cards and Punishment Vol. One,Defiling new car smell.
Cards and Punishment Vol. One,Deliberately spreading STDs.
Cards and Punishment Vol. One,Disguising a queef as a fart.
Cards and Punishment Vol. One,Docking.
Cards and Punishment Vol. One,Donkey punching Donkey Kong.
Cards and Punishment Vol. One,Dressing as yourself for Halloween.
Cards and Punishment Vol. One,Dropping the soap.
Cards and Punishment Vol. One,Ducking autocorrect.
Cards and Punishment Vol. One,Either a queef or a fart.
Cards and Punishment Vol. One,Failing to honor my 5th grade D.A.R.E. agreement.
Cards and Punishment Vol. One,Farmers who fuck goats.
Cards and Punishment Vol. One,Finding a used Band-Aid in the pool.
Cards and Punishment Vol. One,Forgetting about Dre.
Cards and Punishment Vol. One,Harriet Tubman underboob.
Cards and Punishment Vol. One,Having a big toe for all of your toes.
Cards and Punishment Vol. One,Having a big toe for all ten toes.
Cards and Punishment Vol. One,Immediate regret.
Cards and Punishment Vol. One,Ironic facial hair.
Cards and Punishment Vol. One,Junk in the trunk.
Cards and Punishment Vol. One,Kitten mittens.
Cards and Punishment Vol. One,Lena Dunham's voluptuous muffin top.
Cards and Punishment Vol. One,Literally fucking the shit out of someone.
Cards and Punishment Vol. One,Love.
Cards and Punishment Vol. One,Luigi's inferiority complex.
Cards and Punishment Vol. One,Male pattern baldness on a female.
Cards and Punishment Vol. One,Masking failures with religion.
Cards and Punishment Vol. One,Masturbating in the produce section.
Cards and Punishment Vol. One,Methin' around.
Cards and Punishment Vol. One,Mistaking sriracha for contact lens solution.
Cards and Punishment Vol. One,Movie theater handjobs.
Cards and Punishment Vol. One,My windowless white van.
Cards and Punishment Vol. One,Naked sumo jello wrestling.
Cards and Punishment Vol. One,Not playing this game because you're Mormon.
Cards and Punishment Vol. One,Overdosing on life.
Cards and Punishment Vol. One,Owen Wilson's nose.
Cards and Punishment Vol. One,Pineapple-infused cum.
Cards and Punishment Vol. One,Poking a fatty on Facebook.
Cards and Punishment Vol. One,Premature defecation.
Cards and Punishment Vol. One,Pulling the plug.
Cards and Punishment Vol. One,Showing that bitch a whole new world.
Cards and Punishment Vol. One,Simultaneous diarrhea and vomiting.
Cards and Punishment Vol. One,Simultaneous diarrhea and vomitting.
Cards and Punishment Vol. One,Sniffing scented markers for a quick fix.
Cards and Punishment Vol. One,Snorting the fine line between genius and insanity.
Cards and Punishment Vol. One,Sober sex.
Cards and Punishment Vol. One,Some type of palsy.
Cards and Punishment Vol. One,Someone who looks retarded but isn't.
Cards and Punishment Vol. One,Stinging urination.
Cards and Punishment Vol. One,Taking our jobs.
Cards and Punishment Vol. One,The antidote.
Cards and Punishment Vol. One,The ever-worsening wrath of the hangover gods.
Cards and Punishment Vol. One,The Flying Spaghetti Monster.
Cards and Punishment Vol. One,The Human Centipede: infinity edition.
Cards and Punishment Vol. One,The Itty Bitty Titty Committee.
Cards and Punishment Vol. One,The little bastard kicking the back of your airplane seat while his parents do absolutely fucking nothing.
Cards and Punishment Vol. One,The restraining order.
Cards and Punishment Vol. One,The secret sauce on my mystery meat.
Cards and Punishment Vol. One,The sound of stirring macaroni and cheese.
Cards and Punishment Vol. One,The TSA guy stroking it to your naked body scan in the back room.
Cards and Punishment Vol. One,The worst case of hemorrhoids I have ever seen.
Cards and Punishment Vol. One,This shit again.
Cards and Punishment Vol. One,Wiping back to front.
