Label,prompt
Cards and Punishment Vol. Two,Bringing up ______ on a first date is a terrible idea. I know from experience.
Cards and Punishment Vol. Two,Coming this fall: pumpkin spice ______!
Cards and Punishment Vol. Two,Eat. Sleep. ______. Repeat.
Cards and Punishment Vol. Two,I knew that I had to turn my life around when I woke up to find ______ in my belly button.
Cards and Punishment Vol. Two,Looks like I picked the wrong day to quit ______.
Cards and Punishment Vol. Two,Stop trying to make ______ happen. It's not going to happen.
Cards and Punishment Vol. Two,What is always worth spending the extra money for?
Cards and Punishment Vol. Two,What is the meaning of life?
Cards and Punishment Vol. Two,What seems like way too much work?
Cards and Punishment Vol. Two,What was the cause of death?
Cards and Punishment Vol. Two,What would you fill a piñata with to ruin a party?
Cards and Punishment Vol. Two,What's a foolproof way to get rid of hiccups?
Cards and Punishment Vol. Two,What's the best way to assert dominance?
Cards and Punishment Vol. Two,What's the worst thing you could bring to a funeral?
Cards and Punishment Vol. Two,Why am I so turned on right now?
Cards and Punishment Vol. Two,You can't be told what ______ is. You have to see it for yourself.
Cards and Punishment Vol. Two,You HAVE to check out this new bar. They have a drink called “______” that will rock your world.
