Label,response
Cards and Punishment Vol. Two,A ball pit filled with elephant testicles.
Cards and Punishment Vol. Two,A basic white girl.
Cards and Punishment Vol. Two,A blumpkin.
Cards and Punishment Vol. Two,A bond stronger than the bromance between Seth Rogan and James Franco.
Cards and Punishment Vol. Two,A center for ants!?
Cards and Punishment Vol. Two,A condom that expired in 1998.
Cards and Punishment Vol. Two,A lot of extra skin.
Cards and Punishment Vol. Two,A meat popsicle.
Cards and Punishment Vol. Two,A particular set of skills.
Cards and Punishment Vol. Two,A pretty mouth.
Cards and Punishment Vol. Two,A Slip'N Slide® made of sandpaper.
Cards and Punishment Vol. Two,A wacky waving inflatable arm-flailing tubeman.
Cards and Punishment Vol. Two,An Australian kiss.
Cards and Punishment Vol. Two,An innie weener.
Cards and Punishment Vol. Two,Attempting to impregnate the elderly.
Cards and Punishment Vol. Two,Baby in a corner.
Cards and Punishment Vol. Two,Being naughty and ordering dessert.
Cards and Punishment Vol. Two,Being ugly and having no alibi.
Cards and Punishment Vol. Two,Blank.
Cards and Punishment Vol. Two,Blindly agreeing to all the terms and conditions.
Cards and Punishment Vol. Two,Bloodying a sword.
Cards and Punishment Vol. Two,Caitlyn Jenner.
Cards and Punishment Vol. Two,Drinking your own piss.
Cards and Punishment Vol. Two,Eating Flamin' Hot Cheetos® out of the toilet.
Cards and Punishment Vol. Two,Free samples!
Cards and Punishment Vol. Two,Getting too old for this shit.
Cards and Punishment Vol. Two,Helen Keller.
Cards and Punishment Vol. Two,Jared from Subway®.
Cards and Punishment Vol. Two,Kim Jung-un's wee wang.
Cards and Punishment Vol. Two,Knowing my way around a penis.
Cards and Punishment Vol. Two,Licking the rim.
Cards and Punishment Vol. Two,Magical Mormon underwear.
Cards and Punishment Vol. Two,Making new holes to fuck.
Cards and Punishment Vol. Two,Messing with Texas
Cards and Punishment Vol. Two,Mike Tyson repeatedly saying the word “moist.”
Cards and Punishment Vol. Two,More than a mouthful of bodily fluids.
Cards and Punishment Vol. Two,My famous anus.
Cards and Punishment Vol. Two,My imaginary friend who likes to watch.
Cards and Punishment Vol. Two,Obsessive-compulsive disorder.
Cards and Punishment Vol. Two,One for the homies.
Cards and Punishment Vol. Two,Peeling a dick like a banana.
Cards and Punishment Vol. Two,Permanent brain damage.
Cards and Punishment Vol. Two,Propane and propane accessories.
Cards and Punishment Vol. Two,Shitting in the shower and stomping it down the drain.
Cards and Punishment Vol. Two,Slow-motion penile helicoptering.
Cards and Punishment Vol. Two,Spitting.
Cards and Punishment Vol. Two,Swallowing.
Cards and Punishment Vol. Two,The endless possibilities of shrimp.
Cards and Punishment Vol. Two,The events that allegedly occurred during my blackout.
Cards and Punishment Vol. Two,The first time I tasted semen.
Cards and Punishment Vol. Two,The fullest extent of the law.
Cards and Punishment Vol. Two,The man inside me.
Cards and Punishment Vol. Two,The realization that new baby smell is actually just placental marinade.
Cards and Punishment Vol. Two,The shit that comes out of Donald Trump's mouth.
Cards and Punishment Vol. Two,The worse toilet in Scotland.
Cards and Punishment Vol. Two,This one time at band camp.
Cards and Punishment Vol. Two,Tiny child balls.
Cards and Punishment Vol. Two,Trusting a fart that shouldn't be trusted.
Cards and Punishment Vol. Two,Trying to poop silently.
Cards and Punishment Vol. Two,Two men with impossibly tangled beards.
Cards and Punishment Vol. Two,Using Grandpa's ballsack and leg for an impromptu game of tetherball.
Cards and Punishment Vol. Two,Vagina dentata.
Cards and Punishment Vol. Two,Vaginal ventriloquism.
Cards and Punishment Vol. Two,Walking around all day with a kazoo lodged in my butt.
