Label,response
Cards for the Masses,A $19.99 do it yourself wedding
Cards for the Masses,A 20 piece chicken nugget meal for one person
Cards for the Masses,A cactus
Cards for the Masses,A cheese grater
Cards for the Masses,A clown car
Cards for the Masses,A faint smell of poop with no defined point of origin
Cards for the Masses,A get-out-of-jail-free card
Cards for the Masses,A gourmet restaurant for dogs
Cards for the Masses,A hamburger and French Fries
Cards for the Masses,A mall cop
Cards for the Masses,A Mexican soap opera
Cards for the Masses,A mouthful of soup
Cards for the Masses,A ninja with uncontrollable flatulence
Cards for the Masses,A preserved fetal pig
Cards for the Masses,A puzzle too insanely hard to solve
Cards for the Masses,A recall of hotdogs
Cards for the Masses,A reputation for playing by the book
Cards for the Masses,A sasquatch
Cards for the Masses,A split personality that runs amok while I'm asleep
Cards for the Masses,A strange feeling inside
Cards for the Masses,Actually reading the terms of service
Cards for the Masses,Addressing the issue
Cards for the Masses,All the rice in China
Cards for the Masses,Allergy to nuts
Cards for the Masses,An actual elephant in the room
Cards for the Masses,An alligator death roll
Cards for the Masses,An itsy-bitsy teenie-weenie yellow polka dot bikini
Cards for the Masses,An uncomfortable amount of monkeys
Cards for the Masses,Are we there yet?
Cards for the Masses,Awesome watch and decoder ring
Cards for the Masses,Bicker over the position of the Big Dipper
Cards for the Masses,Breaking into a zoo to steal a monkey
Cards for the Masses,Buying a new cell phone every year
Cards for the Masses,Buying second hand underwear
Cards for the Masses,Cold pizza
Cards for the Masses,Crappy 1980's plastic Halloween costumes with a character printed on it
Cards for the Masses,Detroit
Cards for the Masses,Dial-up internet
Cards for the Masses,Drink a gallon of milk
Cards for the Masses,Drinking water from a garden hose
Cards for the Masses,Eating out of the garbage
Cards for the Masses,Extreme potato eating
Cards for the Masses,Farting loudly in church
Cards for the Masses,Fast food chain restaurant
Cards for the Masses,Flooring it
Cards for the Masses,Fresh cat pee
Cards for the Masses,Headless Horseman
Cards for the Masses,Herding cats
Cards for the Masses,Hoarders
Cards for the Masses,Hot bowl of grits
Cards for the Masses,Hot snot
Cards for the Masses,Invade Russia in the winter
Cards for the Masses,Inverted controls
Cards for the Masses,Ketchup water
Cards for the Masses,Lipstick
Cards for the Masses,Making it clear that Johnny is here
Cards for the Masses,Men's beach volleyball
Cards for the Masses,Mental illness
Cards for the Masses,Murphy's law
Cards for the Masses,Not fitting in
Cards for the Masses,Novelty mugs that nobody uses
Cards for the Masses,Parking like a jerk
Cards for the Masses,Pasteurized processed cheese
Cards for the Masses,Perform an autopsy
Cards for the Masses,Pick of the litter
Cards for the Masses,Pinkeye
Cards for the Masses,Prank calling
Cards for the Masses,Pregnant women and sweaty people
Cards for the Masses,Projectile fart
Cards for the Masses,Riding a tandem bicycle alone
Cards for the Masses,Robots with human faces
Cards for the Masses,Sarcasm so intense that it circles back to sincerity
Cards for the Masses,Shame and dishonor
Cards for the Masses,Shoe collectors
Cards for the Masses,Slap someone with a large trout
Cards for the Masses,Some stupid excuse
Cards for the Masses,Squirting hot sauce in your eye
Cards for the Masses,Stampede of "Black Friday" shoppers
Cards for the Masses,Stepping on a plastic building brick
Cards for the Masses,Stuff and things
Cards for the Masses,Taste dried spit
Cards for the Masses,That person that talks on the phone in the bathroom
Cards for the Masses,The contents of vomit
Cards for the Masses,The dreams of a child
Cards for the Masses,The element of surprise
Cards for the Masses,The founding fathers
Cards for the Masses,The instigator of a food fight
Cards for the Masses,The Nobel Peace Prize
Cards for the Masses,The only good card in my hand
Cards for the Masses,The point of no return
Cards for the Masses,The shy kid in the corner
Cards for the Masses,The things I do for love
Cards for the Masses,The world's worst human being
Cards for the Masses,Throwing out containers with rotten food in it
Cards for the Masses,Toddlers
Cards for the Masses,Tourists
Cards for the Masses,Two brothers and a donkey
Cards for the Masses,Ugly children
Cards for the Masses,Walking the dog
Cards for the Masses,Wash your dirty feet
Cards for the Masses,Watching your purchase get stuck inside of the vending machine
Cards for the Masses,What could have been
Cards for the Masses,Wireless technology
Cards for the Masses,Worst dad in America
Cards for the Masses,Your face
Cards for the Masses,Your mom
