Label,prompt
Cards With No Sexuality,Everyone’s favorite new third-party CAH expansion: _____ Against _____.
Cards With No Sexuality,Frito-Lay® just announced that the flavor of the mystery Doritos® was actually ______.
Cards With No Sexuality,I don’t understand why white privilege is such a hot topic. Blacks have privilege too. Ever heard of ______?
Cards With No Sexuality,I just got fired because I liked a Facebook page titled “_____” and my employer found out.
Cards With No Sexuality,I just tasted my wife's breast milk and it tasted like ____.
Cards With No Sexuality,I swear you could mistake __ for ___ if you didn't have your glasses on.
Cards With No Sexuality,Nick didn't hang out with Timmy. Timmy was into ____ while Nick enjoyed the finer things in life like ______.
Cards With No Sexuality,Silly Macklemore. He tried rhyming ____ with _____.
Cards With No Sexuality,The abortion was going as planned until the physician pulled out_____ instead.  
Cards With No Sexuality,There’s more concrete proof that____ exists than the Holocaust.
