Label,response
Cards With No Sexuality,A 100-pound teenager who thinks she's fat.
Cards With No Sexuality,A busty toddler.
Cards With No Sexuality,A concussed football player doing his best not to hit his wife.
Cards With No Sexuality,A crusty used Playboy.
Cards With No Sexuality,A heavy-set 14-year-old in yoga pants.
Cards With No Sexuality,A hickey right on the ball sack.
Cards With No Sexuality,A high-school dropout who knows he's a fucking idiot who'll never amount to anything.
Cards With No Sexuality,A lubed-up Wiffle Ball bat.
Cards With No Sexuality,A non-consensual boob touch that’s acknowledged and awkwardly apologized for.
Cards With No Sexuality,A priest that's been molested. (Ironically not the other way around for once.)
Cards With No Sexuality,A wet dream nightmare.
Cards With No Sexuality,An angry gay man.
Cards With No Sexuality,An industrial-grade fart.
Cards With No Sexuality,An overly sexualized cartoon character.
Cards With No Sexuality,Attempting to masturbate to ABC Family because you've already exhausted all the porn on the Internet.
Cards With No Sexuality,Averting your eyes from a naked toddler because you're afraid you'll like it.
Cards With No Sexuality,Being so addicted to Cards Against Humanity that you buy third-party expansions because you got bored with the eleven hundred cards the game already has.
Cards With No Sexuality,Bits of history that were never recorded and therefore no one will ever know. Like Abraham Lincoln's penis size.
Cards With No Sexuality,Black guys that are just asking to be shot by police.
Cards With No Sexuality,Contracting HIV just to spread it.
Cards With No Sexuality,Cutting a hole out of the middle of your Bible to hide your condoms.
Cards With No Sexuality,Deep spanks.
Cards With No Sexuality,Douching your penis for equality.
Cards With No Sexuality,Fingering your girlfriend under the dinner table while meeting her parents for the first time.
Cards With No Sexuality,Gauging your foreskin.
Cards With No Sexuality,Getting sexual with the hole at the tip of a gun.
Cards With No Sexuality,Getting so excited from the joy of seeing your child on their first day of school that you get an erection.
Cards With No Sexuality,Getting turned on by the mystery of drinking milk without checking the expiration date.
Cards With No Sexuality,Giving your son hand jobs because your biggest fear as a dad is raising a homophobe.
Cards With No Sexuality,Having your middle-school boyfriend stick his tongue in your bellybutton to see if it feels like sex.
Cards With No Sexuality,Hiding your cum because you hear your parents pulling in.
Cards With No Sexuality,ISIS sympathizing.
Cards With No Sexuality,Jacking off. Going to sleep. Waking up. Jacking off again.
Cards With No Sexuality,Just doing hands stuff because you’re waiting to turn 13 to have sex.
Cards With No Sexuality,Justin Bieber's naturally bald pubic area.
Cards With No Sexuality,Misshapen breasts.
Cards With No Sexuality,National Nude Hiking Day.
Cards With No Sexuality,Not being able to hear your porno because your parents are doing it too loud in the other room.
Cards With No Sexuality,Not deleting all your ex-girlfriend’s nudes in case you get back together... at least that's what you tell yourself.
Cards With No Sexuality,Nudes.
Cards With No Sexuality,Obese sex.
Cards With No Sexuality,Offensive 9/11 jokes.
Cards With No Sexuality,Performing gender reassignment surgeries with only YouTube as a guide.
Cards With No Sexuality,Performing sexual favors for the cashier because you forgot your coupons at home and they let you have the savings anyway.
Cards With No Sexuality,Purposely pooping a little during anal and then getting all embarrassed and acting like it was an accident.
Cards With No Sexuality,Purposely putting the empty milk gallon back into the fridge in hopes it'll finally push your suicidal roommate over the edge.
Cards With No Sexuality,Putting off your suicide because you can only think of 12 reasons.
Cards With No Sexuality,Saving a marriage with breast implants.
Cards With No Sexuality,Sharing a fetish with Hitler.
Cards With No Sexuality,Sleeping naked.
Cards With No Sexuality,Spanking front to back.
Cards With No Sexuality,Taking so long to poop that your ass falls asleep and starts to tingle.
Cards With No Sexuality,Tasting your wife's boob milk.
Cards With No Sexuality,Taylor Swift trying to remember which boyfriend took her virginity.
Cards With No Sexuality,That one ISIS member who was put out of a job by the Samsung Galaxy Note 3.
Cards With No Sexuality,That one white card that sucks and sits in your hand the whole game.
Cards With No Sexuality,That thing where closet gay guys act like they hate gays because they really hate themselves.
Cards With No Sexuality,The scientific theory that gayness is caused by being bitten by a radioactive gay guy.
Cards With No Sexuality,The sexualization of disciplinary spanking.
Cards With No Sexuality,The straight agenda.
Cards With No Sexuality,The sturdy belief that Bigfoot is more likely to exist than a straight man vaping.
Cards With No Sexuality,The trash can where the doctor collects foreskins after circumcising babies.
Cards With No Sexuality,Tinkerbell's Tic-Tac tampons.
Cards With No Sexuality,Unintentional sexual abstinence.
Cards With No Sexuality,Using revenge porn to teach your dog not to piss on the carpet.
Cards With No Sexuality,Using the 15% you saved by switching to Geico to buy crack.
Cards With No Sexuality,Washing and reselling tampons.
