Label,prompt
Carps & Angsty Manatee - Texas Edition,Don't worry about ______. This isn't my first rodeo.
Carps & Angsty Manatee - Texas Edition,How did Sam Houston fend off Mexican forces at the Battle of San Jacinto?
Carps & Angsty Manatee - Texas Edition,I decide to try ______ but it was nothing to write home about.
Carps & Angsty Manatee - Texas Edition,I'd rather be ______ in Texas than ______ in California.
Carps & Angsty Manatee - Texas Edition,Planned Parenthood is now using public funds to assist people suffering from ______.
Carps & Angsty Manatee - Texas Edition,Rumor has it that Jerry Jones is building a VIP-suite at Jerry World exclusively for ______.
Carps & Angsty Manatee - Texas Edition,Texas' sex-ed curriculum promotes ______ as the only 100% effective form of birth control.
Carps & Angsty Manatee - Texas Edition,The Texas Board of Education recently declared that ______ caused the loss at the Battle of the Alamo.
Carps & Angsty Manatee - Texas Edition,What does Elon Musk plan to send to the International Space Station from The Valley?
Carps & Angsty Manatee - Texas Edition,What got me kicked out of the Alamo Drafthouse?
Carps & Angsty Manatee - Texas Edition,What is better covered in salsa?
Carps & Angsty Manatee - Texas Edition,What makes Joel Osteen smile the most?
Carps & Angsty Manatee - Texas Edition,What makes me happier than a hog in shit?
Carps & Angsty Manatee - Texas Edition,What was the highlight of my romantic hill country getaway?
Carps & Angsty Manatee - Texas Edition,What will put some hair on your chest?
