Label,response
Carps & Angsty Manatee - Texas Edition,A 30 thousand dollar millionaire.
Carps & Angsty Manatee - Texas Edition,A bingo hall brawl.
Carps & Angsty Manatee - Texas Edition,A boomtown whore.
Carps & Angsty Manatee - Texas Edition,A cattle prod to the cooter.
Carps & Angsty Manatee - Texas Edition,A Chilifest fart.
Carps & Angsty Manatee - Texas Edition,A convincing conspiracy theory.
Carps & Angsty Manatee - Texas Edition,A cum-stained homecoming mum.
Carps & Angsty Manatee - Texas Edition,A fat cow.
Carps & Angsty Manatee - Texas Edition,A flamboyant Big Tex.
Carps & Angsty Manatee - Texas Edition,A Fleshlight shaped like the face of George W. Bush.
Carps & Angsty Manatee - Texas Edition,A gravy train with biscuit wheels.
Carps & Angsty Manatee - Texas Edition,A kolache filled with Czech jizz.
Carps & Angsty Manatee - Texas Edition,A loaded shotgun.
Carps & Angsty Manatee - Texas Edition,A piñata filled with angry scorpions.
Carps & Angsty Manatee - Texas Edition,A porcupine at the nudist colony.
Carps & Angsty Manatee - Texas Edition,A Port Aransas dope dealer out on bail.
Carps & Angsty Manatee - Texas Edition,A real sonofabitch.
Carps & Angsty Manatee - Texas Edition,A sad Jew at the Holocaust Museum.
Carps & Angsty Manatee - Texas Edition,A sexy tractor.  Vast fields of literally nothing.
Carps & Angsty Manatee - Texas Edition,A shot of whiskey and a Lone Star beer.
Carps & Angsty Manatee - Texas Edition,A Texan's gravy.
Carps & Angsty Manatee - Texas Edition,A twelve pack and a prayer.
Carps & Angsty Manatee - Texas Edition,A vagina with big Dallas hair.
Carps & Angsty Manatee - Texas Edition,A war on all religions except Christianity.
Carps & Angsty Manatee - Texas Edition,A yellow jacket in the outhouse.
Carps & Angsty Manatee - Texas Edition,Accidental Mexican pointy boot sodomy.
Carps & Angsty Manatee - Texas Edition,Aggressive gerrymandering.
Carps & Angsty Manatee - Texas Edition,All my exes.
Carps & Angsty Manatee - Texas Edition,Ammosexuals.
Carps & Angsty Manatee - Texas Edition,An armadillo with a horse cock.
