Label,prompt
Cats Abiding Horribly: Episode I - The Dirty Goblin,A Hollywood remake of 2 girls 1 cup should star ______ as the cup.
Cats Abiding Horribly: Episode I - The Dirty Goblin,A Hollywood remake of 2 Girls 1 Cup should star ______ as the cup.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Baby got ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Colleges should really start offering classes in ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Don't get me wrong I think what Hitler did and stood for is horrible but you have to admit he was was spot on about ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Girls just wanna have ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Google recently changed its corporate slogan from "Don't be Evil" to ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Google recently changed its corporate slogan from "Don't Be Evil" to ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Growing up I didn't have many friends. Kids always teased me about my fascination with ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Growing up I didn't have many friends. Kids always teased me for my fascination with ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Hallelujah it's raining ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I didn't want to tell it to their faces but their baby reminds me of ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I expected it would suck but the opposite happened. "______: The Movie" is now officially my favorite movie ever.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I hate it when I take a girl home and find out she has ______ where a vagina should be.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I hate it when I take a girl home and find out she has ______ where should be a vagina.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I knew it meant trouble when I heard a voice scream "______!" mid flight. And unfortunately I was right.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I knew it meant trouble when I heard a voice scream "______!" mid-flight. And unfortunately I was right.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I love the smell of ______ in the morning.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I really miss the good old days when men were men and ______ could not vote.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I'd rather stick my dick in ______ than ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I'd rather stick my dick in ______ then ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,I'm afraid the only way to exorcise this demon is by ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,In a riveting speech Ghandi convinced his followers of the virtues of ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,In the next Marvel movie we will witness ______ take on ______ for world domination.
Cats Abiding Horribly: Episode I - The Dirty Goblin,So you're telling me we can land a man on the moon but ______ is out of the question?
Cats Abiding Horribly: Episode I - The Dirty Goblin,Suzy if you don't eat your food and keep misbehaving ______ will come and get you.
Cats Abiding Horribly: Episode I - The Dirty Goblin,The only thing worse than ______ is ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,The only thing worse then ______ is ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,There is abundant scientific evidence that for some people vaccination might lead to ______ later in life.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Tonight on the "No Spin Zone!" Bill O'Riley will be debating ______ on the topic of ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,Tonight on the No Spin Zone! Bill O'Reilly will be debating ______ on the topic of ______.
Cats Abiding Horribly: Episode I - The Dirty Goblin,What caused those smelly stains in my underwear?
Cats Abiding Horribly: Episode I - The Dirty Goblin,What's holding you back from achieving your dreams?
Cats Abiding Horribly: Episode I - The Dirty Goblin,What's the absolute last thing you want to catch your Dad doing?
Cats Abiding Horribly: Episode I - The Dirty Goblin,When she was little my sister could not pronounce my name correctly so she called me ______ instead. It has stuck ever since.
Cats Abiding Horribly: Episode I - The Dirty Goblin,You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! Everybody gets ______!
Cats Abiding Horribly: Episode I - The Dirty Goblin,You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! You get ______! Everybody gets ______!!!
