Label,prompt
Cats Abiding Horribly: Episode II - A New Low,Anyone else surprised the Nobel Prize for ______ went to ______ this year?
Cats Abiding Horribly: Episode II - A New Low,FBI just released a list of the biggest national security threats: 1. ISIS 2. Mexican drug cartels. 3. ______.
Cats Abiding Horribly: Episode II - A New Low,I hate all these silly conspiracy theories about JFK. Every sane person knows what really killed him was ______.
Cats Abiding Horribly: Episode II - A New Low,I think I'll be treating kids to ______ instead of candy this Halloween.
Cats Abiding Horribly: Episode II - A New Low,Matt Damon and Ben Affleck became best friends right after discovering their mutual love for ______.
Cats Abiding Horribly: Episode II - A New Low,Mom grounded me for three weeks after she found out I had made out with ______ behind the bleachers.
Cats Abiding Horribly: Episode II - A New Low,My favorite MacGyver episode is where he escaped ______ using only ______.
Cats Abiding Horribly: Episode II - A New Low,The only thing we have to fear is ______.
Cats Abiding Horribly: Episode II - A New Low,Today I renounce ______ and accept Jesus as ______.
Cats Abiding Horribly: Episode II - A New Low,Viagara? No thank you. I simply staple a picture of ______ to my wife's forehead. That's all I need to go all night.
Cats Abiding Horribly: Episode II - A New Low,What is the world coming to when you can win an Oscar® just because you're ______?
