Label,prompt
Charlie Foxtrot,How do commissioned officers view NCOs?
Charlie Foxtrot,I enjoy _________ in the barrack's restrooms.
Charlie Foxtrot,I love _________ the most at Fort Bragg.
Charlie Foxtrot,I spent my day off in Iraq _________.
Charlie Foxtrot,I'll trade you the Skittles in my MRE in exchange for _________.
Charlie Foxtrot,It's hard to stand at parade rest when you're _________.
Charlie Foxtrot,It's simple: we kill: _________.
Charlie Foxtrot,Mr. President the situation is worse than we thought. We're going to DEFCON _________.
Charlie Foxtrot,Nobody puts _________ in the corner.
Charlie Foxtrot,Thank God for alcohol and _________.
Charlie Foxtrot,That's the most fun I've ever had without _________.
Charlie Foxtrot,The Army says _________ is not allowed but there's no rule against how fast you can wash your penis.
Charlie Foxtrot,The best definition of the USAF is _________.
Charlie Foxtrot,The best recruitment method to date is _________.
Charlie Foxtrot,The best thing about being a female soldier is _________.
Charlie Foxtrot,The biggest lie my recruiter told me was __________.
Charlie Foxtrot,The ones who hate war the most are the ones who _________.
Charlie Foxtrot,The Sergeant Major of the Marine Corps caught me _________ in my barracks room.
Charlie Foxtrot,The worst thing about the US military is __________.
Charlie Foxtrot,USAF has changed their motto to read: _________.
Charlie Foxtrot,Waterboarding is _________.
Charlie Foxtrot,What best describes the feeling of getting your DD214?
Charlie Foxtrot,What did I try to sneak into Fort Leavenworth?
Charlie Foxtrot,What do warrant officers actually do?
Charlie Foxtrot,What does it mean to be an NCO?
Charlie Foxtrot,What funny lies did you tell Afghans when you were deployed?
Charlie Foxtrot,What is the greatest thing you have heard a drill instructor say?
Charlie Foxtrot,What was found in Iraq after the latest UN visit?
Charlie Foxtrot,What was the best advice you got in basic training?
Charlie Foxtrot,What was the dumbest thing you bought with your signing bonus?
Charlie Foxtrot,What would our forefathers think of today's military?
Charlie Foxtrot,What's going on with your female servicemembers?
Charlie Foxtrot,Whoever said "time cures all wounds" has clearly never experienced _________.
Charlie Foxtrot,Why did my spouse divorce me?
Charlie Foxtrot,Why did the Military Police pull me over?
Charlie Foxtrot,Why is my sex life non-existent.
Charlie Foxtrot,Why is the CO's wife such a cunt?
Charlie Foxtrot,Why was a SHARP complaint filed on me?
Charlie Foxtrot,Why was your commander court-martialed?
Charlie Foxtrot,Why would I want _________ stuffed down my throat?
Charlie Foxtrot,WWCND: What would Chuck Norris do?
Charlie Foxtrot,You might be a veteran if you consider _________ a good time.
