Label,response
Charlie Foxtrot,A barracks bunny.
Charlie Foxtrot,A bunker fart that is way louder than expected.
Charlie Foxtrot,A dangerous mistake to make.
Charlie Foxtrot,A Dependapotamus.
Charlie Foxtrot,A dirty fucking Jody.
Charlie Foxtrot,A dishonorably discharged Army Reservists.
Charlie Foxtrot,A Drill Sergeant without a combat patch.
Charlie Foxtrot,A fart so rancid it could clear a mess hall.
Charlie Foxtrot,A fat chick in the infantry barracks.
Charlie Foxtrot,A freedom boner.
Charlie Foxtrot,A gang of E4s.
Charlie Foxtrot,A hefty spoonful of man the fuck up!
Charlie Foxtrot,A massive muffin top.
Charlie Foxtrot,A needy girlfriend who always asks if there is a military discount.
Charlie Foxtrot,A Platoon Sergeant claiming 38 soldiers on his tax return.
Charlie Foxtrot,A PVT tangled in C-Wire.
Charlie Foxtrot,A return without honor.
Charlie Foxtrot,A shit-ton of booze from the Class VI store.
Charlie Foxtrot,A squad of Marines breaking down the front door.
Charlie Foxtrot,A VA hospital.
Charlie Foxtrot,A vengeful but loving God.
Charlie Foxtrot,A verbally abusive Platoon Sergeant.
Charlie Foxtrot,Abusing your rank privileges.
Charlie Foxtrot,Accidentally punching yourself in the nuts.
Charlie Foxtrot,Accidentally sending a dick pic to your SGT.
Charlie Foxtrot,Accidentally taking a Valium before heading into combat.
Charlie Foxtrot,Amputee porn.
Charlie Foxtrot,An arms dealer with no arms.
Charlie Foxtrot,An E4 using a hoverboard while on cleaning detail.
Charlie Foxtrot,An erection lasting longer than 12 hours.
Charlie Foxtrot,An iPod filled with porn.
Charlie Foxtrot,Army wives.
Charlie Foxtrot,Barracks fist fights.
Charlie Foxtrot,Battle-hardened grannies.
Charlie Foxtrot,Beating the living shit out of protesting flag burners.
Charlie Foxtrot,Being an E4 for 8 years.
Charlie Foxtrot,Being back-to-back World War Champions!
Charlie Foxtrot,Being better than every other nation in the fucking world.
Charlie Foxtrot,Being deployed for so long the sheep start looking attractive.
Charlie Foxtrot,Being on hold with the VA office for 3 hours.
Charlie Foxtrot,Being operator as fuck!
Charlie Foxtrot,Blacking out and causing some serious fucking damage.
Charlie Foxtrot,Blowing shit up for the laugh.
Charlie Foxtrot,Blowing your entire paycheck on electronics from the PX.
Charlie Foxtrot,Brexit.
Charlie Foxtrot,Brian Williams enlisting in the service.
Charlie Foxtrot,Bringing a penis to a sword fight.
Charlie Foxtrot,Calling a Senior NCO "Sir."
Charlie Foxtrot,Camel spiders.
Charlie Foxtrot,Carl of Duty.
Charlie Foxtrot,Changing your beneficiary so your spouse won't get shit.
Charlie Foxtrot,Chemical castration.
Charlie Foxtrot,Civilians dead set on bringing down ISIS.
Charlie Foxtrot,Cleaning the latrine with your toothbrush.
Charlie Foxtrot,Cleaning your kitchen with a gun.
Charlie Foxtrot,Collecting exhaust samples.
Charlie Foxtrot,Communist bastards.
Charlie Foxtrot,Conduct unbecoming of an officer.
Charlie Foxtrot,Cranking it in the portashitter.
Charlie Foxtrot,Cruising in your Black Cadillacs.
Charlie Foxtrot,Daisy-pulling hippies.
Charlie Foxtrot,Dancing in the middle of a circle of Marines.
Charlie Foxtrot,Dating someone within 30 miles of the base.
Charlie Foxtrot,Deploying to Bum Fuck Egypt.
Charlie Foxtrot,Driving a tank through a busy playground.
Charlie Foxtrot,Everyone having the same shitty haircut.
Charlie Foxtrot,Faking an injury to get out of PT.
Charlie Foxtrot,Farting non-stop.
Charlie Foxtrot,Fat shaming obese soldiers.
Charlie Foxtrot,Fobbits.
Charlie Foxtrot,Foreign civilians who don't speak English.
Charlie Foxtrot,Forever regretting the day you told your Platoon Sergeant you didn't have anything to do.
Charlie Foxtrot,Forgetting to rig the parachute on a M1151 and watching it crash into flames from the sky.
Charlie Foxtrot,Freshly commissioned Butterbars who think they are hot shit.
Charlie Foxtrot,Fucking up so bad you had to mop up the rain.
Charlie Foxtrot,Getting catfished through Tinder.
Charlie Foxtrot,Getting excited to line up nut to butt.
Charlie Foxtrot,Getting off inches above a pile of collective shit from over 100 men.
Charlie Foxtrot,Getting really excited for a zombie apocalypse.
Charlie Foxtrot,Giving out Trojan Magnums to Afghan locals and telling them they are the smallest size in America.
Charlie Foxtrot,Giving war a chance.
Charlie Foxtrot,Goat Fuckers.
Charlie Foxtrot,God bless America.
Charlie Foxtrot,Going "Full Retard."
Charlie Foxtrot,Going apeshit waiting to begin your leave block.
Charlie Foxtrot,Going into maximum overdrive.
Charlie Foxtrot,Going to classes that teach you rape is bad.
Charlie Foxtrot,Growing a mustache to fit in.
Charlie Foxtrot,Grunt Life.
Charlie Foxtrot,Hand lotion. Lots and lots of hand lotion.
Charlie Foxtrot,Hand-to-gland combat.
Charlie Foxtrot,Hanging out with Saddam.
Charlie Foxtrot,Having an orgy in a Porta-Potty during a very hot summer day on Iraqi soil.
Charlie Foxtrot,Hemorrhoids the size of clementines.
Charlie Foxtrot,Hiding in a dumpster to get out of morning PT.
Charlie Foxtrot,Hitler's lost art school acceptance letter.
Charlie Foxtrot,Hot all consuming fire.
Charlie Foxtrot,Hours of mindless boredom combined with a room full of testosterone.
Charlie Foxtrot,Innocent pure love.
Charlie Foxtrot,JodyMingle.com
Charlie Foxtrot,Kilroy. Mother Fucking Kilroy.
Charlie Foxtrot,Learning to cope with thoughts of death and uncertainty.
Charlie Foxtrot,Liberals.
Charlie Foxtrot,Making fun of the Air Force.
Charlie Foxtrot,Masturbating while on duty.
Charlie Foxtrot,Mexican food so authentic that Trump would build a wall around it.
