Label,response
Clams Attempt Harmonica, Volume 1,A 40 year old scotch and a 10 year old girl
Clams Attempt Harmonica, Volume 1,A case of the collywobbles
Clams Attempt Harmonica, Volume 1,A group of worthless minorities
Clams Attempt Harmonica, Volume 1,A handful of Bill Cosby's quaaludes
Clams Attempt Harmonica, Volume 1,A live-action remake of Shrek 2
Clams Attempt Harmonica, Volume 1,A magician's assistant
Clams Attempt Harmonica, Volume 1,A parody porn of Steel Magnolias
Clams Attempt Harmonica, Volume 1,A perfect pulled pork poutine
Clams Attempt Harmonica, Volume 1,A pretty standard giraffe
Clams Attempt Harmonica, Volume 1,A prostate massage from Kathy Bates
Clams Attempt Harmonica, Volume 1,A sharp surprise
Clams Attempt Harmonica, Volume 1,A spontaneous 'Careless Whisper' saxophone solo
Clams Attempt Harmonica, Volume 1,A tiny monkey wearing a fez
Clams Attempt Harmonica, Volume 1,A touch of the 'tism
Clams Attempt Harmonica, Volume 1,A wire coat hanger
Clams Attempt Harmonica, Volume 1,Alone time with Kevin Spacey
Clams Attempt Harmonica, Volume 1,An all female version of Saving Private Ryan tentatively titled Saving Sergeant Rhianna
Clams Attempt Harmonica, Volume 1,An extremely impressive wet fart
Clams Attempt Harmonica, Volume 1,An unvaccinated child
Clams Attempt Harmonica, Volume 1,Baking soda
Clams Attempt Harmonica, Volume 1,Beating the shit out of the next customer who says "Doesn't scan? Must be free!"
Clams Attempt Harmonica, Volume 1,BIBLEMAN!
Clams Attempt Harmonica, Volume 1,Black Jesus
Clams Attempt Harmonica, Volume 1,Blowing a cop to get out of a speeding ticket
Clams Attempt Harmonica, Volume 1,Buying an inbred Pug from a breeder just to watch it slowly suffocate to death over the next decade.
Clams Attempt Harmonica, Volume 1,Chuck Norris' blatant homophobia
Clams Attempt Harmonica, Volume 1,Clams Attempt Harmonica
Clams Attempt Harmonica, Volume 1,Creed Bratton
Clams Attempt Harmonica, Volume 1,Currently pregnant with Eddie Murphy's 58th child
Clams Attempt Harmonica, Volume 1,Des Moines
Clams Attempt Harmonica, Volume 1,Don Cherry
Clams Attempt Harmonica, Volume 1,Dope as fuck!
Clams Attempt Harmonica, Volume 1,Early onset retardation
Clams Attempt Harmonica, Volume 1,Eeyore's inevitable suicide
Clams Attempt Harmonica, Volume 1,Egg
Clams Attempt Harmonica, Volume 1,Gary Busey
Clams Attempt Harmonica, Volume 1,Generic Racism
Clams Attempt Harmonica, Volume 1,Giving your bud a brojob to cheer him up after his goldfish died
Clams Attempt Harmonica, Volume 1,Gluten
Clams Attempt Harmonica, Volume 1,Grool
Clams Attempt Harmonica, Volume 1,Handing out ecstasy in the NICU
Clams Attempt Harmonica, Volume 1,Homeschooling your kids so the Algebra Devil can't get them
Clams Attempt Harmonica, Volume 1,Lint
Clams Attempt Harmonica, Volume 1,Lube
Clams Attempt Harmonica, Volume 1,Malarkey
Clams Attempt Harmonica, Volume 1,Mediocre pizza
Clams Attempt Harmonica, Volume 1,Moby's dick
Clams Attempt Harmonica, Volume 1,My asshole after a night with Sean Evans
Clams Attempt Harmonica, Volume 1,Naked pictures of Bea Arthur and a football helmet filled with cottage cheese
Clams Attempt Harmonica, Volume 1,One bottle of good wine and 3 bottles of blended garbage
Clams Attempt Harmonica, Volume 1,One rude motherfucker
Clams Attempt Harmonica, Volume 1,Randy. FUCKING. Newman
Clams Attempt Harmonica, Volume 1,Rapist Brock Turner
Clams Attempt Harmonica, Volume 1,Recognizing your cousin on PornHub
Clams Attempt Harmonica, Volume 1,Running over your wife in the driveway
Clams Attempt Harmonica, Volume 1,Spoons
Clams Attempt Harmonica, Volume 1,Sticking a finger up your ass and realizing what you've been missing all your life
Clams Attempt Harmonica, Volume 1,Sticking your dick in the gorilla exhibit
Clams Attempt Harmonica, Volume 1,Tequila shits
Clams Attempt Harmonica, Volume 1,The guy at the table who doesn't get any of the jokes
Clams Attempt Harmonica, Volume 1,The Legend of Curly's Gold
Clams Attempt Harmonica, Volume 1,The Scottish
Clams Attempt Harmonica, Volume 1,The smell of Bronycon
Clams Attempt Harmonica, Volume 1,Trusting a fart when you have the flu
Clams Attempt Harmonica, Volume 1,Turkey calls
Clams Attempt Harmonica, Volume 1,Using the bible for rolling papers
Clams Attempt Harmonica, Volume 1,Willingly becoming an orphan
Clams Attempt Harmonica, Volume 1,Winning a gift certificate for the local brothel by cashing in 18 years worth of tickets at the arcade.
Clams Attempt Harmonica, Volume 1,Your average BMW driver
Clams Attempt Harmonica, Volume 1,Your mom
