Label,response
Clones Attack Hilarity #1,A 10 pount jar of ointment.
Clones Attack Hilarity #1,A boner in tight pants.
Clones Attack Hilarity #1,A brother from another mother.
Clones Attack Hilarity #1,A butter face.
Clones Attack Hilarity #1,A creamy discharge.
Clones Attack Hilarity #1,A dump on the floor.
Clones Attack Hilarity #1,A fat kid going to town on an entire birthday cake.
Clones Attack Hilarity #1,A frozen banana.
Clones Attack Hilarity #1,A full face transplant.
Clones Attack Hilarity #1,A furry convention.
Clones Attack Hilarity #1,A gluten free nightmare.
Clones Attack Hilarity #1,A hobo punching a pigeon out of midair.
Clones Attack Hilarity #1,A hot chocolate surprise.
Clones Attack Hilarity #1,A human pinata.
Clones Attack Hilarity #1,A juice cleanse gone horribly wrong.
Clones Attack Hilarity #1,A loose butthole.
Clones Attack Hilarity #1,A nun with a drinking problem.
Clones Attack Hilarity #1,A paradox in which future you travels back in time to tell present-day you that no one gives a shit about paradoxes.
Clones Attack Hilarity #1,A plate full of SPAM.
Clones Attack Hilarity #1,A pop culture reference no one understands.
Clones Attack Hilarity #1,A racist-themed costume party.
Clones Attack Hilarity #1,A robit who joins together with other robots to form one mega robot.
Clones Attack Hilarity #1,A self-driving car with an attitude problem.
Clones Attack Hilarity #1,A shitty FICO score.
Clones Attack Hilarity #1,A shotgun blast to the dick.
Clones Attack Hilarity #1,A silent orgasm.
Clones Attack Hilarity #1,A sopping wet vagine.
Clones Attack Hilarity #1,A stripper jumping out of a cake.
Clones Attack Hilarity #1,A swanky Motel 6.
Clones Attack Hilarity #1,A Taser to the face.
Clones Attack Hilarity #1,A tongue in the butt.
Clones Attack Hilarity #1,A used diaper filled with Indian food.
Clones Attack Hilarity #1,A vibrating toothbrush.
Clones Attack Hilarity #1,A warehouse full of blow up sex dolls.
Clones Attack Hilarity #1,A warm watermelon with a hole cut in it.
Clones Attack Hilarity #1,A whale's vagina.
Clones Attack Hilarity #1,Am man crush.
Clones Attack Hilarity #1,Amazon drones.
Clones Attack Hilarity #1,An Alabama hot pocket.
Clones Attack Hilarity #1,An insanity plea.
Clones Attack Hilarity #1,An unfathomable fear of midgets.
Clones Attack Hilarity #1,Babies born addicted to prescription pain meds.
Clones Attack Hilarity #1,Being balls to the wall horny.
Clones Attack Hilarity #1,Benjamin Button disease.
Clones Attack Hilarity #1,Born again virgins.
Clones Attack Hilarity #1,Breaking up through text.
Clones Attack Hilarity #1,Bringing sexy back.
Clones Attack Hilarity #1,Bruce Willis being dead the whole movie.
Clones Attack Hilarity #1,Buttsex.
Clones Attack Hilarity #1,Caitlyn Jenner.
Clones Attack Hilarity #1,Cheetos fingers.
Clones Attack Hilarity #1,Clown makeup that won't come off.
Clones Attack Hilarity #1,Clowns that are afraid of children.
Clones Attack Hilarity #1,Convincing Asians you're a celebrity.
Clones Attack Hilarity #1,Couples who color coordinate outfits.
Clones Attack Hilarity #1,DJ Finger Blast.
Clones Attack Hilarity #1,Fat shaming that ugly person you see in the mirror each day.
Clones Attack Hilarity #1,Feces.
Clones Attack Hilarity #1,Female circumcision.
Clones Attack Hilarity #1,Fetish porn so obscure you can't even find it online.
Clones Attack Hilarity #1,Flo from Progressive.
Clones Attack Hilarity #1,Food porn.
Clones Attack Hilarity #1,Gender neutral bathrooms.
Clones Attack Hilarity #1,Getting caught up in the moment and forgetting to pull out.
Clones Attack Hilarity #1,Getting turned on for all the wrong reasons.
Clones Attack Hilarity #1,Going number two when you meant to go number one.
Clones Attack Hilarity #1,Going to pound town.
Clones Attack Hilarity #1,Grandma's oit briwbues.
Clones Attack Hilarity #1,Hand stuff.
Clones Attack Hilarity #1,Having another kid make up for the crushing disappointment of the first one.
Clones Attack Hilarity #1,Having multiple personalities and none of them are any fun.
Clones Attack Hilarity #1,Imaginary friends.
Clones Attack Hilarity #1,Jell-O shots without the Jell-O.
Clones Attack Hilarity #1,John Stamos's ageless good looks.
Clones Attack Hilarity #1,Luring children into a van with promises of Candy.
Clones Attack Hilarity #1,Masturbating like a teenager with a fast internet connection.
Clones Attack Hilarity #1,Mexican friends.
Clones Attack Hilarity #1,Mutherfucking Deadpool!
Clones Attack Hilarity #1,My preciousssssss!
Clones Attack Hilarity #1,Not knowing if you have a small penis or just really gigantic balls.
Clones Attack Hilarity #1,Nothing but side boob.
Clones Attack Hilarity #1,Old age creeping up on you until your inevitable death.
Clones Attack Hilarity #1,Old Playboy magazines with the pages stuck together.
Clones Attack Hilarity #1,Paying someone to pee on you.
Clones Attack Hilarity #1,Pokemon Go.
Clones Attack Hilarity #1,Poop stains.  Nothing but poop stains everywhere.
Clones Attack Hilarity #1,Pretentious food trucks.
Clones Attack Hilarity #1,Public hair growing out of control.
Clones Attack Hilarity #1,Racist Emojis.
Clones Attack Hilarity #1,Ribbed for her pleasure.
Clones Attack Hilarity #1,Romantic acronyms like DTF and ATM.
Clones Attack Hilarity #1,Semen residue.
Clones Attack Hilarity #1,Shaquille O'Neal throwing barrels at Super Mario.
Clones Attack Hilarity #1,Someone who literally got stuck inside the Internet.
Clones Attack Hilarity #1,Tea bagging.
Clones Attack Hilarity #1,THe largest butt plug you've ever seen.
Clones Attack Hilarity #1,Those Goddamn 'Keep Calm and Carry On' t-shirts.
Clones Attack Hilarity #1,Those jackasses pretending to hold up a Leaning Tower of Pisa in their vacation photo.
Clones Attack Hilarity #1,Tramp stamps.
Clones Attack Hilarity #1,Truffle butter.
Clones Attack Hilarity #1,Untreatable STDs.
Clones Attack Hilarity #1,Vaginal rejuvenation.
Clones Attack Hilarity #1,Waking up without your dignity.
Clones Attack Hilarity #1,Walking in on your parents having sex and not hating it.
Clones Attack Hilarity #1,Who gives a shit?
Clones Attack Hilarity #1,Your mom's new boyfriend.
Clones Attack Hilarity #1,Zero Facebook friends.
