Label,prompt
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,After "the incident." we changed out safeword from ______ to ______.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Four out of five dentists can't be wrong! You should try ______.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,I didn't think I'd be that into pegging… until she tried ______.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Make America great at ______ again.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Scientist now believe that ______ caused the dildo to become self-aware.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,The only thing better than a peanut butter and jelly sandwich is a ______ and ______ sandwich.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,The power of ______ compels you!
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,The terrorists won when we had to give up ______.
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Three cheers for ______!
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,What caused the lap dance to take an unexpected turn?
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,What does my German pen pal write to me about?
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,What is Dick Cheney's alibi for the night Justice Scalia died?
Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,You haven't really been high until you've been ______ high.
