Label,response
Cols Against Kentucky 2,A mouthful of cicadas.
Cols Against Kentucky 2,A two-liter of dip spit.
Cols Against Kentucky 2,All the gold in Fort Knox.
Cols Against Kentucky 2,An electric car with a "Friends of Coal" license plate.
Cols Against Kentucky 2,An entire horse.
Cols Against Kentucky 2,Ashley Judd's presence.
Cols Against Kentucky 2,Blessing everyone's heart.
Cols Against Kentucky 2,Calling all soda "coke."
Cols Against Kentucky 2,Daniel Boone's foreskin cap.
Cols Against Kentucky 2,Fucking Matt Bevin.
Cols Against Kentucky 2,Getting elbow dropped from the top rope by "Macho Man" Randy Savage—OOOH YEAH!
Cols Against Kentucky 2,Having sex in Mammoth Cave in order to join the "mile-low club."
Cols Against Kentucky 2,How my Boss Hogg looks in these Daisy Dukes.
Cols Against Kentucky 2,Jennifer Lawrence's endearing qualities.
Cols Against Kentucky 2,KY Jelly.
Cols Against Kentucky 2,Lightning bug-flavored moonshine.
Cols Against Kentucky 2,Melty Dippin' Dots.
Cols Against Kentucky 2,Pappy Van Winkle and Coke.
Cols Against Kentucky 2,Pawpaw flavored vape juice.
Cols Against Kentucky 2,Shootin' shit.
Cols Against Kentucky 2,Shoveling coal.
Cols Against Kentucky 2,Some kind of bullshit vegan burgoo.
Cols Against Kentucky 2,Some really sticky Kentucky Durban.
