Label,response
Cols Despite Kentucky,A fan that is very large.
Cols Despite Kentucky,A four-times married Rowan County Clerk.
Cols Despite Kentucky,A horse riding a cop.
Cols Despite Kentucky,A puppy that I stole from the Lexington Humane Society.
Cols Despite Kentucky,A really nice mural that we had there once.
Cols Despite Kentucky,A shot of bourbon and an ice-cold bottle of Ale-8 One.
Cols Despite Kentucky,A Willy Wonka style tour through the JIF plant.
Cols Despite Kentucky,All y'all.
Cols Despite Kentucky,Burning couches and getting rowdy.
Cols Despite Kentucky,Dan Wu's kimchi meatloaf.
Cols Despite Kentucky,Eating a hot brown but still being kinda hungry.
Cols Despite Kentucky,Literally bleeding blue due to methemoglobinemia.
Cols Despite Kentucky,Mitch McConnell racing an overconfident hare.
Cols Despite Kentucky,Muhammad Ali at the age that he is right now.
Cols Despite Kentucky,My uncle that works at Lexmark.
Cols Despite Kentucky,The confusing sounds of WRFL.
