Label,response
Crabs Adjust Humidity: Volume 5,A bag of doorknobs.
Crabs Adjust Humidity: Volume 5,A bag of pickled socks.
Crabs Adjust Humidity: Volume 5,A bucket of dicks.
Crabs Adjust Humidity: Volume 5,A few sharp tugs.
Crabs Adjust Humidity: Volume 5,A girl-child.
Crabs Adjust Humidity: Volume 5,A lemon-stealing whore.
Crabs Adjust Humidity: Volume 5,A meat tornado.
Crabs Adjust Humidity: Volume 5,A miscarriage.
Crabs Adjust Humidity: Volume 5,A nice boy who never did anyone any harm.
Crabs Adjust Humidity: Volume 5,A pattern of defensive wounds.
Crabs Adjust Humidity: Volume 5,A racist toddler.
Crabs Adjust Humidity: Volume 5,A shallow grave.
Crabs Adjust Humidity: Volume 5,A soggy biscuit.
Crabs Adjust Humidity: Volume 5,A special snowflake.
Crabs Adjust Humidity: Volume 5,A sternly-worded letter.
Crabs Adjust Humidity: Volume 5,A whole baby.
Crabs Adjust Humidity: Volume 5,ALLAH HU AKBAR!
Crabs Adjust Humidity: Volume 5,Alzheimer's.
Crabs Adjust Humidity: Volume 5,An Amber Alert.
Crabs Adjust Humidity: Volume 5,An asshole that tastes like vanilla ice cream.
Crabs Adjust Humidity: Volume 5,Area 69.
Crabs Adjust Humidity: Volume 5,Battle-tested period panties.
Crabs Adjust Humidity: Volume 5,Being a size queen.
Crabs Adjust Humidity: Volume 5,Being catfished.
Crabs Adjust Humidity: Volume 5,Being raped to sleep by dickwolves.
Crabs Adjust Humidity: Volume 5,Bill Cosby's chocolate pudding pop.
Crabs Adjust Humidity: Volume 5,Booklearnin'.
Crabs Adjust Humidity: Volume 5,Brojobs.
Crabs Adjust Humidity: Volume 5,Crotchfruit.
Crabs Adjust Humidity: Volume 5,Diamond-studded tampons.
Crabs Adjust Humidity: Volume 5,Dick nipples.
Crabs Adjust Humidity: Volume 5,Dickbutt. [A chibi drawing of Dickbutt]
Crabs Adjust Humidity: Volume 5,Doggy-style with a real doggy.
Crabs Adjust Humidity: Volume 5,Doing the waffle stomp.
Crabs Adjust Humidity: Volume 5,Freedom.
Crabs Adjust Humidity: Volume 5,Getting White Girl Wasted.
Crabs Adjust Humidity: Volume 5,Going potty.
Crabs Adjust Humidity: Volume 5,Hillary Clinton's triumphant patriotic cock.
Crabs Adjust Humidity: Volume 5,Hot singles in your area.
Crabs Adjust Humidity: Volume 5,Iggy Azalea.
Crabs Adjust Humidity: Volume 5,Irony.
Crabs Adjust Humidity: Volume 5,It.
Crabs Adjust Humidity: Volume 5,Kinky fuckery.
Crabs Adjust Humidity: Volume 5,Me Lucky Charms®!
Crabs Adjust Humidity: Volume 5,MORTAL KOMBAT™.
Crabs Adjust Humidity: Volume 5,Nutella®.
Crabs Adjust Humidity: Volume 5,One more fucking word.
Crabs Adjust Humidity: Volume 5,Only traveling by rickshaw.
Crabs Adjust Humidity: Volume 5,Poking it with a stick.
Crabs Adjust Humidity: Volume 5,Quietly ovulating.
Crabs Adjust Humidity: Volume 5,Sharia law.
Crabs Adjust Humidity: Volume 5,Shenanigans.
Crabs Adjust Humidity: Volume 5,Shit-filled raviolis.
Crabs Adjust Humidity: Volume 5,Skanky Smurf.
Crabs Adjust Humidity: Volume 5,Spelunking.
Crabs Adjust Humidity: Volume 5,Stank dick.
Crabs Adjust Humidity: Volume 5,Sugar and spice and everything nice.
Crabs Adjust Humidity: Volume 5,The Cockpocalypse.
Crabs Adjust Humidity: Volume 5,The difference between "good touch" and "bad touch."
Crabs Adjust Humidity: Volume 5,The muffled cries of an Asian baby girl.
Crabs Adjust Humidity: Volume 5,The poophole loophole.
Crabs Adjust Humidity: Volume 5,The scientific method.
Crabs Adjust Humidity: Volume 5,The sound of a toddler's skull cracking against the pavement.
Crabs Adjust Humidity: Volume 5,The third trimester.
Crabs Adjust Humidity: Volume 5,The wet spot.
Crabs Adjust Humidity: Volume 5,The Yellow Dick Road.
Crabs Adjust Humidity: Volume 5,These strange human urges.
Crabs Adjust Humidity: Volume 5,This motherfucker right here.
Crabs Adjust Humidity: Volume 5,Tinder™.
Crabs Adjust Humidity: Volume 5,Type 2 diabetes.
Crabs Adjust Humidity: Volume 5,You Know Who.
Crabs Adjust Humidity: Volume 5,Your bourgeois morality.
