Label,prompt
Crazy & Horrible Rabbit - Vol. 1,Could a brother get ___ up in this bitch?
Crazy & Horrible Rabbit - Vol. 1,Forget Fifty Shades of Grey… Give me Fifty Shades of _____.
Crazy & Horrible Rabbit - Vol. 1,I never karaoke because I always end up getting drunk and singing a song about _____.
Crazy & Horrible Rabbit - Vol. 1,I'm constantly confusing _____ and _____.
Crazy & Horrible Rabbit - Vol. 1,Instructions unclear: dick stuck in _____.
Crazy & Horrible Rabbit - Vol. 1,It's all about _____-no _____.
Crazy & Horrible Rabbit - Vol. 1,Let it go! Let it go! ______never bothered me anyway…
Crazy & Horrible Rabbit - Vol. 1,My Therapist says I have an unhealthy attitude about _____.
Crazy & Horrible Rabbit - Vol. 1,Next on Adult Swim: The adventures of _____ and _____.
Crazy & Horrible Rabbit - Vol. 1,Turn down for what?
Crazy & Horrible Rabbit - Vol. 1,What really brings out the child in me?
Crazy & Horrible Rabbit - Vol. 1,What would you do for a Klondike Bar?
Crazy & Horrible Rabbit - Vol. 1,Why do I need feminism?
Crazy & Horrible Rabbit - Vol. 1,Why is Jon Stewart really retiring?
Crazy & Horrible Rabbit - Vol. 1,Why so salty?
Crazy & Horrible Rabbit - Vol. 1,Your kids with your fancy degrees… They don't teach ya' nothing' 'bout _____ in school.
