Label,response
Crows Adopt Vulgarity, Vol. 2,A black guy in a white neighborhood.
Crows Adopt Vulgarity, Vol. 2,A busload of racist frat boys from Oklahoma.
Crows Adopt Vulgarity, Vol. 2,A case of the Mondays.
Crows Adopt Vulgarity, Vol. 2,A complimentary prostate exam.
Crows Adopt Vulgarity, Vol. 2,A customer with literally a million questions.
Crows Adopt Vulgarity, Vol. 2,A good ol' fashioned game of "Is It Racist?"
Crows Adopt Vulgarity, Vol. 2,A latex bodysuit with a genital opening.
Crows Adopt Vulgarity, Vol. 2,A magical cupboard that brings sex toys to life.
Crows Adopt Vulgarity, Vol. 2,A mouth for hire.
Crows Adopt Vulgarity, Vol. 2,A naked old man in a sauna.
Crows Adopt Vulgarity, Vol. 2,A strange and vaguely predatory attempt at friendship.
Crows Adopt Vulgarity, Vol. 2,A water balloon filled with buffalo sauce.
Crows Adopt Vulgarity, Vol. 2,Alcohol-fueled Thanksgiving Day family fistfights.
Crows Adopt Vulgarity, Vol. 2,An actual elephant in the room.
Crows Adopt Vulgarity, Vol. 2,An oddly specific round of "Never Have I Ever."
Crows Adopt Vulgarity, Vol. 2,Being gay in Russia.
Crows Adopt Vulgarity, Vol. 2,Being majestic as fuck.
Crows Adopt Vulgarity, Vol. 2,Being one day away from retirement in an '80s cop movie.
Crows Adopt Vulgarity, Vol. 2,Being the caboose of a train.
Crows Adopt Vulgarity, Vol. 2,Being the prettiest girl at the truck stop.
Crows Adopt Vulgarity, Vol. 2,Billions of taxpayer dollars.
Crows Adopt Vulgarity, Vol. 2,Borrowing someone's liver.
Crows Adopt Vulgarity, Vol. 2,Cannot answer. Too drunk.
Crows Adopt Vulgarity, Vol. 2,Dakota Fanning.
Crows Adopt Vulgarity, Vol. 2,Dorothy using the Scarecrow as firewood.
Crows Adopt Vulgarity, Vol. 2,Dr. Faggot.
Crows Adopt Vulgarity, Vol. 2,Dropping a penny in a Jewish neighborhood.
Crows Adopt Vulgarity, Vol. 2,Eating the banana peel.
Crows Adopt Vulgarity, Vol. 2,Eliminating the party crashers by any means necessary.
Crows Adopt Vulgarity, Vol. 2,Eye-fucking someone from across the room a little too hard.
Crows Adopt Vulgarity, Vol. 2,Forgetting to say "No homo."
Crows Adopt Vulgarity, Vol. 2,Fucking a blender.
Crows Adopt Vulgarity, Vol. 2,Getting away with mass murder because you're a Christian.
Crows Adopt Vulgarity, Vol. 2,Getting dumped by your left hand.
Crows Adopt Vulgarity, Vol. 2,Getting spanked with a wooden spoon by Gordon Ramsay.
Crows Adopt Vulgarity, Vol. 2,Getting the clap so many times it's basically applause.
Crows Adopt Vulgarity, Vol. 2,Gonorrhea that was totally worth it.
Crows Adopt Vulgarity, Vol. 2,Googling yourself.
Crows Adopt Vulgarity, Vol. 2,Hardcore cuddling.
Crows Adopt Vulgarity, Vol. 2,Having break-up sex by yourself.
Crows Adopt Vulgarity, Vol. 2,Inverted controls.
Crows Adopt Vulgarity, Vol. 2,Kim Jong-un's stupid fucking haircut.
Crows Adopt Vulgarity, Vol. 2,Masked strangers who knock on the door in the middle of the night.
Crows Adopt Vulgarity, Vol. 2,Mighty Morphine Power Rangers.
Crows Adopt Vulgarity, Vol. 2,Muscles you didn't even know you had.
Crows Adopt Vulgarity, Vol. 2,Not fitting in.
Crows Adopt Vulgarity, Vol. 2,OD'ing on placebos.
Crows Adopt Vulgarity, Vol. 2,Organic cocaine.
Crows Adopt Vulgarity, Vol. 2,Playing by the rules.
Crows Adopt Vulgarity, Vol. 2,Proposing to your long-term girlfriend with a Ring Pop.
Crows Adopt Vulgarity, Vol. 2,Punching them in the face with a hammer.
Crows Adopt Vulgarity, Vol. 2,Realizing you're doomed to a life of mediocrity.
Crows Adopt Vulgarity, Vol. 2,Rosa Parks calling shotgun.
Crows Adopt Vulgarity, Vol. 2,Setting fat kids on fire to burn calories.
Crows Adopt Vulgarity, Vol. 2,Sitting back and watching a blind man slowly walk off a cliff.
Crows Adopt Vulgarity, Vol. 2,Special gloves.
Crows Adopt Vulgarity, Vol. 2,Spelling dirty words while playing Scrabble with your kids.
Crows Adopt Vulgarity, Vol. 2,Tainting the communion wafers with LSD.
Crows Adopt Vulgarity, Vol. 2,Taking a nice drive …. through a playground.
Crows Adopt Vulgarity, Vol. 2,That one fucking dead pixel in the middle of the screen.
Crows Adopt Vulgarity, Vol. 2,That thing where you and a stranger keep blocking each other on the sidewalk while trying to pass.
Crows Adopt Vulgarity, Vol. 2,The $19.99 Do-It-Yourself White Trash Wedding.
Crows Adopt Vulgarity, Vol. 2,The element of surprise.
Crows Adopt Vulgarity, Vol. 2,The Incident.
Crows Adopt Vulgarity, Vol. 2,The inescapable anxiety that comes once you've run out of reasons to procrastinate.
Crows Adopt Vulgarity, Vol. 2,The one that got away.
Crows Adopt Vulgarity, Vol. 2,The regret that instantly follows paying $9.99 for pay-per-view porn.
Crows Adopt Vulgarity, Vol. 2,Topless anime girls wearing cute panties.
Crows Adopt Vulgarity, Vol. 2,Unfathomable girth.
Crows Adopt Vulgarity, Vol. 2,Watching TV with Mom and Dad when a sex scene comes on.
Crows Adopt Vulgarity, Vol. 2,Watching your last dollar get ripped in half by the vending machine.
Crows Adopt Vulgarity, Vol. 2,Whatever the kids are into these days.
Crows Adopt Vulgarity, Vol. 2,Your sad little naked body.
Crows Adopt Vulgarity, Vol. 2,Zero side effects.
