Label,prompt
Depravity,Aggressively bidding online for ____.
Depravity,Asking the hotel manager to arrange ____ for your room.
Depravity,Asking your blind date if they also like ____.
Depravity,Attempting to explain to your Dad why you were ____ in the garden shed.
Depravity,Being accused of ____ at a work disciplinary.
Depravity,Being asked to leave the art gallery for ____.
Depravity,Being called into your managers office for ____ at the work Christmas party.
Depravity,Being caught ____ by the library security.
Depravity,Being concerned that the psychic saw ____ in your future.
Depravity,Being distracted by ____ at the side of the road.
Depravity,Being reprimanded by the Headmaster for ____ when you should've been at school.
Depravity,Being reprimanded by your boss for including ____ in your yearly objectives.
Depravity,Being sold ____ by an aggressive salesman in the shopping centre.
Depravity,Being unable to look your Dad in the eye once he's seen you ____.
Depravity,Blaming ____ for all your money troubles.
Depravity,Browsing for a new outfit for ____ this weekend.
Depravity,Building up the courage to tell your partner about the time you were ____ to pay the bills.
Depravity,Confessing your love of ____ to your partners family when you first meet them.
Depravity,Confessng to your parents you've been suspended from college due to ____.
Depravity,Contravening workplace policy by ____ in front of your colleagues.
Depravity,Daydreaming about buying ____ when you get rich.
Depravity,Denying the school-wide rumour that you were ____.
Depravity,Describing ____ as the highlight of your year during a birthday speech.
Depravity,Distracting the band by ____ in the front row of the concert.
Depravity,Distracting the fitness instructor by ____ during the class.
Depravity,Drunk texting your landlord pictures of ____.
Depravity,Drunkenly confessing your obsession with ____ to your best mate.
Depravity,Drunkenly getting a tattoo of ____ on a wild night out.
Depravity,Entertaining attendees with a story about ____ during the funeral service.
Depravity,Excitedly replying to spam emails which offers ____ for free.
Depravity,Fantasising about ____ to help you get through another pointless work meeting.
Depravity,Feeling nostalgic when you remember ____ from your childhood.
Depravity,Getting another detention for ____ at the back of the class.
Depravity,Giving your best friend ____ to show you're secretly in love with them.
Depravity,Giving your elderly neighbour assistance in ____.
Depravity,Hoping ____ will help you get your life back on track.
Depravity,Hoping customs don't notice ____ in your bag.
Depravity,Hoping the Bride and Groom like your present of ____.
Depravity,Hoping the Judge will be lenient on you for ____ on t he bus.
Depravity,Hoping the ticket inspector will believe your story of ____ for not having a ticket.
Depravity,Hoping you have successfully deleted ____ from your internet search history.
Depravity,Hoping your boss will accept ____ as your reason for calling in sick.
Depravity,Hoping your new partner dosen't open your desktop folder of ____ pictures.
Depravity,Hoping your partner doesn't see the photo of ____ after you give them your phone.
Depravity,Informing the Police Officer that ____ is the reason you are speeding.
Depravity,Inviting the new neighbours around to enjoy ____.
Depravity,Meditating about ____ to control your stress.
Depravity,Naively thinking ____ was acceptable as security escort you out of the shopping centre.
Depravity,Nervously introducing ____ into the conversation on a first date.
Depravity,Not realising ____ isn't acceptable behaviour on the beach.
Depravity,Offering the taxi driver ____ because you don't have enough money to pay.
Depravity,Presnting ____ as an option to improve sales to the Executive Board.
Depravity,Proposing ____ in an attempt to introduce some romance to your elationship.
Depravity,Proposing to pay the delievery driver with ____ for your takeaway.
Depravity,Recounting ____ in your after dinner speech.
Depravity,Reluctantly accepting a birrthday voucher from your Nan for ____.
Depravity,Remembering ____ to help you get through the hard times.
Depravity,Renewing your monthly subscription to ____ Digest.
Depravity,Selling ____ in an attempt to pay the rent on time.
Depravity,Seriously considering giving up____ as it's starting to take over your life.
Depravity,Setting up a new local ____ club to meet new people.
Depravity,Shocking your English teacher with a poem about ____.
Depravity,Speculating whether the other people in the waiting room are also seeing the doctor about ____.
Depravity,Suddenly realising you left your diary open in the kitchen with entries about  ____ in it.
Depravity,Taking up ____ as a new hobby to help you stop smoking.
Depravity,Telling a story about ____ as you introduce yourself to your new work colleagues.
Depravity,Telling your story about ____ in an attempt to salvage the interview.
Depravity,Thinking about ____ to help you stay calm before an interview.
Depravity,Trying to explain to your boss why ____ is on your expense statement.
Depravity,Trying to explain to your doctor that you got the rash from ____.
Depravity,Trying to explain to your partner a surprise charge from www. ____ .com.
Depravity,Using ____ as an excuse for being late for work.
Depravity,What are you going to give your Mum for her birthday?
Depravity,What caused your last relationship to end?
Depravity,What common interests do you share with your Dad?
Depravity,What do you like to do with your best friend?
Depravity,What do you remember your Grandfather for?
Depravity,What do you think your ex is doing right now?
Depravity,What do you want for Christmas?
Depravity,What do you want to achieve before you die?
Depravity,What do you want to achieve this year?
Depravity,What does your Mother do to embarrass you?
Depravity,What have you done to deserve a promotion?
Depravity,What is essential for a successful relationship?
Depravity,What is on your bucket list?
Depravity,What is the one thing you wouldn't want your family to find out about?
Depravity,What is your best friend good at?
Depravity,What is your earliest memory?
Depravity,What is your greatest achievement?
Depravity,What is your greatest fear?
Depravity,What makes you unique?
Depravity,What motivates you to get out of bed in the morning?
Depravity,What was the reason you last cried?
Depravity,What would you buy first if you won the lottery?
Depravity,What would you like to be remembered for?
Depravity,What's your biggest regret?
Depravity,What's your favourite thing to do on your days off?
Depravity,Wondering if other commuters on the train also daydream about ____.
