Label,prompt
Disgruntled Decks: Air Force Edition,A commissary bagger gives you the death stare. Tip them with ______ and get the hell out of there!
Disgruntled Decks: Air Force Edition,A dorm party isn't a dorm party without ______!
Disgruntled Decks: Air Force Edition,AFPC has decreed ______ is the new requirement for WAPS testing this year.
Disgruntled Decks: Air Force Edition,Air Force fuckery is getting so bad that the brass are starting to blame ______ on the lack of discipline.
Disgruntled Decks: Air Force Edition,Amazon just announced that it is partnering with the U.S. Air Force to deliver ______ to your doorstep.
Disgruntled Decks: Air Force Edition,Attempting to claim ______ on a travel voucher is a great way to piss off the DTS gods.
Disgruntled Decks: Air Force Edition,Civilians will never understand the joys of ______.
Disgruntled Decks: Air Force Edition,Congress approved a new retirement plan that replaces your pension with a lifetime supply of _______.
Disgruntled Decks: Air Force Edition,Describe your Air Force career with one card.
Disgruntled Decks: Air Force Edition,Follow the Air Force Band on Twitter @______.
Disgruntled Decks: Air Force Edition,Hot damn! That last deployment was a super sloppy mix of ______ and ______.
Disgruntled Decks: Air Force Edition,How do you convince your subordinates to do the right thing?
Disgruntled Decks: Air Force Edition,How do you endure the hell that is Army billeting?
Disgruntled Decks: Air Force Edition,I always knew I would end up in the military because I enjoyed ______ at an early age.
Disgruntled Decks: Air Force Edition,I have no idea why Finance is closed today. There's just a sign on the door that reads "______."
Disgruntled Decks: Air Force Edition,I wonder if ______ was as common in the Army Corps as it is in today's Air Force.
Disgruntled Decks: Air Force Edition,If linguists were ever considered "The Tip of the Spear" then what would be the shaft?
Disgruntled Decks: Air Force Edition,Iran's new "state of the art" drone is basically a hang gliding Roomba® that uses ______ as its main weapon system.
Disgruntled Decks: Air Force Edition,It was the craziest thing I've ever seen. I once saw a dependa kill a man with ______.
Disgruntled Decks: Air Force Edition,Keep that crusty ass Air Trans TSgt happy with a whole lotta ______!
Disgruntled Decks: Air Force Edition,Only in the Air Force will you find ______.
Disgruntled Decks: Air Force Edition,Receiving orders to Minot is even more depressing than ______.
Disgruntled Decks: Air Force Edition,Smug Air Force Academy grads believe they're the best at ______.
Disgruntled Decks: Air Force Edition,So you're saying you have a PT waiver for ______? Niiiice…
Disgruntled Decks: Air Force Edition,Step 1: Request any DSD except MTI.  Step 2: ______.  Step 3: You're an MTI now.
Disgruntled Decks: Air Force Edition,Surprise! AETC's new supplement covers ______.
Disgruntled Decks: Air Force Edition,That's not a technique or a procedure! That's just ______!
Disgruntled Decks: Air Force Edition,The only thing standing between you and your next promotion is ______.
Disgruntled Decks: Air Force Edition,The shit-hot sequel to Fighter Pilot: Operation Red Flag is a boner-tastic freedom flick chock-full of ______!
Disgruntled Decks: Air Force Edition,The SNCO seducing young Airmen is exhibiting a ______ leadership style.
Disgruntled Decks: Air Force Edition,This CSAF will make their mark on heritage by changing ______.
Disgruntled Decks: Air Force Edition,USAA is now offering a free subscription to ______ Magazine when you open a new checking account.
Disgruntled Decks: Air Force Edition,What brought PT to a screeching halt?
Disgruntled Decks: Air Force Edition,What caused your wife's bitter tears at your last re-enlistment?
Disgruntled Decks: Air Force Edition,What did the lifeguards find floating in the base gym's pool?
Disgruntled Decks: Air Force Edition,What earned your troop their latest Direct Safety Violation?
Disgruntled Decks: Air Force Edition,What embodies "Air Force stupid"?
Disgruntled Decks: Air Force Edition,What is DARPA now training robots to do?
Disgruntled Decks: Air Force Edition,What is the key component of this administration's foreign policy?
Disgruntled Decks: Air Force Edition,What just dropped out of the back of that C-130?
Disgruntled Decks: Air Force Edition,What really killed Billy Mitchell?
Disgruntled Decks: Air Force Edition,What the fuck does the Chaplain do?!?
Disgruntled Decks: Air Force Edition,What would make your supervisor's blood boil?
Disgruntled Decks: Air Force Edition,What's been making life absolutely suck in your unit?
Disgruntled Decks: Air Force Edition,What's causing that awful smell in the dorms?
Disgruntled Decks: Air Force Edition,What's currently burning on the flight line?
Disgruntled Decks: Air Force Edition,What's more fucked than Blues on the first day of Airman Leadership School?
Disgruntled Decks: Air Force Edition,What's that bitch boy F-16 pilot whining about THIS time?!?
Disgruntled Decks: Air Force Edition,What's the new guy's callsign?
Disgruntled Decks: Air Force Edition,What'st he centerpiece to the new Academy spirit video?
Disgruntled Decks: Air Force Edition,Why is myPers down THIS time?!?
Disgruntled Decks: Air Force Edition,You can tell Chuck Norris is an Air Force Vet because he uses ______ and ______ to slay his enemies.
Disgruntled Decks: Air Force Edition,You just need more ______ to finish this goddamn 1206!
Disgruntled Decks: Air Force Edition,You're at the local base housing swinger party. What's your go-to icebreaker?
Disgruntled Decks: Air Force Edition,Your Squadron Commander proudly displays a picture of ______ on her desk.
